,country_code,region_id,region_level,region_name,support_below_18
129,EG,355182,PROVINCE,South Sinai,True
130,JP,1857907,PROVINCE,Kyoto,True
131,US,801,PROVINCE,"Eugene,DMA®",True
132,US,550,PROVINCE,"Wilmington,DMA®",True
133,US,866,PROVINCE,"Fresno-Visalia,DMA®",True
134,TR,314829,PROVINCE,Gaziantep,True
135,US,5417618,PROVINCE,Colorado,True
136,IT,3174725,PROVINCE,Liguria,True
137,US,517,PROVINCE,"Charlotte,DMA®",True
138,EG,359797,PROVINCE,Suez,True
139,SA,109954,PROVINCE,Al Bahah,True
140,RO,662447,PROVINCE,Vrancea,True
141,ZA,1085596,PROVINCE,Northern Cape,True
142,DE,2951839,PROVINCE,Bavaria,True
143,JP,1853299,PROVINCE,Saga,True
144,ZA,1085599,PROVINCE,Western Cape,True
145,US,662,PROVINCE,"Abilene-Sweetwater,DMA®",True
146,KR,1845106,PROVINCE,North Chungcheong,True
147,RO,675848,PROVINCE,Ialomita,True
148,EG,361056,PROVINCE,Ismailia,True
149,US,610,PROVINCE,"Rockford,DMA®",True
150,FR,11071623,PROVINCE,Occitania,True
151,RO,683844,PROVINCE,Brasov,True
152,MA,11281874,PROVINCE,Tanger-Tetouan-Al Hoceima,True
153,US,659,PROVINCE,"Nashville,DMA®",True
154,AE,291075,PROVINCE,Ras Al Khaimah,True
155,TR,737021,PROVINCE,Zonguldak,True
156,DE,2862926,PROVINCE,Lower Saxony,True
157,RO,665849,PROVINCE,Suceava,True
158,US,534,PROVINCE,"Orlando-Daytona Beach-Melbourne,DMA®",True
159,US,673,PROVINCE,"Columbus-Tupelo-West Point-Houston,DMA®",True
160,PK,1168878,PROVINCE,Gilgit Baltistan,True
161,IT,3177401,PROVINCE,Emilia Romagna,True
162,SE,3337386,PROVINCE,Vastra Gotaland,True
163,US,622,PROVINCE,"New Orleans,DMA®",True
164,ES,2521383,PROVINCE,Balearic,True
165,US,508,PROVINCE,"Pittsburgh,DMA®",True
166,IE,2963397,PROVINCE,Kilkenny,True
167,IT,3170831,PROVINCE,Piedmont,True
168,US,6254927,PROVINCE,Pennsylvania,True
169,TR,443185,PROVINCE,Aksaray,True
170,KR,1833742,PROVINCE,Ulsan,True
171,US,5101760,PROVINCE,New Jersey,True
172,SE,2708794,PROVINCE,Halland,True
173,NO,3145495,PROVINCE,More og Romsdal,True
174,CA,6115047,PROVINCE,Quebec,True
175,RO,686253,PROVINCE,Arad,True
176,US,583,PROVINCE,"Alpena,DMA®",True
177,JP,1860291,PROVINCE,Kanagawa,True
178,TR,325163,PROVINCE,Agri,True
179,US,868,PROVINCE,"Chico-Redding,DMA®",True
180,US,597,PROVINCE,"Parkersburg,DMA®",True
181,US,532,PROVINCE,"Albany-Schenectady-Troy,DMA®",True
182,IT,3174618,PROVINCE,Lombardy,True
183,PK,1168873,PROVINCE,Khyber Pakhtunkhwa,True
184,AR,3838830,PROVINCE,Rio Negro,True
185,SE,2664415,PROVINCE,Vasterbotten,True
186,PL,3337499,PROVINCE,West Pomeranian,True
187,CH,2659315,PROVINCE,Obwalden,True
188,US,5769223,PROVINCE,South Dakota,True
189,PL,3337492,PROVINCE,Lower Silesian,True
190,US,520,PROVINCE,"Augusta-Aiken,DMA®",True
191,US,563,PROVINCE,"Grand Rapids-Kalamazoo-Battle Creek,DMA®",True
192,RO,681290,PROVINCE,Cluj-Napoca,True
193,US,506,PROVINCE,"Boston (Manchester),DMA®",True
194,JP,1851715,PROVINCE,Shizuoka,True
195,KR,1843561,PROVINCE,Incheon,True
196,SA,106281,PROVINCE,Hail,True
197,BD,1337200,PROVINCE,Chittagong,True
198,JP,1863501,PROVINCE,Gunma,True
199,DE,2842566,PROVINCE,Saxony,True
200,US,767,PROVINCE,"Casper-Riverton,DMA®",True
201,JP,1861387,PROVINCE,Ishikawa,True
202,US,682,PROVINCE,"Davenport-Rock Island-Moline,DMA®",True
203,ZA,972062,PROVINCE,KwaZulu Natal,True
204,SA,101627,PROVINCE,Tabuk,True
205,EG,358044,PROVINCE,Damietta,True
206,AR,3837152,PROVINCE,San Juan,True
207,FR,11071625,PROVINCE,Auvergne Rhone Alpes,True
208,AR,3853404,PROVINCE,Jujuy,True
209,US,557,PROVINCE,"Knoxville,DMA®",True
210,IT,3174976,PROVINCE,Lazio,True
211,BR,3392213,PROVINCE,Piaui,True
212,SA,109579,PROVINCE,Northern Borders,True
213,IT,3174004,PROVINCE,Marche,True
214,US,525,PROVINCE,"Albany, GA,DMA®",True
215,MX,3531011,PROVINCE,Chiapas,True
216,SA,106280,PROVINCE,Hai'l Region,True
217,TR,300821,PROVINCE,Siirt,True
218,PL,3337493,PROVINCE,Lodz,True
219,KR,1835327,PROVINCE,Daegu,True
220,US,630,PROVINCE,"Birmingham (Anniston-Tuscaloosa),DMA®",True
221,IE,2961422,PROVINCE,Sligo,True
222,PK,1184196,PROVINCE,Azad Kashmir,True
223,CH,2660522,PROVINCE,Grisons,True
224,TR,738926,PROVINCE,Tekirdag,True
225,TR,322164,PROVINCE,Balikesir,True
226,AT,2761367,PROVINCE,Vienna,True
227,KZ,1519928,PROVINCE,Kostanay Region,True
228,TR,325302,PROVINCE,Afyonkarahisar,True
229,TR,305267,PROVINCE,Kutahya,True
230,US,533,PROVINCE,"Hartford-New Haven,DMA®",True
231,EG,361294,PROVINCE,Gharbia,True
232,BR,3665361,PROVINCE,Amazonas,True
233,NO,3132064,PROVINCE,Agder,True
234,RO,680428,PROVINCE,Covasna,True
235,US,803,PROVINCE,"Los Angeles,DMA®",True
236,US,536,PROVINCE,"Youngstown,DMA®",True
237,US,736,PROVINCE,"Bowling Green,DMA®",True
238,US,802,PROVINCE,"Eureka,DMA®",True
239,AT,2766823,PROVINCE,Salzburg,True
240,TR,298332,PROVINCE,Sanliurfa,True
241,BR,3463930,PROVINCE,Espirito Santo,True
242,US,800,PROVINCE,"Bakersfield,DMA®",True
243,EG,352603,PROVINCE,Matrouh,True
244,AR,3836350,PROVINCE,Santa Cruz,True
245,US,574,PROVINCE,"Johnstown-Altoona-State College,DMA®",True
246,PT,2268337,PROVINCE,Faro,True
247,US,4896861,PROVINCE,Illinois,True
248,AT,2762300,PROVINCE,Vorarlberg,True
249,MA,11281885,PROVINCE,Laayoune-Sakia El Hamra,True
250,PT,2732772,PROVINCE,Viana do Castelo,True
251,JP,1853904,PROVINCE,Osaka,True
252,PK,1164807,PROVINCE,Sindh,True
253,US,551,PROVINCE,"Lansing,DMA®",True
254,PL,858791,PROVINCE,Warmian Masurian,True
255,US,4273857,PROVINCE,Kansas,True
256,BD,7671048,PROVINCE,Rangpur,True
257,MX,3982846,PROVINCE,Sonora,True
258,TR,443213,PROVINCE,Kilis,True
259,IT,3169778,PROVINCE,Apulia,True
260,KZ,94600135,PROVINCE,Almaty,True
261,US,612,PROVINCE,"Shreveport,DMA®",True
262,US,503,PROVINCE,"Macon,DMA®",True
263,US,510,PROVINCE,"Cleveland-Akron (Canton),DMA®",True
264,US,553,PROVINCE,"Marquette,DMA®",True
265,KR,1845788,PROVINCE,South Jeolla,True
266,JP,1856156,PROVINCE,Nagasaki,True
267,US,756,PROVINCE,"Billings,DMA®",True
268,US,603,PROVINCE,"Joplin-Pittsburg,DMA®",True
269,JP,1854381,PROVINCE,Okayama,True
270,RO,682714,PROVINCE,Caras-Severin,True
271,IE,2965768,PROVINCE,Carlow,True
272,US,552,PROVINCE,"Presque Isle,DMA®",True
273,US,725,PROVINCE,"Sioux Falls(Mitchell),DMA®",True
274,RO,672460,PROVINCE,Neamt,True
275,PT,2738782,PROVINCE,Guarda,True
