,level,name,country_code,ages_ranges,geo_location,genders,interests,behavior,scholarities,languages,family_statuses,all_fields,targeting,response,lower_end,upper_end,user_count_stage,timestamp
10,dma,Abilene-Sweetwater,None,AGE_55_100,662,GENDER_MALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['662'], 'gender': 'GENDER_MALE', 'age_groups': ['AGE_55_100']}",,"{'code': 0, 'message': 'OK', 'request_id': '20250804073325A15D48E77C9F1E575D16', 'data': {'user_count': {'lower_end': 14000, 'upper_end': 18000}, 'user_count_stage': 2}}",14000,18000,2,2025-08-03 23:48:13.873428
11,dma,"Albany, GA",None,AGE_13_17,525,GENDER_FEMALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['525'], 'gender': 'GENDER_FEMALE', 'age_groups': ['AGE_13_17']}",,"{'code': 0, 'message': 'OK', 'request_id': '20250804073325B4665BB8A0144F5C9C0F', 'data': {'user_count': {'lower_end': 0, 'upper_end': 1000}, 'user_count_stage': 1}}",0,1000,1,2025-08-03 23:48:13.873428
12,dma,Abilene-Sweetwater,None,AGE_45_54,662,GENDER_FEMALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['662'], 'gender': 'GENDER_FEMALE', 'age_groups': ['AGE_45_54']}",,"{'code': 0, 'message': 'OK', 'request_id': '20250804073326047604D914F718516CF4', 'data': {'user_count': {'lower_end': 10000, 'upper_end': 13000}, 'user_count_stage': 2}}",10000,13000,2,2025-08-03 23:48:13.873428
13,dma,"Albany, GA",None,AGE_25_34,525,GENDER_FEMALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['525'], 'gender': 'GENDER_FEMALE', 'age_groups': ['AGE_25_34']}",,"{'code': 0, 'message': 'OK', 'request_id': '2025080407332624569FE37FB9AF56A4A7', 'data': {'user_count': {'lower_end': 17000, 'upper_end': 22000}, 'user_count_stage': 2}}",17000,22000,2,2025-08-03 23:48:13.873428
14,dma,"Albany, GA",None,AGE_35_44,525,GENDER_FEMALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['525'], 'gender': 'GENDER_FEMALE', 'age_groups': ['AGE_35_44']}",,"{'code': 0, 'message': 'OK', 'request_id': '20250804073327560C16789DFA775A328C', 'data': {'user_count': {'lower_end': 21000, 'upper_end': 27000}, 'user_count_stage': 2}}",21000,27000,2,2025-08-03 23:48:13.873428
15,dma,"Albany, GA",None,AGE_18_24,525,GENDER_FEMALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['525'], 'gender': 'GENDER_FEMALE', 'age_groups': ['AGE_18_24']}",,"{'code': 0, 'message': 'OK', 'request_id': '20250804073326A15D48E77C9F1E575D38', 'data': {'user_count': {'lower_end': 15000, 'upper_end': 20000}, 'user_count_stage': 2}}",15000,20000,2,2025-08-03 23:48:13.873428
16,dma,"Albany, GA",None,AGE_45_54,525,GENDER_FEMALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['525'], 'gender': 'GENDER_FEMALE', 'age_groups': ['AGE_45_54']}",,"{'code': 0, 'message': 'OK', 'request_id': '20250804073328C6E1B1DAEA869A51BDE2', 'data': {'user_count': {'lower_end': 13000, 'upper_end': 17000}, 'user_count_stage': 2}}",13000,17000,2,2025-08-03 23:48:13.873428
17,dma,"Albany, GA",None,AGE_55_100,525,GENDER_FEMALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['525'], 'gender': 'GENDER_FEMALE', 'age_groups': ['AGE_55_100']}",,"{'code': 0, 'message': 'OK', 'request_id': '20250804073328150393E5B0B8005EBADC', 'data': {'user_count': {'lower_end': 12000, 'upper_end': 16000}, 'user_count_stage': 2}}",12000,16000,2,2025-08-03 23:48:13.873428
18,dma,"Albany, GA",None,AGE_13_17,525,GENDER_MALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['525'], 'gender': 'GENDER_MALE', 'age_groups': ['AGE_13_17']}",,"{'code': 0, 'message': 'OK', 'request_id': '20250804073328E9AAC1D80FCC5152947C', 'data': {'user_count': {'lower_end': 0, 'upper_end': 1000}, 'user_count_stage': 1}}",0,1000,1,2025-08-03 23:48:13.873428
19,dma,"Albany, GA",None,AGE_18_24,525,GENDER_MALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['525'], 'gender': 'GENDER_MALE', 'age_groups': ['AGE_18_24']}",,"{'code': 0, 'message': 'OK', 'request_id': '20250804073329047604D914F718516D4A', 'data': {'user_count': {'lower_end': 12000, 'upper_end': 16000}, 'user_count_stage': 2}}",12000,16000,2,2025-08-03 23:48:13.873428
