iso3;age_13_17_men;age_13_17_women;age_18_24_men;age_18_24_women;age_25_34_men;age_25_34_women;age_35_44_men;age_35_44_women;age_45_54_men;age_45_54_women;age_55_100_men;age_55_100_women;age_13_17_ratio;age_18_24_ratio;age_25_34_ratio;age_35_44_ratio;age_45_54_ratio;age_55_100_ratio;total_men;total_women;total_all;total_ratio;total_18_44_men;total_18_44_women;total_18_44_ratio;iso2;age_13_17_ratio_std;age_18_24_ratio_std;age_25_34_ratio_std;age_35_44_ratio_std;age_45_54_ratio_std;age_55_100_ratio_std;total_ratio_std;total_18_44_ratio_std;age_13_17_men_pen;age_13_17_women_pen;age_18_24_men_pen;age_18_24_women_pen;age_25_34_men_pen;age_25_34_women_pen;age_35_44_men_pen;age_35_44_women_pen;age_45_54_men_pen;age_45_54_women_pen;age_55_100_men_pen;age_55_100_women_pen;total_men_pen;total_women_pen;total_all_pen;total_18_44_men_pen;total_18_44_women_pen
ARG;2905;2133;3138254;3688712;3931341;4300000;2506028;3116666;1591483;2191637;1324922;2318500;0.7343;1.1754;1.0938;1.2437;1.3771;1.7499;12494933;15617648;28112581;1.2499;9575623;11105378;1.1598;AR;0.7767;1.2299;1.1336;1.2723;1.3704;1.4285;1.2087;1.1996;0.002;0.0015;1.2633;1.5537;1.1143;1.2631;0.7763;0.9878;0.6019;0.8248;0.3055;0.4364;0.7066;0.8541;0.7816;1.0363;1.2431
ASM;2000;2000;2900;3646;2000;2317;2000;2000;2000;2000;3000;3000;1.0;1.2572;1.1585;1.0;1.0;1.0;13900;14963;28863;1.0765;6900;7963;1.1541;AS;1.0416;1.354;1.1487;1.0495;1.0616;0.9649;1.1027;1.1976;1.0096;1.0515;1.0313;1.3964;0.6782;0.7791;0.6642;0.6971;0.6371;0.6764;0.7273;0.7018;0.7715;0.8508;0.8106;0.7866;0.9419
AUT;2000;2000;395692;407917;522384;524175;321792;383916;207671;266108;183646;224284;1.0;1.0309;1.0034;1.1931;1.2814;1.2213;1633185;1808400;3441585;1.1073;1239868;1316008;1.0614;AT;1.0511;1.0917;1.0486;1.2168;1.2672;1.0513;1.0585;1.1016;0.0112;0.0118;1.1609;1.2673;0.8365;0.8772;0.5172;0.6293;0.3299;0.418;0.1248;0.1312;0.4223;0.447;0.435;0.781;0.8604
AUS;2000;2817;1505749;1685058;1971408;2198000;1252529;1557308;736134;1061216;736246;1234692;1.4085;1.1191;1.1149;1.2433;1.4416;1.677;6204066;7739091;13943157;1.2474;4729686;5440366;1.1503;AU;1.4941;1.187;1.126;1.2223;1.404;1.5187;1.2106;1.163;0.003;0.0045;1.3129;1.5583;1.031;1.161;0.6884;0.8415;0.4511;0.6333;0.2044;0.3104;0.5759;0.6971;0.6374;0.9695;1.1275
ABW;2000;2000;5733;6392;8372;8666;6246;7355;4087;5664;4475;6570;1.0;1.1149;1.0351;1.1776;1.3859;1.4682;30913;36647;67560;1.1855;20351;22413;1.1013;AW;1.0434;1.2046;1.0072;1.0113;1.1404;1.1536;1.0303;1.0489;0.6995;0.7299;1.2138;1.4624;1.3543;1.3641;0.9835;0.9946;0.5891;0.6717;0.2976;0.3433;0.7345;0.7568;0.7464;1.1794;1.237
AZE;2000;2225;569321;496125;738934;576192;427291;351216;176863;175554;154887;187546;1.1125;0.8714;0.7798;0.822;0.9926;1.2109;2069296;1788858;3858154;0.8645;1735546;1423533;0.8202;AZ;1.2418;0.935;0.7355;0.7933;0.9006;0.9429;0.7987;0.8018;0.0062;0.0077;1.204;1.1257;0.8503;0.6253;0.5359;0.4251;0.3022;0.2722;0.1779;0.1677;0.5282;0.4219;0.4729;0.8113;0.6505
BIH;2000;2000;142233;159250;190841;183809;107704;125604;60438;75525;44026;58426;1.0;1.1196;0.9632;1.1662;1.2496;1.3271;547242;604614;1151856;1.1048;440778;468663;1.0633;BA;1.0791;1.2221;1.0844;1.1801;1.1904;0.9456;0.9777;1.1336;0.0295;0.0319;1.1262;1.3764;1.0764;1.1672;0.466;0.5499;0.272;0.3238;0.0897;0.0848;0.4161;0.4068;0.4111;0.8243;0.9344
BRB;2000;2000;17388;21337;24417;27091;16688;20447;11424;14916;11384;15750;1.0;1.2271;1.1095;1.2253;1.3057;1.3835;83301;101541;184842;1.219;58493;68875;1.1775;BB;1.0334;1.2656;1.0912;1.1559;1.1933;1.0905;1.098;1.1545;0.2694;0.2784;1.3087;1.6563;1.3441;1.4667;0.9229;1.0668;0.623;0.7434;0.3098;0.3379;0.7435;0.8163;0.7818;1.1809;1.3633
BGD;3392;2554;2919569;1539797;1682270;658637;418586;192645;123325;60634;54142;26078;0.7529;0.5274;0.3915;0.4602;0.4917;0.4817;5201284;2480345;7681629;0.4769;5020425;2391079;0.4763;BD;0.7708;0.457;0.3345;0.4372;0.4866;0.4858;0.4458;0.4227;0.0005;0.0004;0.2782;0.1271;0.1322;0.0442;0.0366;0.016;0.0155;0.0076;0.005;0.0024;0.086;0.0383;0.0614;0.1449;0.0613
BEL;2000;2000;548862;599021;694535;720821;438088;541425;317887;414748;334445;481766;1.0;1.0914;1.0378;1.2359;1.3047;1.4405;2335817;2759781;5095598;1.1815;1681485;1861267;1.1069;BE;1.048;1.1382;1.0432;1.2348;1.3293;1.2627;1.1331;1.1197;0.0072;0.0076;1.1598;1.3201;0.9274;0.9675;0.577;0.7124;0.4116;0.5471;0.1835;0.2317;0.4813;0.5454;0.514;0.8486;0.9502
