iso3;Country;age_13_17_men;age_13_17_women;age_18_24_men;age_18_24_women;age_25_34_men;age_25_34_women;age_35_44_men;age_35_44_women;age_45_54_men;age_45_54_women;age_55_100_men;age_55_100_women;age_13_17_ratio;age_18_24_ratio;age_25_34_ratio;age_35_44_ratio;age_45_54_ratio;age_55_100_ratio;total_men;total_women;total_all;total_ratio;total_18_44_men;total_18_44_women;total_18_44_ratio;iso2;age_13_17_ratio_std;age_18_24_ratio_std;age_25_34_ratio_std;age_35_44_ratio_std;age_45_54_ratio_std;age_55_100_ratio_std;total_ratio_std;total_18_44_ratio_std;age_13_17_men_pen;age_13_17_women_pen;age_18_24_men_pen;age_18_24_women_pen;age_25_34_men_pen;age_25_34_women_pen;age_35_44_men_pen;age_35_44_women_pen;age_45_54_men_pen;age_45_54_women_pen;age_55_100_men_pen;age_55_100_women_pen;total_men_pen;total_women_pen;total_all_pen;total_18_44_men_pen;total_18_44_women_pen
CPV;CV;2000;2000;32048;28327;40969;40487;33473;33444;18940;18526;21385;22651;1.0;0.8839;0.9882;0.9991;0.9781;1.0592;148815;145435;294250;0.9773;106490;102258;0.9603;CV;1.08;1.0041;1.0679;1.1042;1.0546;0.8265;1.0047;1.0591;0.0998;0.1078;1.009;1.0131;0.8443;0.9016;0.8409;0.9286;0.7363;0.7765;0.6582;0.5441;0.7503;0.7538;0.752;0.8868;0.9392
CUW;CW;2000;2000;5700;5733;11360;12316;10033;12073;8800;11133;17067;23148;1.0;1.0058;1.0842;1.2033;1.2651;1.3563;54960;66403;121363;1.2082;27093;30122;1.1118;CW;1.0299;1.1473;1.2752;1.173;1.044;0.9179;1.0712;1.2214;0.4756;0.4898;0.602;0.6906;0.6918;0.8822;0.8871;1.0406;0.8145;0.8504;0.7604;0.698;0.7362;0.7886;0.764;0.7283;0.8895
CXR;CX;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0;6000;6000;1.0;CX;;;;;;;;;;;;;;;;;;;;;;;;;
CYP;CY;2000;2000;59847;41087;133334;100154;107476;101779;70148;77308;93381;95216;1.0;0.6865;0.7512;0.947;1.1021;1.0197;466186;417544;883730;0.8957;300657;243020;0.8083;CY;1.0628;0.7163;0.839;1.0384;1.0434;0.9169;0.9022;0.8846;0.0741;0.0787;1.1412;0.8175;1.1476;0.9628;0.8504;0.8831;0.8019;0.8366;0.5807;0.5324;0.8174;0.7375;0.7776;1.0191;0.9016
CZE;CZ;2000;2000;322300;359040;646686;634210;608954;653060;536123;622662;512627;669560;1.0;1.114;0.9807;1.0724;1.1614;1.3061;2628690;2940532;5569222;1.1186;1577940;1646310;1.0433;CZ;1.045;1.1633;1.0426;1.1494;1.22;1.0685;1.0742;1.1089;0.0084;0.0088;0.8355;0.9719;0.9491;0.9896;0.7588;0.8722;0.6294;0.7679;0.3271;0.3495;0.5807;0.6239;0.6027;0.844;0.9359
DEU;DE;2000;2000;923580;889723;3300000;3073333;3366667;3450000;2500000;2566667;3359354;3482204;1.0;0.9633;0.9313;1.0248;1.0267;1.0366;13451601;13463927;26915528;1.0009;7590247;7413056;0.9767;DE;1.0602;1.0442;1.0054;1.0556;1.0344;0.8998;0.9645;1.0358;0.0013;0.0014;0.3006;0.3139;0.6105;0.6138;0.6162;0.6504;0.4548;0.4704;0.2236;0.2012;0.3733;0.3601;0.3666;0.5444;0.5639
DJI;DJ;2000;2000;13960;10660;24206;14710;13810;7213;4924;2347;3310;3000;1.0;0.7636;0.6077;0.5223;0.4766;0.9063;62210;39930;102140;0.6419;51976;32583;0.6269;DJ;1.0162;0.7698;0.6052;0.5086;0.4506;0.783;0.6215;0.6225;0.0431;0.0438;0.1767;0.136;0.2602;0.1575;0.1871;0.0952;0.0866;0.039;0.0575;0.045;0.153;0.0951;0.1236;0.2114;0.1316
DNK;DK;2000;2000;243756;238835;412621;403307;310010;322821;312781;335465;582958;693397;1.0;0.9798;0.9774;1.0413;1.0725;1.1894;1864126;1995825;3859951;1.0706;966387;964963;0.9985;DK;1.0484;1.0169;1.0161;1.0598;1.0711;1.0807;1.0463;1.0301;0.014;0.0147;0.9295;0.9453;1.0058;1.022;0.8892;0.9424;0.8092;0.8668;0.6147;0.6644;0.7461;0.7807;0.7636;0.9464;0.9749
DMA;DM;2000;2000;3200;3200;5700;5433;4057;4200;2600;2963;3400;3870;1.0;1.0;0.9532;1.0352;1.1396;1.1382;20957;21666;42623;1.0338;12957;12833;0.9904;DM;0.941;1.0047;0.9612;1.0821;1.1854;1.1098;1.0383;1.0105;1.1827;1.113;1.0095;1.0143;1.0536;1.0127;0.8518;0.9217;0.5836;0.6918;0.4109;0.456;0.7549;0.7838;0.7693;0.9711;0.9813
DOM;DO;2000;2000;775538;701101;1183054;1074966;679486;649167;423739;404516;405762;405926;1.0;0.904;0.9086;0.9554;0.9546;1.0004;3469579;3237676;6707255;0.9332;2638078;2425234;0.9193;DO;1.0428;0.9372;0.9264;0.9539;0.9218;0.8435;0.9079;0.9356;0.005;0.0052;1.1224;1.052;1.2966;1.2012;0.9125;0.8704;0.712;0.6563;0.4974;0.4196;0.8347;0.7578;0.7957;1.1236;1.0512
DZA;DZ;3233;2837;4053828;3910408;5630000;4100000;4000000;2166374;1862617;916007;1361748;717994;0.8775;0.9646;0.7282;0.5416;0.4918;0.5273;16911426;11813620;28725046;0.6986;13683828;10176782;0.7437;DZ;0.9182;1.0003;0.7776;0.5729;0.5157;0.5228;0.7276;0.786;0.0022;0.002;1.9616;1.9622;1.5956;1.2408;1.0888;0.6238;0.6992;0.3606;0.4307;0.2251;1.0191;0.7415;0.8831;1.4763;1.1604
ECU;EC;2000;2000;1695008;1607911;2047369;1951974;1327144;1345454;862239;846289;871370;866853;1.0;0.9486;0.9534;1.0138;0.9815;0.9948;6805130;6620481;13425611;0.9729;5069521;4905339;0.9676;EC;1.0412;0.981;0.9695;1.0101;0.9544;0.8679;0.9537;0.982;0.0031;0.0032;1.5211;1.4922;1.3617;1.3202;1.0601;1.0708;0.9045;0.8632;0.6634;0.5758;1.0036;0.9571;0.9801;1.3101;1.2866
EST;EE;2000;2000;46066;52354;79956;77756;86630;93326;62400;77940;64794;121100;1.0;1.1365;0.9725;1.0773;1.249;1.869;341846;424476;766322;1.2417;212652;223436;1.0507;EE;1.0651;1.1847;1.0591;1.1658;1.2723;1.2232;1.0921;1.1312;0.0633;0.0674;0.9833;1.165;0.8988;0.9519;0.8431;0.9829;0.6662;0.8477;0.3593;0.4395;0.6282;0.686;0.659;0.8914;1.0084
EGY;EG;9353;5654;8600000;6600000;10027586;6834615;7100000;4100000;3558621;1898633;3032933;1660573;0.6045;0.7674;0.6816;0.5775;0.5335;0.5475;32328493;21099475;53427968;0.6527;25727586;17534615;0.6815;EG;0.6323;0.8012;0.7107;0.5922;0.5526;0.4751;0.6575;0.707;0.0021;0.0013;1.2478;0.9998;1.1337;0.8057;0.9288;0.55;0.6408;0.3542;0.4929;0.2342;0.819;0.5385;0.6793;1.1003;0.7779
ESH;EH;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0;6000;6000;1.0;EH;1.0456;1.1104;1.2835;1.4043;1.5751;1.1701;1.2895;1.292;0.121;0.1265;0.068;0.0755;0.0376;0.0482;0.0309;0.0434;0.0451;0.0711;0.0684;0.0801;0.0516;0.0665;0.0581;0.0407;0.0526
ERI;ER;2000;2000;2500;2507;3860;2634;2576;2000;2000;2000;3000;3000;1.0;1.0028;0.6824;0.7764;1.0;1.0;15936;14141;30077;0.8874;8936;7141;0.7991;ER;1.0137;1.0153;0.6865;0.7327;0.8642;0.7807;0.8415;0.7938;0.0116;0.0117;0.0099;0.01;0.016;0.011;0.0174;0.0127;0.0177;0.0153;0.022;0.0172;0.015;0.0126;0.0138;0.0139;0.011
ESP;ES;2000;2000;580937;604311;1948610;2135847;2300000;2600000;2400000;2766667;3081427;3751433;1.0;1.0402;1.0961;1.1304;1.1528;1.2174;10312974;11860258;22173232;1.15;4829547;5340158;1.1057;ES;1.0583;1.1052;1.1237;1.1461;1.1776;1.0292;1.0946;1.137;0.0019;0.002;0.33;0.3647;0.7265;0.8164;0.6752;0.7738;0.6067;0.7145;0.4042;0.416;0.5036;0.5512;0.528;0.6153;0.6996
ETH;ET;2000;2000;1179088;730415;2863333;1422718;1748568;670837;370747;120369;257182;149125;1.0;0.6195;0.4969;0.3836;0.3247;0.5798;6420918;3095464;9516382;0.4821;5790989;2823970;0.4876;ET;1.0287;0.63;0.5024;0.3828;0.3036;0.4939;0.4746;0.4924;0.0003;0.0003;0.1285;0.081;0.2884;0.1449;0.2848;0.109;0.092;0.0279;0.0591;0.0292;0.1622;0.077;0.1193;0.2294;0.113
FIN;FI;2000;2000;128994;139750;284676;304869;263891;305736;217771;254596;349396;485626;1.0;1.0834;1.0709;1.1586;1.1691;1.3899;1246728;1492577;2739305;1.1972;677561;750355;1.1074;FI;1.044;1.1489;1.1412;1.2366;1.211;1.1897;1.1571;1.1795;0.0157;0.0164;0.5883;0.6759;0.7744;0.8837;0.7087;0.8764;0.6427;0.7783;0.3724;0.4431;0.5274;0.6102;0.5695;0.7064;0.8332
FJI;FJ;2000;2000;69444;68158;86761;82236;66009;61937;42214;40189;41634;42378;1.0;0.9815;0.9478;0.9383;0.952;1.0179;308062;296898;604960;0.9638;222214;212331;0.9555;FJ;0.9838;0.9684;0.9518;0.9407;0.9613;0.8751;0.9343;0.9544;0.0611;0.0601;1.3352;1.293;1.1851;1.128;0.9879;0.9294;0.8655;0.832;0.6562;0.5742;0.9141;0.854;0.8836;1.1572;1.1044
FLK;FK;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0;6000;6000;1.0;FK;0.8442;0.946;0.8975;1.062;1.1126;0.9;0.974;0.9777;30.7692;25.974;19.0476;18.018;9.1324;8.1967;6.8729;7.2993;5.7803;6.4309;6.9444;6.25;8.9163;8.684;8.7986;9.7561;9.539
FSM;FM;2000;2000;6181;7663;5500;6300;4000;4276;2767;2900;3100;3300;1.0;1.2398;1.1455;1.069;1.0481;1.0645;23548;26439;49987;1.1228;15681;18239;1.1631;FM;0.9938;1.2634;1.1955;1.0653;0.9465;0.843;1.076;1.1899;0.4247;0.4221;0.7777;0.9826;0.5976;0.7144;0.7034;0.7493;0.6127;0.5799;0.487;0.4105;0.6128;0.6593;0.6365;0.6866;0.817
FRO;FO;2000;2000;2900;2700;3900;3300;3500;3230;3200;3000;6200;7000;1.0;0.931;0.8462;0.9229;0.9375;1.129;21700;21230;42930;0.9783;10300;9230;0.8961;FO;1.0294;1.0605;0.9757;1.0265;1.0765;1.1288;1.0541;1.0164;1.2979;1.336;1.0964;1.1628;1.1008;1.0739;1.0116;1.0383;0.8979;0.9665;0.7646;0.863;0.9492;1.0006;0.9739;1.0676;1.0851
FRA;FR;2000;2000;1602741;1744230;4200000;3965517;3631034;3800000;2922184;3104598;4122679;5300000;1.0;1.0883;0.9442;1.0465;1.0624;1.2856;16480638;17916345;34396983;1.0871;9433775;9509747;1.0081;FR;1.0535;1.1452;0.9416;1.0062;1.036;1.0551;1.0018;1.0056;0.0012;0.0012;0.553;0.6333;1.1046;1.04;0.9106;0.9162;0.6935;0.7185;0.4023;0.4244;0.614;0.6151;0.6146;0.8826;0.8875
GAB;GA;2000;2000;103219;96508;159538;135164;119616;79623;60445;32270;49087;32968;1.0;0.935;0.8472;0.6657;0.5339;0.6716;493905;378533;872438;0.7664;382373;311295;0.8141;GA;1.0032;0.9416;0.9019;0.747;0.5887;0.6339;0.801;0.8676;0.0212;0.0212;0.7221;0.68;0.812;0.7323;0.7022;0.5245;0.557;0.3279;0.4576;0.2901;0.6024;0.4825;0.5438;0.7501;0.6508
GBR;GB;2257;2760;2176646;2326115;4650000;4800000;4100000;4566667;3300000;3600000;5473333;6600000;1.2229;1.0687;1.0323;1.1138;1.0909;1.2058;19702236;21895542;41597778;1.1113;10926646;11692782;1.0701;GB;1.2858;1.1319;1.0633;1.0935;1.0516;1.0514;1.0603;1.0894;0.0014;0.0017;0.7613;0.8617;1.0076;1.0714;0.92;1.006;0.7628;0.8021;0.5447;0.5727;0.7044;0.7468;0.7261;0.9158;0.9977
GRD;GD;2000;2000;5300;5000;10500;10500;8400;8996;4800;4950;5400;5900;1.0;0.9434;1.0;1.071;1.0312;1.0926;36400;37346;73746;1.026;24200;24496;1.0122;GD;1.0435;0.983;1.0363;1.0809;1.1022;0.9984;1.0272;1.0404;0.5675;0.5922;0.8676;0.8528;1.0394;1.0771;0.932;1.0074;0.7542;0.8314;0.4295;0.4289;0.7634;0.7841;0.7737;0.9594;0.9982
GEO;GE;2000;2000;274303;275270;403006;381307;327433;332504;229403;257057;276150;453700;1.0;1.0035;0.9462;1.0155;1.1205;1.6429;1512295;1701838;3214133;1.1253;1004742;989081;0.9844;GE;1.0554;1.0669;0.9342;0.9452;0.9609;1.0371;0.9346;0.965;0.0211;0.0223;1.7899;1.9096;1.5778;1.474;1.2672;1.1977;1.0647;1.0231;0.6768;0.7019;1.0918;1.0204;1.0528;1.5062;1.4536
GUF;GF;2000;2000;7093;7693;13724;15636;11207;12567;7586;7712;8351;8029;1.0;1.0846;1.1393;1.1214;1.0166;0.9614;49961;53637;103598;1.0736;32024;35896;1.1209;GF;1.0142;1.0233;0.9535;0.9532;0.894;0.8897;0.9656;0.9772;0.1629;0.1652;0.4406;0.4508;0.7533;0.7184;0.6218;0.5926;0.5114;0.4572;0.3898;0.3468;0.4953;0.4782;0.4863;0.6118;0.5979
GGY;GG;2000;2000;2500;2450;3867;3767;3667;3900;3200;3767;5853;7357;1.0;0.98;0.9741;1.0635;1.1772;1.257;21087;23241;44328;1.1021;10034;10117;1.0083;GG;1.1156;1.021;1.018;1.1105;1.1111;1.1237;1.0649;1.0526;1.4588;1.6273;1.0056;1.0268;0.9581;0.9754;0.8806;0.9779;0.7385;0.8205;0.5403;0.6071;0.7746;0.8249;0.8002;0.939;0.9884
GHA;GH;2000;2000;1361823;982155;1834423;1456123;1035539;703974;445194;233297;436308;247037;1.0;0.7212;0.7938;0.6798;0.524;0.5662;5115287;3624586;8739873;0.7086;4231785;3142252;0.7425;GH;1.0176;0.7318;0.7998;0.6776;0.5071;0.4961;0.6976;0.7474;0.0014;0.0014;0.6265;0.4585;0.7203;0.5761;0.5073;0.3437;0.3278;0.1662;0.3153;0.1564;0.4682;0.3266;0.3969;0.6258;0.4678
GIB;GI;2000;2000;2000;2000;2376;2366;2200;2400;2100;2200;3900;4100;1.0;1.0;0.9958;1.0909;1.0476;1.0513;14576;15066;29642;1.0336;6576;6766;1.0289;GI;1.0318;1.046;1.0127;1.1018;1.0368;0.9576;1.0089;1.0508;2.1209;2.1882;1.1891;1.2438;0.944;0.956;0.8413;0.927;0.8403;0.8713;0.7234;0.6927;0.9316;0.9399;0.9358;0.9651;1.0141
GRL;GL;2000;2000;3400;3300;5055;4900;4200;4100;3100;2700;5963;5569;1.0;0.9706;0.9693;0.9762;0.871;0.9339;23718;22569;46287;0.9516;12655;12300;0.9719;GL;1.0593;1.0198;1.0165;1.0982;1.0696;1.1046;1.0727;1.0449;1.3831;1.4652;1.3122;1.3382;1.0751;1.0928;1.0419;1.1443;0.8926;0.9547;0.7815;0.8633;0.9935;1.0657;1.0275;1.1175;1.1678
GMB;GM;2000;2000;84022;49878;118121;66963;74551;30405;30789;8785;20578;9482;1.0;0.5936;0.5669;0.4078;0.2853;0.4608;330061;167513;497574;0.5075;276694;147246;0.5322;GM;1.0173;0.6013;0.5651;0.4019;0.2663;0.3857;0.4941;0.532;0.0162;0.0165;0.4649;0.2796;0.5826;0.3292;0.5878;0.2363;0.3761;0.1002;0.2225;0.0858;0.4084;0.2018;0.3037;0.5422;0.2884
GIN;GN;2000;2000;635051;557537;734594;550655;351715;204056;125442;63683;101342;60351;1.0;0.8779;0.7496;0.5802;0.5077;0.5955;1950144;1438282;3388426;0.7375;1721360;1312248;0.7623;GN;1.0262;0.8979;0.7484;0.5275;0.4215;0.4599;0.6971;0.7504;0.0031;0.0031;0.6457;0.5798;0.6734;0.504;0.5592;0.295;0.3237;0.1364;0.215;0.0989;0.4628;0.3226;0.3907;0.6368;0.4779
GLP;GP;2000;2000;6593;6469;19106;21465;16566;21586;16592;20169;27121;30621;1.0;0.9812;1.1235;1.303;1.2156;1.1291;87978;102310;190288;1.1629;42265;49520;1.1717;GP;1.0757;1.026;0.8844;0.8852;0.8927;0.8856;0.9285;0.9444;0.193;0.2076;0.4635;0.4756;1.2594;1.1138;1.0649;0.9426;0.7447;0.6648;0.4217;0.3735;0.62;0.5756;0.5953;0.9402;0.8879
GNQ;GQ;2000;2000;18097;17541;37173;27814;30187;15147;9221;3663;5239;3500;1.0;0.9693;0.7482;0.5018;0.3972;0.6681;101917;69665;171582;0.6835;85457;60502;0.708;GQ;1.0141;1.0593;0.8912;0.6955;0.5368;0.6784;0.8057;0.8649;0.0276;0.028;0.1715;0.1817;0.2455;0.2189;0.2198;0.1529;0.1048;0.0563;0.0636;0.0432;0.16;0.1289;0.1457;0.2168;0.1875
GRC;GR;2000;2000;272940;258357;640557;550786;615776;596293;616866;588274;730837;742797;1.0;0.9466;0.8599;0.9684;0.9536;1.0164;2878976;2738507;5617483;0.9512;1529273;1405436;0.919;GR;1.0652;1.0446;0.9148;0.9666;0.9099;0.8225;0.8782;0.9591;0.009;0.0096;0.7096;0.7412;1.1514;1.0533;0.8945;0.8645;0.8013;0.7292;0.4253;0.3498;0.6635;0.5827;0.6215;0.9386;0.9002
SGS;GS;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0;6000;6000;1.0;GS;;;;;;;;;;;;;;;;;;;;;;;;;
GTM;GT;2000;2030;1598507;1614004;1634956;1647421;857797;860764;454706;439234;395006;388332;1.015;1.0097;1.0076;1.0035;0.966;0.9831;4942972;4951785;9894757;1.0018;4091260;4122189;1.0076;GT;1.0391;1.0294;1.0142;0.9796;0.8631;0.8032;0.9662;1.0098;0.0026;0.0027;1.2262;1.2622;1.0427;1.0575;0.7927;0.7764;0.7022;0.6061;0.5032;0.4042;0.8033;0.7762;0.7895;1.0347;1.0449
GUM;GU;2000;2000;7530;8073;15233;14746;13071;11350;10500;9453;13373;14377;1.0;1.0721;0.968;0.8683;0.9003;1.0751;61707;59999;121706;0.9723;35834;34169;0.9535;GU;1.0445;1.1667;1.0847;0.9018;0.8933;1.0021;0.9895;1.0337;0.4059;0.424;0.8839;1.0313;1.2864;1.3953;1.3714;1.2368;1.0773;0.9623;0.7196;0.7212;0.9772;0.967;0.9721;1.1988;1.2392
GNB;GW;2000;2000;52644;38385;81952;57967;49363;28152;21194;10655;14396;7783;1.0;0.7291;0.7073;0.5703;0.5027;0.5406;221549;144942;366491;0.6542;183959;124504;0.6768;GW;1.0169;0.7365;0.7053;0.5581;0.4489;0.3741;0.6201;0.6743;0.0206;0.0209;0.3633;0.2676;0.51;0.3597;0.4274;0.2385;0.2954;0.1326;0.2345;0.0877;0.3401;0.2109;0.2738;0.4369;0.2946
GUY;GY;2000;2000;64561;64075;91452;89810;53733;53356;36667;39200;38154;45421;1.0;0.9925;0.982;0.993;1.0691;1.1905;286567;293862;580429;1.0255;209746;207241;0.9881;GY;1.0339;1.0186;0.9248;0.8781;0.9546;0.9711;0.9446;0.9392;0.0675;0.0698;1.2262;1.249;1.3962;1.2912;1.2274;1.0777;0.8944;0.8538;0.71;0.6894;1.0009;0.9454;0.972;1.2953;1.2164
HKG;HK;2000;2000;145388;176274;526688;697399;561693;827466;375944;434418;492219;517169;1.0;1.2124;1.3241;1.4732;1.1555;1.0507;2103932;2654726;4758658;1.2618;1233769;1701139;1.3788;HK;1.0269;1.199;1.0987;0.9485;0.797;0.9155;1.0097;1.049;0.0171;0.0176;0.7177;0.8605;1.2043;1.3231;1.2284;1.1651;0.8035;0.6404;0.379;0.347;0.7059;0.7127;0.7097;1.1245;1.1796
HND;HN;2000;2000;695306;709911;749679;793324;427713;475761;237385;271649;217852;256458;1.0;1.021;1.0582;1.1123;1.1443;1.1772;2329935;2509103;4839038;1.0769;1872698;1978996;1.0568;HN;1.0485;1.0654;1.0924;1.1304;1.1138;1.0093;1.0774;1.0896;0.0046;0.0048;0.9234;0.9838;0.8133;0.8884;0.6055;0.6844;0.518;0.577;0.4695;0.4739;0.6231;0.6714;0.6473;0.7864;0.8568
HRV;HR;2000;2000;103434;101772;269524;241089;228078;219863;178108;185683;218565;246355;1.0;0.9839;0.8945;0.964;1.0425;1.1271;999709;996762;1996471;0.9971;601036;562724;0.9363;HR;1.0554;1.0426;0.9442;0.9943;1.0378;0.872;0.9101;0.9795;0.0237;0.025;0.7222;0.753;1.2148;1.147;0.8542;0.8493;0.669;0.6943;0.3444;0.3003;0.6182;0.5625;0.5891;0.9509;0.9313
HTI;HT;2000;2000;464236;426085;531407;529663;317914;280105;142778;99475;112585;78979;1.0;0.9178;0.9967;0.8811;0.6967;0.7015;1570920;1416307;2987227;0.9016;1313557;1235853;0.9408;HT;1.0118;0.9212;0.9906;0.8675;0.6711;0.5831;0.8713;0.9353;0.0042;0.0043;0.6004;0.5531;0.5465;0.5413;0.4335;0.3761;0.2846;0.191;0.2064;0.1204;0.393;0.3424;0.3673;0.5299;0.4956
HUN;HU;2000;2000;392174;399540;674190;634263;586860;595037;597834;664717;667056;995527;1.0;1.0188;0.9408;1.0139;1.1119;1.4924;2920114;3291084;6211198;1.127;1653224;1628840;0.9853;HU;1.0537;1.0774;1.0059;1.0523;1.1218;1.0625;1.0174;1.0383;0.0097;0.0102;1.092;1.1765;1.0631;1.0692;0.8583;0.9033;0.7681;0.8616;0.5082;0.54;0.7348;0.7476;0.7415;0.9858;1.0234
IDN;ID;2693;2156;14391524;11304636;29785185;22614445;18203333;13194943;8486667;5966667;5070000;3211433;0.8006;0.7855;0.7593;0.7249;0.7031;0.6334;75939402;56294280;132233682;0.7413;62380042;47114024;0.7553;ID;0.8431;0.8261;0.7955;0.7493;0.7035;0.5454;0.7385;0.7883;0.0003;0.0002;0.9091;0.751;1.3572;1.0796;0.8654;0.6485;0.4779;0.3362;0.2433;0.1327;0.7095;0.524;0.6166;1.0607;0.8361
IRL;IE;2000;2000;148050;163024;325900;336826;311458;365553;254503;305904;286052;374216;1.0;1.1011;1.0335;1.1737;1.202;1.3082;1327963;1547523;2875486;1.1653;785408;865403;1.1019;IE;1.0506;1.1387;1.041;1.095;1.1812;1.2065;1.1264;1.0821;0.0139;0.0146;0.6289;0.7162;1.0483;1.0913;0.8331;0.9122;0.7073;0.8354;0.4318;0.521;0.6364;0.7169;0.6773;0.8535;0.9236
ISR;IL;2000;2000;320054;271338;777634;650630;585220;539123;409894;430189;551440;664495;1.0;0.8478;0.8367;0.9212;1.0495;1.205;2646242;2557775;5204017;0.9666;1682908;1461091;0.8682;IL;1.0501;0.8852;0.8608;0.9162;1.0271;1.0327;0.9367;0.8868;0.0066;0.0069;0.6453;0.5712;1.2527;1.0783;1.0413;0.9541;0.836;0.8587;0.6318;0.6524;0.791;0.7409;0.7656;1.0025;0.889
IMN;IM;2000;2000;3100;3000;4800;4838;4600;5370;4600;5300;8737;10407;1.0;0.9677;1.0079;1.1674;1.1522;1.1911;27837;30915;58752;1.1106;12500;13208;1.0566;IM;1.1212;1.0727;0.9993;1.1085;1.1239;1.1124;1.0804;1.0579;1.0341;1.1594;0.9577;1.0274;1.0617;1.061;0.9291;1.0299;0.7673;0.8623;0.5732;0.6377;0.7758;0.8381;0.8074;0.9836;1.0405
IND;IN;73319;26696;84044712;30851719;118098978;43287241;59051839;20923334;24620000;9200000;18208621;7966667;0.3641;0.3671;0.3665;0.3543;0.3737;0.4375;304097469;112255657;416353126;0.3691;261195529;95062294;0.364;IN;0.4006;0.4048;0.4003;0.382;0.3907;0.4202;0.3908;0.3969;0.0014;0.0006;0.8828;0.3573;0.9406;0.3765;0.5555;0.2122;0.3085;0.1205;0.1768;0.0743;0.5399;0.211;0.3802;0.7986;0.317
IOT;IO;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0;6000;6000;1.0;IO;;;;;;;;;;;;;;;;;;;;;;;;;
IRQ;IQ;2867;2000;4195474;1586904;5900000;2300000;3063333;1056864;1568000;560065;1095385;429986;0.6976;0.3782;0.3898;0.345;0.3572;0.3925;15825059;5935819;21760878;0.3751;13158807;4943768;0.3757;IQ;0.7316;0.3943;0.3993;0.3428;0.3417;0.3047;0.3686;0.3838;0.0015;0.0011;1.3873;0.5471;1.6829;0.672;1.2327;0.4226;0.8735;0.2985;0.6967;0.2123;1.1036;0.4068;0.7521;1.4596;0.5603
ISL;IS;2000;2000;16200;16489;32496;29882;26571;25035;21544;21711;37952;44956;1.0;1.0178;0.9196;0.9422;1.0078;1.1845;136763;140073;276836;1.0242;75267;71406;0.9487;IS;1.0555;1.0405;1.0327;1.0656;1.0816;1.1391;1.0734;1.0449;0.2012;0.2124;0.9097;0.9466;0.9762;1.0081;0.9337;0.9949;0.9001;0.9735;0.7594;0.865;0.837;0.8984;0.867;0.9461;0.9886
ITA;IT;2000;2000;1125426;1025597;3200000;2900000;3000000;2970000;3243333;3366667;5200000;5366667;1.0;0.9113;0.9062;0.99;1.038;1.0321;15770759;15630931;31401690;0.9911;7325426;6895597;0.9413;IT;1.0606;0.9863;0.9599;1.0011;1.0218;0.8717;0.9335;0.9835;0.0017;0.0018;0.518;0.5108;0.9617;0.9231;0.8286;0.8295;0.701;0.7163;0.4864;0.424;0.6155;0.5746;0.5944;0.8031;0.7899
JEY;JE;2000;2000;2900;3037;5800;5800;6167;6747;5670;6400;9154;11350;1.0;1.0472;1.0;1.094;1.1287;1.2399;31691;35334;67025;1.115;14867;15584;1.0482;JE;0.9824;1.0993;1.0244;1.0879;1.129;1.1142;1.076;1.0661;0.9407;0.9242;0.7349;0.8079;0.9199;0.9423;0.8365;0.9102;0.7285;0.8225;0.5572;0.6209;0.7209;0.7757;0.7488;0.8436;0.8994
JAM;JM;2000;2000;54266;49957;147343;166639;108021;125779;75681;90684;81426;101670;1.0;0.9206;1.131;1.1644;1.1982;1.2486;468737;536729;1005466;1.1451;309630;342375;1.1058;JM;1.0349;0.9521;1.1671;1.1919;1.1416;1.0126;1.1078;1.1386;0.0219;0.0227;0.3173;0.3021;0.553;0.6454;0.4831;0.5758;0.4447;0.5077;0.3622;0.3667;0.4085;0.4525;0.4309;0.4684;0.5333
JOR;JO;2000;2000;796172;680169;1083358;858457;683016;499124;410187;298140;337673;264004;1.0;0.8543;0.7924;0.7308;0.7268;0.7818;3312406;2601894;5914300;0.7855;2562546;2037750;0.7952;JO;1.0021;0.8729;0.892;0.8176;0.8241;0.8124;0.8477;0.8685;0.0044;0.0044;1.1267;0.9835;1.0691;0.9538;0.8773;0.7173;0.6893;0.5681;0.5573;0.4528;0.7968;0.6754;0.7384;1.0257;0.8908
JPN;JP;2000;2000;461002;429404;1721093;1530681;2200000;2200000;2466667;1946581;2878751;1794958;1.0;0.9315;0.8894;1.0;0.7892;0.6235;9729513;7903624;17633137;0.8123;4382095;4160085;0.9493;JP;1.0594;0.9806;0.9257;1.0248;0.8047;0.5292;0.7652;0.9843;0.0009;0.0009;0.1069;0.1048;0.2756;0.2551;0.2954;0.3028;0.2573;0.2071;0.1199;0.0635;0.1805;0.1381;0.1587;0.2434;0.2396
