iso3;Country;age_13_17_men;age_13_17_women;age_18_24_men;age_18_24_women;age_25_34_men;age_25_34_women;age_35_44_men;age_35_44_women;age_45_54_men;age_45_54_women;age_55_100_men;age_55_100_women;age_13_17_ratio;age_18_24_ratio;age_25_34_ratio;age_35_44_ratio;age_45_54_ratio;age_55_100_ratio;total_men;total_women;total_all;total_ratio;total_18_44_men;total_18_44_women;total_18_44_ratio;iso2;age_13_17_ratio_std;age_18_24_ratio_std;age_25_34_ratio_std;age_35_44_ratio_std;age_45_54_ratio_std;age_55_100_ratio_std;total_ratio_std;total_18_44_ratio_std;age_13_17_men_pen;age_13_17_women_pen;age_18_24_men_pen;age_18_24_women_pen;age_25_34_men_pen;age_25_34_women_pen;age_35_44_men_pen;age_35_44_women_pen;age_45_54_men_pen;age_45_54_women_pen;age_55_100_men_pen;age_55_100_women_pen;total_men_pen;total_women_pen;total_all_pen;total_18_44_men_pen;total_18_44_women_pen
AUS;AU;2000;3067;1188108;1191169;2200000;2170000;1800003;1892827;1324303;1474377;2132846;2633790;1.5335;1.0026;0.9864;1.0516;1.1133;1.2349;8647260;9365230;18012490;1.083;5188111;5253996;1.0127;AU;1.6267;1.0634;0.9963;1.0338;1.0842;1.1184;1.051;1.0239;0.003;0.0049;1.0359;1.1016;1.1506;1.1462;0.9894;1.0228;0.8114;0.8799;0.5921;0.6622;0.8026;0.8436;0.8234;1.0635;1.0889
ABW;AW;2000;2000;5200;5150;9943;9603;8960;9437;7600;8800;12700;15643;1.0;0.9904;0.9658;1.0532;1.1579;1.2317;46403;50633;97036;1.0912;24103;24190;1.0036;AW;1.0434;1.0701;0.9398;0.9045;0.9528;0.9678;0.9484;0.9558;0.6995;0.7299;1.101;1.1782;1.6084;1.5116;1.4108;1.2761;1.0954;1.0436;0.8447;0.8175;1.1025;1.0456;1.0721;1.3968;1.3351
AZE;AZ;2000;2000;141174;79361;365323;165118;338167;161342;185023;93837;189124;124267;1.0;0.5622;0.452;0.4771;0.5072;0.6571;1220811;625925;1846736;0.5127;844664;405821;0.4805;AZ;1.1162;0.6032;0.4263;0.4604;0.4602;0.5117;0.4737;0.4697;0.0062;0.0069;0.2985;0.1801;0.4204;0.1792;0.4241;0.1953;0.3162;0.1455;0.2172;0.1111;0.3116;0.1476;0.2264;0.3949;0.1855
BIH;BA;2000;2000;95574;94656;202761;185213;170717;170259;145066;144082;188588;194714;1.0;0.9904;0.9135;0.9973;0.9932;1.0325;804706;790924;1595630;0.9829;469052;450128;0.9597;BA;1.0791;1.0811;1.0285;1.0092;0.9462;0.7357;0.8698;1.0231;0.0295;0.0319;0.7567;0.8181;1.1436;1.1761;0.7387;0.7454;0.6528;0.6177;0.3843;0.2827;0.6118;0.5322;0.5695;0.8772;0.8974
BRB;BB;2000;2000;7633;6800;19603;18832;16700;18473;14645;16730;20904;24962;1.0;0.8909;0.9607;1.1062;1.1424;1.1941;81485;87797;169282;1.0775;43936;44105;1.0038;BB;1.0334;0.9188;0.9448;1.0436;1.0441;0.9412;0.9705;0.9842;0.2694;0.2784;0.5745;0.5279;1.0791;1.0195;0.9236;0.9638;0.7987;0.8338;0.5689;0.5355;0.7273;0.7058;0.716;0.887;0.873
BGD;BD;13883;10452;17400000;12933333;14810370;7324000;6117778;2295974;2246173;832257;1306702;524515;0.7529;0.7433;0.4945;0.3753;0.3705;0.4014;41894906;23920531;65815437;0.571;38328148;22553307;0.5884;BD;0.7708;0.6441;0.4225;0.3565;0.3667;0.4048;0.5338;0.5222;0.002;0.0015;1.6578;1.0677;1.1638;0.4917;0.5355;0.1909;0.2831;0.1038;0.1196;0.0484;0.6927;0.3697;0.5258;1.1063;0.5778
BEL;BE;2000;2000;397019;413234;788777;744036;682727;692117;567230;601743;953031;1090371;1.0;1.0408;0.9433;1.0138;1.0608;1.1441;3390784;3543501;6934285;1.045;1868523;1849387;0.9898;BE;1.048;1.0854;0.9482;1.0129;1.0808;1.0029;1.0022;1.0012;0.0072;0.0076;0.839;0.9107;1.0532;0.9986;0.8992;0.9107;0.7344;0.7938;0.523;0.5245;0.6987;0.7003;0.6995;0.943;0.9441
BFA;BF;2000;2000;865030;456041;964178;415992;487335;178079;176518;52452;124000;52706;1.0;0.5272;0.4314;0.3654;0.2971;0.425;2619061;1157270;3776331;0.4419;2316543;1050112;0.4533;BF;1.0282;0.5379;0.4301;0.3574;0.2722;0.323;0.4273;0.4533;0.0018;0.0019;0.5609;0.3017;0.5989;0.2576;0.4252;0.152;0.2616;0.0712;0.1986;0.0642;0.3913;0.1672;0.2773;0.5389;0.2443
BGR;BG;2000;2000;226749;225153;397127;361892;412900;399103;379680;398157;445966;629559;1.0;0.993;0.9113;0.9666;1.0487;1.4117;1864422;2015864;3880286;1.0812;1036776;986148;0.9512;BG;1.0608;1.0497;0.9627;1.031;1.0889;1.0629;0.9957;1.0093;0.0143;0.0152;0.9962;1.0457;1.0015;0.9641;0.8184;0.8438;0.7104;0.7735;0.4364;0.4638;0.6601;0.6572;0.6586;0.9186;0.9271
BHR;BH;2000;2000;60203;23660;239893;81611;193396;73205;85113;33866;41771;16707;1.0;0.393;0.3402;0.3785;0.3979;0.4;622376;231049;853425;0.3712;493492;178476;0.3617;BH;1.0028;0.6282;0.6546;0.8988;0.7618;0.5055;0.676;0.7353;0.0592;0.0593;0.6871;0.4316;1.0491;0.6867;0.7578;0.6812;0.657;0.5005;0.4813;0.2433;0.7575;0.5121;0.6705;0.8635;0.6349
