Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Africa Western and Central,AFW,"Population ages 15-19, male",SP.POP.1519.MA,25775750,26608430,27454495,28323529,29226088,30118525
Africa Western and Central,AFW,"Population ages 20-24, female",SP.POP.2024.FE,20770640,21440235,22152913,22930851,23767434,24624732
Africa Western and Central,AFW,"Population ages 20-24, male",SP.POP.2024.MA,21349466,22064809,22808068,23608398,24475327,25365659
Africa Western and Central,AFW,"Population ages 25-29, female",SP.POP.2529.FE,17727143,18182508,18653217,19168972,19719657,20294971
Africa Western and Central,AFW,"Population ages 25-29, male",SP.POP.2529.MA,18004348,18494964,18995189,19542247,20137707,20765398
Africa Western and Central,AFW,"Population ages 30-34, female",SP.POP.3034.FE,15274225,15640051,16019621,16433252,16843564,17226920
Africa Western and Central,AFW,"Population ages 30-34, male",SP.POP.3034.MA,15396977,15773105,16164679,16597388,17038291,17457871
Africa Western and Central,AFW,"Population ages 35-39, female",SP.POP.3539.FE,13116835,13464743,13801302,14139375,14473601,14795791
Africa Western and Central,AFW,"Population ages 35-39, male",SP.POP.3539.MA,13253534,13586964,13906207,14230245,14560752,14888773
Africa Western and Central,AFW,"Population ages 40-44, female",SP.POP.4044.FE,10851564,11215583,11576498,11948043,12307549,12642069
Africa Western and Central,AFW,"Population ages 40-44, male",SP.POP.4044.MA,10995789,11360200,11715210,12077536,12425169,12745594
Africa Western and Central,AFW,"Population ages 45-49, female",SP.POP.4549.FE,8613136,8941632,9286767,9659422,10039991,10402421
Africa Western and Central,AFW,"Population ages 45-49, male",SP.POP.4549.MA,8633033,8977835,9338246,9723708,10114196,10481011
Africa Western and Central,AFW,"Population ages 50-54, female",SP.POP.5054.FE,6876241,7097384,7335796,7600784,7884722,8184011
Africa Western and Central,AFW,"Population ages 50-54, male",SP.POP.5054.MA,6753037,6986174,7233542,7506654,7800535,8111938
Africa Western and Central,AFW,"Population ages 55-59, female",SP.POP.5559.FE,5513104,5678073,5844932,6027751,6223667,6426672
Africa Western and Central,AFW,"Population ages 55-59, male",SP.POP.5559.MA,5249273,5424029,5603044,5797053,6003202,6215364
Africa Western and Central,AFW,"Population ages 60-64, female",SP.POP.6064.FE,4249874,4384948,4530475,4685899,4846656,5007157
Africa Western and Central,AFW,"Population ages 60-64, male",SP.POP.6064.MA,3924752,4055661,4199866,4353569,4514075,4677133
Africa Western and Central,AFW,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,7437590,7636111,7852621,8099023,8364262,8634275
Africa Western and Central,AFW,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,6403240,6572185,6769527,6990622,7225808,7464994
Albania,ALB,"Population ages 10-14, male",SP.POP.1014.MA,86834,85449,85118,85479,86553,87242
Albania,ALB,"Population ages 15-19, female",SP.POP.1519.FE,92523,87219,83055,80052,77530,75492
Albania,ALB,"Population ages 10-14, female",SP.POP.1014.FE,79764,78498,78019,78235,79057,79443
Albania,ALB,"Population ages 15-19, male",SP.POP.1519.MA,99564,94736,90647,87496,84796,82409
Albania,ALB,"Population ages 20-24, female",SP.POP.2024.FE,112864,106342,99593,94338,89546,84238
Albania,ALB,"Population ages 20-24, male",SP.POP.2024.MA,116540,111000,105183,100447,96054,91242
Albania,ALB,"Population ages 25-29, female",SP.POP.2529.FE,121907,120179,116867,112898,108033,102451
Albania,ALB,"Population ages 25-29, male",SP.POP.2529.MA,123066,120810,117706,114566,110778,106073
Albania,ALB,"Population ages 30-34, female",SP.POP.3034.FE,102040,104997,107872,110598,112442,112730
Albania,ALB,"Population ages 30-34, male",SP.POP.3034.MA,111075,113242,114398,114925,114752,113695
Albania,ALB,"Population ages 35-39, female",SP.POP.3539.FE,86239,87247,88329,89879,92260,95203
Albania,ALB,"Population ages 35-39, male",SP.POP.3539.MA,85929,89477,93041,96655,100384,103668
Albania,ALB,"Population ages 40-44, female",SP.POP.4044.FE,82596,81297,80188,79664,80095,81049
Albania,ALB,"Population ages 40-44, male",SP.POP.4044.MA,72747,72712,73178,74532,77051,80350
Albania,ALB,"Population ages 45-49, female",SP.POP.4549.FE,89020,86480,83870,81332,79535,78179
Albania,ALB,"Population ages 45-49, male",SP.POP.4549.MA,76128,73538,71198,69340,68407,68120
Albania,ALB,"Population ages 50-54, female",SP.POP.5054.FE,95762,94659,92641,89775,87097,84586
Albania,ALB,"Population ages 50-54, male",SP.POP.5054.MA,84597,82664,80027,76818,73919,71310
Albania,ALB,"Population ages 55-59, female",SP.POP.5559.FE,98953,97371,95202,92933,91752,91031
Albania,ALB,"Population ages 55-59, male",SP.POP.5559.MA,91289,88545,85432,82431,80460,78933
Albania,ALB,"Population ages 60-64, female",SP.POP.6064.FE,92229,94064,94931,94777,94399,93475
Albania,ALB,"Population ages 60-64, male",SP.POP.6064.MA,86471,87547,87726,86901,85729,83962
Albania,ALB,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,221309,227268,232533,237912,245421,253890
Albania,ALB,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,197756,201961,205685,209736,215743,222540
Algeria,DZA,"Population ages 10-14, male",SP.POP.1014.MA,1975617,2067156,2157000,2241562,2320623,2396999
Algeria,DZA,"Population ages 15-19, female",SP.POP.1519.FE,1474253,1529792,1604724,1694651,1788486,1880737
Algeria,DZA,"Population ages 10-14, female",SP.POP.1014.FE,1887961,1976850,2064454,2147148,2224679,2299654
Algeria,DZA,"Population ages 15-19, male",SP.POP.1519.MA,1537566,1597616,1677177,1771626,1869848,1966018
Algeria,DZA,"Population ages 20-24, female",SP.POP.2024.FE,1445501,1416001,1396455,1398911,1424249,1460841
Algeria,DZA,"Population ages 20-24, male",SP.POP.2024.MA,1524986,1481986,1449867,1447879,1477328,1518850
Algeria,DZA,"Population ages 25-29, female",SP.POP.2529.FE,1664730,1627000,1586141,1534401,1478854,1435421
Algeria,DZA,"Population ages 25-29, male",SP.POP.2529.MA,1782669,1743426,1700011,1637811,1566065,1508563
Algeria,DZA,"Population ages 30-34, female",SP.POP.3034.FE,1801593,1780141,1753778,1724059,1691218,1655770
Algeria,DZA,"Population ages 30-34, male",SP.POP.3034.MA,1906361,1887472,1864079,1836094,1803529,1767920
Algeria,DZA,"Population ages 35-39, female",SP.POP.3539.FE,1770604,1793737,1807445,1811289,1805637,1791597
Algeria,DZA,"Population ages 35-39, male",SP.POP.3539.MA,1875907,1896131,1907029,1909077,1903696,1891912
Algeria,DZA,"Population ages 40-44, female",SP.POP.4044.FE,1521739,1579203,1634515,1684133,1725580,1758072
Algeria,DZA,"Population ages 40-44, male",SP.POP.4044.MA,1609419,1673566,1734412,1787175,1829068,1860022
Algeria,DZA,"Population ages 45-49, female",SP.POP.4549.FE,1270919,1308150,1349939,1397448,1450427,1507077
Algeria,DZA,"Population ages 45-49, male",SP.POP.4549.MA,1333144,1372131,1416905,1468810,1527822,1591559
Algeria,DZA,"Population ages 50-54, female",SP.POP.5054.FE,1080177,1115746,1150551,1184759,1218673,1253556
Algeria,DZA,"Population ages 50-54, male",SP.POP.5054.MA,1132825,1169011,1204902,1240194,1275162,1311419
Algeria,DZA,"Population ages 55-59, female",SP.POP.5559.FE,855590,896722,939234,981169,1021015,1058585
Algeria,DZA,"Population ages 55-59, male",SP.POP.5559.MA,902908,942841,984471,1025840,1065726,1103937
Algeria,DZA,"Population ages 60-64, female",SP.POP.6064.FE,673461,696121,722597,753383,788479,827241
Algeria,DZA,"Population ages 60-64, male",SP.POP.6064.MA,698193,723615,753720,787267,823717,862545
Algeria,DZA,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,1344896,1395927,1458545,1525222,1594535,1667649
Algeria,DZA,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,1250984,1296023,1355124,1418605,1486882,1560766
American Samoa,ASM,"Population ages 10-14, male",SP.POP.1014.MA,2711,2606,2483,2403,2358,2301
American Samoa,ASM,"Population ages 15-19, female",SP.POP.1519.FE,2395,2399,2348,2305,2292,2288
American Samoa,ASM,"Population ages 10-14, female",SP.POP.1014.FE,2594,2513,2408,2339,2297,2250
American Samoa,ASM,"Population ages 15-19, male",SP.POP.1519.MA,2623,2608,2518,2438,2397,2369
American Samoa,ASM,"Population ages 20-24, female",SP.POP.2024.FE,1663,1684,1704,1739,1797,1866
American Samoa,ASM,"Population ages 20-24, male",SP.POP.2024.MA,1705,1756,1807,1880,1971,2050
American Samoa,ASM,"Population ages 25-29, female",SP.POP.2529.FE,1658,1579,1470,1342,1222,1158
American Samoa,ASM,"Population ages 25-29, male",SP.POP.2529.MA,1625,1544,1435,1316,1215,1176
American Samoa,ASM,"Population ages 30-34, female",SP.POP.3034.FE,1523,1547,1558,1528,1456,1355
American Samoa,ASM,"Population ages 30-34, male",SP.POP.3034.MA,1558,1573,1574,1528,1436,1319
American Samoa,ASM,"Population ages 35-39, female",SP.POP.3539.FE,1450,1423,1412,1392,1360,1343
American Samoa,ASM,"Population ages 35-39, male",SP.POP.3539.MA,1519,1500,1489,1461,1414,1379
American Samoa,ASM,"Population ages 40-44, female",SP.POP.4044.FE,1584,1542,1487,1422,1359,1308
American Samoa,ASM,"Population ages 40-44, male",SP.POP.4044.MA,1626,1589,1546,1496,1440,1385
American Samoa,ASM,"Population ages 45-49, female",SP.POP.4549.FE,1543,1542,1531,1516,1494,1458
American Samoa,ASM,"Population ages 45-49, male",SP.POP.4549.MA,1612,1595,1577,1552,1524,1489
American Samoa,ASM,"Population ages 50-54, female",SP.POP.5054.FE,1481,1463,1441,1432,1420,1413
American Samoa,ASM,"Population ages 50-54, male",SP.POP.5054.MA,1634,1616,1587,1551,1512,1481
American Samoa,ASM,"Population ages 55-59, female",SP.POP.5559.FE,1314,1335,1333,1332,1338,1341
American Samoa,ASM,"Population ages 55-59, male",SP.POP.5559.MA,1321,1365,1409,1444,1468,1471
American Samoa,ASM,"Population ages 60-64, female",SP.POP.6064.FE,988,1029,1070,1115,1151,1181
American Samoa,ASM,"Population ages 60-64, male",SP.POP.6064.MA,1003,1032,1046,1070,1106,1143
American Samoa,ASM,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,1687,1759,1823,1905,2003,2097
American Samoa,ASM,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,1480,1549,1612,1683,1758,1833
Andorra,AND,"Population ages 10-14, male",SP.POP.1014.MA,2133,2133,2130,2075,1999,1944
Andorra,AND,"Population ages 15-19, female",SP.POP.1519.FE,1956,1947,1944,2007,2076,2128
Andorra,AND,"Population ages 10-14, female",SP.POP.1014.FE,1988,2047,2081,2049,1980,1915
Andorra,AND,"Population ages 15-19, male",SP.POP.1519.MA,2085,2119,2173,2243,2286,2279
Andorra,AND,"Population ages 20-24, female",SP.POP.2024.FE,2001,2057,2166,2252,2276,2274
Andorra,AND,"Population ages 20-24, male",SP.POP.2024.MA,2298,2345,2377,2385,2410,2426
Andorra,AND,"Population ages 25-29, female",SP.POP.2529.FE,2184,2172,2203,2252,2347,2441
Andorra,AND,"Population ages 25-29, male",SP.POP.2529.MA,2429,2521,2627,2686,2741,2789
Andorra,AND,"Population ages 30-34, female",SP.POP.3034.FE,2515,2537,2603,2639,2634,2611
Andorra,AND,"Population ages 30-34, male",SP.POP.3034.MA,2614,2713,2829,2890,2915,2921
Andorra,AND,"Population ages 35-39, female",SP.POP.3539.FE,3024,2905,2782,2737,2764,2786
Andorra,AND,"Population ages 35-39, male",SP.POP.3539.MA,3025,2977,2946,2924,2933,2985
Andorra,AND,"Population ages 40-44, female",SP.POP.4044.FE,3423,3410,3405,3351,3264,3163
Andorra,AND,"Population ages 40-44, male",SP.POP.4044.MA,3425,3379,3366,3322,3268,3213
