,country_code,bucket,tiktok_male,tiktok_female,pop_male,pop_female
105,DZA,3544,2246000.0,1133000.0,3751934.0,3549669.0
106,DZA,4554,871000.0,499000.0,2902978.0,2760633.0
107,DZA,55plus,694000.0,528500.0,1966482.0,1885826.0
108,EGY,1519,1500.0,1500.0,5644245.0,5390361.0
109,EGY,2024,35838500.0,11964000.0,5042469.0,4848741.0
110,EGY,2534,30146500.0,18557000.0,9084764.0,8691107.0
111,EGY,3544,14069500.0,10531500.0,8140037.0,7945153.0
112,EGY,4554,4051000.0,4029000.0,5975901.0,5797744.0
113,EGY,55plus,9394000.0,2822500.0,4054198.0,4160093.0
114,ESP,1519,500.0,500.0,1338690.0,1264568.0
115,ESP,2024,1856000.0,1996000.0,1316716.0,1245750.0
116,ESP,2534,2372500.0,2570500.0,2621150.0,2535200.0
117,ESP,3544,1554000.0,2381500.0,3162322.0,3133224.0
118,ESP,4554,1496000.0,2445000.0,4020627.0,3927757.0
119,ESP,55plus,1276000.0,2431500.0,3536348.0,3649198.0
120,FIN,1519,500.0,500.0,163985.0,156884.0
121,FIN,2024,220500.0,320500.0,161454.0,153381.0
122,FIN,2534,244000.0,307500.0,355432.0,333025.0
123,FIN,3544,107500.0,137500.0,377436.0,352895.0
124,FIN,4554,76000.0,107000.0,342108.0,327799.0
125,FIN,55plus,65000.0,88000.0,354460.0,358713.0
126,FRA,1519,500.0,500.0,2187697.0,2084524.0
127,FRA,2024,2729500.0,3027000.0,2192279.0,2084824.0
128,FRA,2534,3273500.0,3547500.0,3943909.0,3895621.0
129,FRA,3544,1897500.0,2414000.0,4026014.0,4204429.0
130,FRA,4554,1333000.0,1766000.0,4281636.0,4374865.0
131,FRA,55plus,1090500.0,1580500.0,4174183.0,4481437.0
132,GBR,1519,500.0,500.0,2147283.0,2044753.0
133,GBR,2024,2875000.0,3199000.0,2061253.0,1957753.0
134,GBR,2534,3879500.0,4435000.0,4644573.0,4444439.0
135,GBR,3544,2045000.0,3314000.0,4514570.0,4593123.0
136,GBR,4554,1367500.0,2178500.0,4263887.0,4360763.0
137,GBR,55plus,1240500.0,2004000.0,4199397.0,4564101.0
138,GRC,1519,500.0,500.0,282479.0,266616.0
139,GRC,2024,401500.0,523000.0,275038.0,249384.0
140,GRC,2534,573000.0,736000.0,534615.0,486979.0
141,GRC,3544,366500.0,455000.0,628283.0,627371.0
142,GRC,4554,316000.0,409500.0,768642.0,794509.0
143,GRC,55plus,290500.0,424000.0,696290.0,780361.0
144,GTM,1519,500.0,500.0,958330.0,936564.0
145,GTM,2024,1882000.0,1768500.0,939890.0,923662.0
146,GTM,2534,2676000.0,2103000.0,1654228.0,1643694.0
147,GTM,3544,829500.0,658000.0,1194805.0,1214797.0
148,GTM,4554,373000.0,321500.0,727927.0,799820.0
149,GTM,55plus,322000.0,329500.0,435724.0,532811.0
150,HUN,1519,500.0,500.0,254977.0,242320.0
151,HUN,2024,329500.0,426500.0,258712.0,244073.0
152,HUN,2534,476500.0,590500.0,594399.0,557183.0
153,HUN,3544,264000.0,314000.0,641074.0,610664.0
154,HUN,4554,236000.0,297000.0,780998.0,772498.0
155,HUN,55plus,162000.0,229500.0,560855.0,612052.0
156,IRL,1519,500.0,500.0,192180.0,183453.0
157,IRL,2024,288500.0,445000.0,181715.0,175868.0
158,IRL,2534,299500.0,439000.0,329170.0,322091.0
159,IRL,3544,167500.0,253000.0,363455.0,388299.0
160,IRL,4554,141500.0,213000.0,388711.0,400950.0
161,IRL,55plus,104000.0,153500.0,310927.0,319581.0
162,IRQ,1519,500.0,500.0,2520109.0,2402770.0
163,IRQ,2024,6823000.0,5119000.0,2208780.0,2115100.0
164,IRQ,2534,10574000.0,6460500.0,3761704.0,3654815.0
165,IRQ,3544,3087500.0,1599500.0,2686226.0,2684373.0
166,IRQ,4554,1341500.0,737500.0,1947885.0,2013426.0
167,IRQ,55plus,1289000.0,874500.0,1143645.0,1319933.0
168,ITA,1519,500.0,500.0,1480806.0,1397412.0
169,ITA,2024,2247000.0,2317000.0,1559724.0,1465379.0
170,ITA,2534,2595000.0,2783500.0,3255173.0,3013520.0
171,ITA,3544,1564000.0,2003000.0,3461335.0,3405962.0
172,ITA,4554,1584500.0,2128500.0,4366674.0,4403431.0
173,ITA,55plus,1723500.0,2472500.0,4509966.0,4720643.0
174,JPN,1519,1500.0,1500.0,2903961.0,2750026.0
175,JPN,2024,15352000.0,15056000.0,3136998.0,2986343.0
