,0,1,2,3
101,MA,192950,GENDER_MALE,AGE_55_100
102,MA,192950,GENDER_UNLIMITED,AGE_13_17
103,MA,192950,GENDER_UNLIMITED,AGE_18_24
104,MA,192950,GENDER_UNLIMITED,AGE_25_34
105,MA,192950,GENDER_UNLIMITED,AGE_35_44
106,MA,192950,GENDER_UNLIMITED,AGE_45_54
107,MA,192950,GENDER_UNLIMITED,AGE_55_100
108,MA,798549,GENDER_FEMALE,AGE_13_17
109,MA,798549,GENDER_FEMALE,AGE_18_24
110,MA,798549,GENDER_FEMALE,AGE_25_34
111,MA,798549,GENDER_FEMALE,AGE_35_44
112,MA,798549,GENDER_FEMALE,AGE_45_54
113,MA,798549,GENDER_FEMALE,AGE_55_100
114,MA,798549,GENDER_MALE,AGE_13_17
115,MA,798549,GENDER_MALE,AGE_18_24
116,MA,798549,GENDER_MALE,AGE_25_34
117,MA,798549,GENDER_MALE,AGE_35_44
118,MA,798549,GENDER_MALE,AGE_45_54
119,MA,798549,GENDER_MALE,AGE_55_100
120,MA,798549,GENDER_UNLIMITED,AGE_13_17
121,MA,798549,GENDER_UNLIMITED,AGE_18_24
122,MA,798549,GENDER_UNLIMITED,AGE_25_34
123,MA,798549,GENDER_UNLIMITED,AGE_35_44
124,MA,798549,GENDER_UNLIMITED,AGE_45_54
125,MA,798549,GENDER_UNLIMITED,AGE_55_100
126,MA,3865483,GENDER_FEMALE,AGE_13_17
127,MA,3865483,GENDER_FEMALE,AGE_18_24
128,MA,3865483,GENDER_FEMALE,AGE_25_34
129,MA,3865483,GENDER_FEMALE,AGE_35_44
130,MA,3865483,GENDER_FEMALE,AGE_45_54
131,MA,3865483,GENDER_FEMALE,AGE_55_100
132,MA,3865483,GENDER_MALE,AGE_13_17
133,MA,3865483,GENDER_MALE,AGE_18_24
134,MA,3865483,GENDER_MALE,AGE_25_34
135,MA,3865483,GENDER_MALE,AGE_35_44
136,MA,3865483,GENDER_MALE,AGE_45_54
137,MA,3865483,GENDER_MALE,AGE_55_100
138,MA,3865483,GENDER_UNLIMITED,AGE_13_17
139,MA,3865483,GENDER_UNLIMITED,AGE_18_24
140,MA,3865483,GENDER_UNLIMITED,AGE_25_34
141,MA,3865483,GENDER_UNLIMITED,AGE_35_44
142,MA,3865483,GENDER_UNLIMITED,AGE_45_54
143,MA,3865483,GENDER_UNLIMITED,AGE_55_100
144,MA,2782113,GENDER_FEMALE,AGE_13_17
145,MA,2782113,GENDER_FEMALE,AGE_18_24
146,MA,2782113,GENDER_FEMALE,AGE_25_34
147,MA,2782113,GENDER_FEMALE,AGE_35_44
148,MA,2782113,GENDER_FEMALE,AGE_45_54
149,MA,2782113,GENDER_FEMALE,AGE_55_100
150,MA,2782113,GENDER_MALE,AGE_13_17
151,MA,2782113,GENDER_MALE,AGE_18_24
152,MA,2782113,GENDER_MALE,AGE_25_34
153,MA,2782113,GENDER_MALE,AGE_35_44
154,MA,2782113,GENDER_MALE,AGE_45_54
155,MA,2782113,GENDER_MALE,AGE_55_100
156,MA,2782113,GENDER_UNLIMITED,AGE_13_17
157,MA,2782113,GENDER_UNLIMITED,AGE_18_24
158,MA,2782113,GENDER_UNLIMITED,AGE_25_34
159,MA,2782113,GENDER_UNLIMITED,AGE_35_44
160,MA,2782113,GENDER_UNLIMITED,AGE_45_54
161,MA,2782113,GENDER_UNLIMITED,AGE_55_100
162,MA,3703430,GENDER_FEMALE,AGE_13_17
163,MA,3703430,GENDER_FEMALE,AGE_18_24
164,MA,3703430,GENDER_FEMALE,AGE_25_34
165,MA,3703430,GENDER_FEMALE,AGE_35_44
166,MA,3703430,GENDER_FEMALE,AGE_45_54
167,MA,3703430,GENDER_FEMALE,AGE_55_100
168,MA,3703430,GENDER_MALE,AGE_13_17
169,MA,3703430,GENDER_MALE,AGE_18_24
170,MA,3703430,GENDER_MALE,AGE_25_34
171,MA,3703430,GENDER_MALE,AGE_35_44
172,MA,3703430,GENDER_MALE,AGE_45_54
173,MA,3703430,GENDER_MALE,AGE_55_100
174,MA,3703430,GENDER_UNLIMITED,AGE_13_17
175,MA,3703430,GENDER_UNLIMITED,AGE_18_24
176,MA,3703430,GENDER_UNLIMITED,AGE_25_34
177,MA,3703430,GENDER_UNLIMITED,AGE_35_44
