,country_code,region_id,gender,age
101,NO,3144096,GENDER_MALE,AGE_55_100
102,NO,3144096,GENDER_UNLIMITED,AGE_13_17
103,NO,3144096,GENDER_UNLIMITED,AGE_18_24
104,NO,3144096,GENDER_UNLIMITED,AGE_25_34
105,NO,3144096,GENDER_UNLIMITED,AGE_35_44
106,NO,3144096,GENDER_UNLIMITED,AGE_45_54
107,NO,3144096,GENDER_UNLIMITED,AGE_55_100
108,GB,2635167,GENDER_FEMALE,AGE_13_17
109,GB,2635167,GENDER_FEMALE,AGE_18_24
110,GB,2635167,GENDER_FEMALE,AGE_25_34
111,GB,2635167,GENDER_FEMALE,AGE_35_44
112,GB,2635167,GENDER_FEMALE,AGE_45_54
113,GB,2635167,GENDER_FEMALE,AGE_55_100
114,GB,2635167,GENDER_MALE,AGE_13_17
115,GB,2635167,GENDER_MALE,AGE_18_24
116,GB,2635167,GENDER_MALE,AGE_25_34
117,GB,2635167,GENDER_MALE,AGE_35_44
118,GB,2635167,GENDER_MALE,AGE_45_54
119,GB,2635167,GENDER_MALE,AGE_55_100
120,GB,2635167,GENDER_UNLIMITED,AGE_13_17
121,GB,2635167,GENDER_UNLIMITED,AGE_18_24
122,GB,2635167,GENDER_UNLIMITED,AGE_25_34
123,GB,2635167,GENDER_UNLIMITED,AGE_35_44
124,GB,2635167,GENDER_UNLIMITED,AGE_45_54
125,GB,2635167,GENDER_UNLIMITED,AGE_55_100
126,AR,3865483,GENDER_FEMALE,AGE_13_17
127,AR,3865483,GENDER_FEMALE,AGE_18_24
128,AR,3865483,GENDER_FEMALE,AGE_25_34
129,AR,3865483,GENDER_FEMALE,AGE_35_44
130,AR,3865483,GENDER_FEMALE,AGE_45_54
131,AR,3865483,GENDER_FEMALE,AGE_55_100
132,AR,3865483,GENDER_MALE,AGE_13_17
133,AR,3865483,GENDER_MALE,AGE_18_24
134,AR,3865483,GENDER_MALE,AGE_25_34
135,AR,3865483,GENDER_MALE,AGE_35_44
136,AR,3865483,GENDER_MALE,AGE_45_54
137,AR,3865483,GENDER_MALE,AGE_55_100
138,AR,3865483,GENDER_UNLIMITED,AGE_13_17
139,AR,3865483,GENDER_UNLIMITED,AGE_18_24
140,AR,3865483,GENDER_UNLIMITED,AGE_25_34
141,AR,3865483,GENDER_UNLIMITED,AGE_35_44
142,AR,3865483,GENDER_UNLIMITED,AGE_45_54
143,AR,3865483,GENDER_UNLIMITED,AGE_55_100
144,NG,2328926,GENDER_FEMALE,AGE_13_17
145,NG,2328926,GENDER_FEMALE,AGE_18_24
146,NG,2328926,GENDER_FEMALE,AGE_25_34
147,NG,2328926,GENDER_FEMALE,AGE_35_44
148,NG,2328926,GENDER_FEMALE,AGE_45_54
149,NG,2328926,GENDER_FEMALE,AGE_55_100
150,NG,2328926,GENDER_MALE,AGE_13_17
151,NG,2328926,GENDER_MALE,AGE_18_24
152,NG,2328926,GENDER_MALE,AGE_25_34
153,NG,2328926,GENDER_MALE,AGE_35_44
154,NG,2328926,GENDER_MALE,AGE_45_54
155,NG,2328926,GENDER_MALE,AGE_55_100
156,NG,2328926,GENDER_UNLIMITED,AGE_13_17
157,NG,2328926,GENDER_UNLIMITED,AGE_18_24
158,NG,2328926,GENDER_UNLIMITED,AGE_25_34
159,NG,2328926,GENDER_UNLIMITED,AGE_35_44
160,NG,2328926,GENDER_UNLIMITED,AGE_45_54
161,NG,2328926,GENDER_UNLIMITED,AGE_55_100
162,PY,3437598,GENDER_FEMALE,AGE_13_17
163,PY,3437598,GENDER_FEMALE,AGE_18_24
164,PY,3437598,GENDER_FEMALE,AGE_25_34
165,PY,3437598,GENDER_FEMALE,AGE_35_44
166,PY,3437598,GENDER_FEMALE,AGE_45_54
167,PY,3437598,GENDER_FEMALE,AGE_55_100
168,PY,3437598,GENDER_MALE,AGE_13_17
169,PY,3437598,GENDER_MALE,AGE_18_24
170,PY,3437598,GENDER_MALE,AGE_25_34
171,PY,3437598,GENDER_MALE,AGE_35_44
172,PY,3437598,GENDER_MALE,AGE_45_54
173,PY,3437598,GENDER_MALE,AGE_55_100
174,PY,3437598,GENDER_UNLIMITED,AGE_13_17
175,PY,3437598,GENDER_UNLIMITED,AGE_18_24
176,PY,3437598,GENDER_UNLIMITED,AGE_25_34
177,PY,3437598,GENDER_UNLIMITED,AGE_35_44
178,PY,3437598,GENDER_UNLIMITED,AGE_45_54
179,PY,3437598,GENDER_UNLIMITED,AGE_55_100
180,HU,719819,GENDER_FEMALE,AGE_13_17
181,HU,719819,GENDER_FEMALE,AGE_18_24
182,HU,719819,GENDER_FEMALE,AGE_25_34
183,HU,719819,GENDER_FEMALE,AGE_35_44
184,HU,719819,GENDER_FEMALE,AGE_45_54
