,country_code,region_id,region_level,region_name,support_below_18
359,US,724,PROVINCE,"Fargo-Moorhead-Grand Forks,DMA®",True
360,US,523,PROVINCE,"Burlington-Plattsburgh,DMA®",True
361,US,513,PROVINCE,"Flint-Saginaw-Bay City,DMA®",True
362,TR,325163,PROVINCE,Agri,True
363,US,644,PROVINCE,"Alexandria, LA,DMA®",True
364,SA,108411,PROVINCE,Ar Riyad,True
365,US,635,PROVINCE,"Austin,DMA®",True
366,AT,2762300,PROVINCE,Vorarlberg,True
367,SE,2666218,PROVINCE,Uppsala,True
368,NL,2756631,PROVINCE,Drenthe,True
369,AR,3837152,PROVINCE,San Juan,True
370,US,4361885,PROVINCE,Maryland,True
371,TR,749747,PROVINCE,Cankiri,True
372,JP,1859133,PROVINCE,Kochi,True
373,BR,3457419,PROVINCE,Mato Grosso,True
374,SE,2664179,PROVINCE,Vastmanland,True
375,US,535,PROVINCE,"Columbus, OH,DMA®",True
376,SA,106281,PROVINCE,Hail,True
377,FR,11071622,PROVINCE,Grand Est,True
378,EG,360689,PROVINCE,Monufia,True
379,BR,3393098,PROVINCE,Paraiba,True
380,BR,3393129,PROVINCE,Para,True
381,US,500,PROVINCE,"Portland-Auburn,DMA®",True
382,CA,6087430,PROVINCE,New Brunswick,True
383,US,790,PROVINCE,"Albuquerque-Santa Fe,DMA®",True
384,DE,2911297,PROVINCE,Hamburg,True
385,US,673,PROVINCE,"Columbus-Tupelo-West Point-Houston,DMA®",True
386,TR,443183,PROVINCE,Osmaniye,True
387,US,5224323,PROVINCE,Rhode Island,True
388,TR,323776,PROVINCE,Antalya,True
389,US,765,PROVINCE,"El Paso (Las Cruces),DMA®",True
390,US,760,PROVINCE,"Twin Falls,DMA®",True
391,RO,667267,PROVINCE,Sibiu,True
392,ZA,1085596,PROVINCE,Northern Cape,True
393,IT,3182306,PROVINCE,Basilicata,True
394,US,509,PROVINCE,"Fort Wayne,DMA®",True
395,JP,1858419,PROVINCE,Kumamoto,True
396,US,801,PROVINCE,"Eugene,DMA®",True
397,US,804,PROVINCE,"Palm Springs,DMA®",True
398,SE,604010,PROVINCE,Norrbotten,True
399,US,514,PROVINCE,"Buffalo,DMA®",True
400,AE,292969,PROVINCE,Abu Dhabi,True
401,KR,1845788,PROVINCE,South Jeolla,True
402,BD,1477362,PROVINCE,Sylhet,True
403,US,525,PROVINCE,"Albany, GA,DMA®",True
404,IE,2965479,PROVINCE,Clare,True
405,CH,2658226,PROVINCE,Uri,True
406,TR,745042,PROVINCE,Istanbul,True
407,US,670,PROVINCE,"Fort Smith-Fayetteville-Springdale-Rogers,DMA®",True
408,FI,830704,PROVINCE,Pirkanmaa,True
409,FI,830676,PROVINCE,Ostrobothnia,True
410,TR,303826,PROVINCE,Nigde,True
411,US,767,PROVINCE,"Casper-Riverton,DMA®",True
412,PK,1183606,PROVINCE,Balochistan,True
413,FI,831041,PROVINCE,Satakunta,True
414,AR,3430657,PROVINCE,Misiones,True
415,TR,750510,PROVINCE,Bolu,True
416,US,866,PROVINCE,"Fresno-Visalia,DMA®",True
417,KZ,1523401,PROVINCE,Karaganda Region,True
418,NL,2755812,PROVINCE,Friesland,True
419,JP,1857907,PROVINCE,Kyoto,True
420,US,4331987,PROVINCE,Louisiana,True
421,MX,4017700,PROVINCE,Baja California,True
422,JP,1851715,PROVINCE,Shizuoka,True
423,PL,858789,PROVINCE,Podlaskie,True
424,KR,1846265,PROVINCE,Jeju,True
425,JP,1863983,PROVINCE,Fukui,True
426,DE,2842635,PROVINCE,Saarland,True
427,JP,1860825,PROVINCE,Kagoshima,True
428,US,519,PROVINCE,"Charleston, SC,DMA®",True
429,US,5279468,PROVINCE,Wisconsin,True
