iso2;age_13_17_women;age_13_17_men;age_18_24_women;age_18_24_men;age_25_34_women;age_25_34_men;age_35_44_women;age_35_44_men;age_45_54_women;age_45_54_men;age_55_100_women;age_55_100_men;age_13_17_ratio;age_18_24_ratio;age_25_34_ratio;age_35_44_ratio;age_45_54_ratio;age_55_100_ratio;total_men;total_women;total_all;total_ratio
EG;1500.0;1500.0;13464000.0;41168500.0;19889500.0;30160500.0;12236000.0;12730500.0;4242500.0;4058000.0;2993000.0;8606000.0;1.0;0.32704616393601904;0.6594552477578289;0.9611562782294489;1.045465746673238;0.3477806181733674;96725000.0;52826500.0;149551500.0;0.5461514603256655
ES;500.0;500.0;2009500.0;1902000.0;2526000.0;2341500.0;2513500.0;1762500.0;2662500.0;1793000.0;1965000.0;1229500.0;1.0;1.0565194532071505;1.0787956438180653;1.4260992907801417;1.484941438929169;1.5982106547376982;9029000.0;11677000.0;20706000.0;1.293277217853583
FI;500.0;500.0;290500.0;232500.0;277500.0;226500.0;135000.0;113000.0;101500.0;76500.0;77500.0;64000.0;1.0;1.249462365591398;1.2251655629139073;1.1946902654867257;1.326797385620915;1.2109375;713000.0;882500.0;1595500.0;1.237727910238429
FR;500.0;500.0;3016500.0;2773500.0;3471500.0;3205000.0;2658500.0;2148500.0;1810500.0;1421000.0;1256500.0;950500.0;1.0;1.0876149269875608;1.083151326053042;1.2373749127298115;1.2741027445460944;1.3219358232509206;10499000.0;12214000.0;22713000.0;1.1633488903705114
GB;500.0;500.0;3163500.0;2866000.0;4437000.0;3966000.0;3290500.0;2122500.0;2149500.0;1432000.0;1953000.0;1319500.0;1.0;1.1038032100488486;1.1187594553706506;1.5502944640753828;1.5010474860335195;1.4801061007957559;11706500.0;14994000.0;26700500.0;1.2808268910434375
GR;500.0;500.0;589500.0;468000.0;692000.0;558500.0;520500.0;436500.0;456000.0;376000.0;350500.0;278500.0;1.0;1.2596153846153846;1.2390331244404655;1.1924398625429553;1.2127659574468086;1.2585278276481149;2118000.0;2609000.0;4727000.0;1.2318224740321058
GT;500.0;500.0;1770500.0;1900500.0;2176000.0;2827500.0;663000.0;880500.0;325000.0;395000.0;332000.0;341500.0;1.0;0.9315969481715338;0.7695844385499558;0.7529812606473595;0.8227848101265823;0.972181551976574;6345500.0;5267000.0;11612500.0;0.8300370341186668
HU;500.0;500.0;437500.0;348500.0;550500.0;459500.0;275000.0;235000.0;381500.0;325000.0;176000.0;138500.0;1.0;1.2553802008608321;1.1980413492927096;1.1702127659574468;1.1738461538461538;1.2707581227436824;1507000.0;1821000.0;3328000.0;1.2083609820836099
IE;500.0;500.0;447000.0;309500.0;391500.0;277000.0;250500.0;173500.0;234000.0;172500.0;131500.0;104000.0;1.0;1.444264943457189;1.4133574007220218;1.4438040345821326;1.3565217391304347;1.2644230769230769;1037000.0;1455000.0;2492000.0;1.4030858244937319
IQ;500.0;500.0;5247500.0;6833000.0;6936000.0;11029500.0;1645000.0;3208500.0;747500.0;1392500.0;893000.0;1353500.0;1.0;0.7679642909410215;0.628858969128247;0.5127006389278479;0.5368043087971275;0.6597709641669746;23817500.0;15469500.0;39287000.0;0.6495014170252965
IT;500.0;500.0;2302500.0;2283000.0;2730500.0;2476000.0;2080500.0;1683000.0;2192000.0;1700500.0;2400500.0;1915000.0;1.0;1.0085413929040736;1.1027867528271404;1.2361853832442067;1.2890326374595706;1.2535248041775457;10058000.0;11706500.0;21764500.0;1.1638993835752636
JP;1500.0;1500.0;15313500.0;15676500.0;33757000.0;39311000.0;27581500.0;31222500.0;11434000.0;9288500.0;8199000.0;8132000.0;1.0;0.9768443211175964;0.8587163898145557;0.8833853791336376;1.2309845507886095;1.0082390555828824;103632000.0;96286500.0;199918500.0;0.929119383974062
KE;500.0;500.0;2324000.0;3252000.0;2948500.0;5082500.0;874000.0;1601500.0;369500.0;619500.0;317500.0;379000.0;1.0;0.7146371463714637;0.580127889818003;0.5457383702778645;0.5964487489911219;0.837730870712401;10935000.0;6834000.0;17769000.0;0.624965706447188
KR;1000.0;1000.0;5719500.0;6183000.0;10254000.0;16015000.0;6745000.0;13070500.0;3278500.0;2965000.0;4523500.0;3589500.0;1.0;0.9250363901018923;0.6402747424289729;0.5160475880800276;1.1057335581787522;1.2602033709430283;41824000.0;30521500.0;72345500.0;0.7297604246365723
KW;1500.0;1500.0;548000.0;1312000.0;1148500.0;2443000.0;676000.0;1008500.0;226000.0;308500.0;167000.0;241500.0;1.0;0.4176829268292683;0.4701187065083913;0.6703024293505205;0.7325769854132901;0.6915113871635611;5315000.0;2767000.0;8082000.0;0.5206020696142991
KZ;500.0;500.0;2467000.0;2297000.0;2732000.0;3791500.0;1032000.0;1484000.0;658500.0;813000.0;751500.0;692500.0;1.0;1.0740095777100567;0.7205591454569432;0.6954177897574124;0.8099630996309963;1.0851985559566788;9078500.0;7641500.0;16720000.0;0.841713939527455
LB;500.0;500.0;549500.0;674500.0;806000.0;1203000.0;256000.0;413000.0;143000.0;213500.0;165000.0;200500.0;1.0;0.8146775389177169;0.6699916874480466;0.6198547215496368;0.6697892271662763;0.8229426433915212;2705000.0;1920000.0;4625000.0;0.7097966728280961
LK;500.0;500.0;891000.0;1393000.0;1102500.0;1939500.0;262500.0;527500.0;120500.0;193000.0;81500.0;110500.0;1.0;0.6396267049533381;0.568445475638051;0.4976303317535545;0.6243523316062176;0.7375565610859729;4164000.0;2458500.0;6622500.0;0.5904178674351584
MA;1500.0;1500.0;4630500.0;19816000.0;6269500.0;10545500.0;4737000.0;4480000.0;1749500.0;1526000.0;1475000.0;2848500.0;1.0;0.23367480823576908;0.5945189891422882;1.0573660714285715;1.1464613368283092;0.5178163945936458;39217500.0;18863000.0;58080500.0;0.4809842544782304
MX;500.0;500.0;12633000.0;12102000.0;19259500.0;25493500.0;6082000.0;7229000.0;3548000.0;3915000.0;3089500.0;2924000.0;1.0;1.0438770451165096;0.7554670798438817;0.8413335177756259;0.906257982120051;1.0566005471956224;51664000.0;44612500.0;96276500.0;0.8635123103127903
NG;500.0;500.0;5251000.0;7527000.0;7131000.0;13719500.0;2228500.0;4854000.0;1019500.0;2023500.0;928500.0;1566000.0;1.0;0.6976218945130862;0.5197711286854477;0.4591058920477956;0.5038299975290339;0.592911877394636;29690500.0;16559000.0;46249500.0;0.5577204829827722
NL;500.0;500.0;952500.0;714000.0;1002500.0;730500.0;622000.0;462000.0;422500.0;299500.0;308000.0;242000.0;1.0;1.334033613445378;1.3723477070499657;1.3463203463203464;1.4106844741235391;1.2727272727272727;2448500.0;3308000.0;5756500.0;1.3510312436185419
