iso3;age_13_17_men;age_13_17_women;age_18_24_men;age_18_24_women;age_25_34_men;age_25_34_women;age_35_44_men;age_35_44_women;age_45_54_men;age_45_54_women;age_55_100_men;age_55_100_women;age_13_17_ratio;age_18_24_ratio;age_25_34_ratio;age_35_44_ratio;age_45_54_ratio;age_55_100_ratio;total_men;total_women;total_all;total_ratio
SXM;2000;2000;2317;2426;2714;3088;2078;2629;2000;2000;3000;3000;1.0;1.047;1.1378;1.2652;1.0;1.0;14109;15143;29252;1.0733
SWZ;2000;2000;12008;14721;10517;13020;4292;5400;2000;2157;3383;4646;1.0;1.2259;1.238;1.2582;1.0785;1.3733;34200;41944;76144;1.2264
TCA;2000;2000;2900;2948;3818;3699;2530;2539;2000;2000;3000;3000;1.0;1.0166;0.9688;1.0036;1.0;1.0;16248;16186;32434;0.9962
TCD;2000;2000;49213;11829;29414;6646;9063;2368;2610;2000;3191;3000;1.0;0.2404;0.2259;0.2613;0.7663;0.9401;95491;27843;123334;0.2916
TGO;2000;2000;57912;23321;43788;18770;14862;6096;4720;2188;4349;3079;1.0;0.4027;0.4287;0.4102;0.4636;0.708;127631;55454;183085;0.4345
THA;2054;4746;2127875;2953421;3498007;4758333;1371108;2065899;579017;945770;416225;574475;2.3106;1.388;1.3603;1.5067;1.6334;1.3802;7994286;11302644;19296930;1.4138
TJK;2000;2000;546921;145812;389893;104842;175797;56066;64121;31221;49571;23020;1.0;0.2666;0.2689;0.3189;0.4869;0.4644;1228303;362961;1591264;0.2955
TKL;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0
TLS;2000;2000;14496;19896;14296;15709;5417;4725;2000;2000;3000;3000;1.0;1.3725;1.0988;0.8723;1.0;1.0;41209;47330;88539;1.1485
TKM;2000;2000;37503;42687;41996;45159;17520;20783;4712;7987;3000;4142;1.0;1.1382;1.0753;1.1862;1.695;1.3807;106731;122758;229489;1.1502
TUN;2000;2112;570244;617029;577153;578967;287478;326044;134813;161862;124384;146597;1.056;1.082;1.0031;1.1342;1.2006;1.1786;1696072;1832611;3528683;1.0805
TON;2000;2000;4683;6347;2217;3265;2000;2000;2000;2000;3000;3000;1.0;1.3553;1.4727;1.0;1.0;1.0;15900;18612;34512;1.1706
TUR;2967;2042;7736594;6836192;9408334;7333334;6083333;5241666;3825000;3500000;3001504;2968959;0.6882;0.8836;0.7795;0.8616;0.915;0.9892;30057732;25882193;55939925;0.8611
TTO;2000;2000;86770;102854;93385;102141;67737;86199;32205;42755;22646;33918;1.0;1.1854;1.0938;1.2726;1.3276;1.4977;304743;369867;674610;1.2137
TUV;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0
TWN;2000;2017;1058505;1393954;1934516;2039904;1281283;1441322;712858;909496;419350;531730;1.0085;1.3169;1.0545;1.1249;1.2758;1.268;5408512;6318423;11726935;1.1682
TZA;2008;2000;634625;428450;1014883;656826;420346;236588;157142;88584;122942;73360;0.996;0.6751;0.6472;0.5628;0.5637;0.5967;2351946;1485808;3837754;0.6317
UKR;2000;2000;1147442;1658603;1466414;1828210;999483;1741668;515940;1163944;389633;1072627;1.0;1.4455;1.2467;1.7426;2.256;2.7529;4520912;7467052;11987964;1.6517
UGA;2000;2000;204759;129262;186659;138421;50950;34950;12495;8292;13017;13771;1.0;0.6313;0.7416;0.686;0.6636;1.0579;469880;326696;796576;0.6953
UMI;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0
USA;6341;4996;18567210;21717391;23173732;24386957;15065037;18333152;8995109;12416667;9233334;15783515;0.7879;1.1697;1.0524;1.2169;1.3804;1.7094;75040763;92642678;167683441;1.2346
URY;2000;2000;238638;280038;315062;340474;191737;238330;126923;184757;124674;219776;1.0;1.1735;1.0807;1.243;1.4557;1.7628;999034;1265375;2264409;1.2666
UZB;2038;2000;2596655;1191780;2185746;923667;1187817;570125;414667;288396;279071;223980;0.9814;0.459;0.4226;0.48;0.6955;0.8026;6665994;3199948;9865942;0.48
VAT;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0
VCT;2000;2000;7346;7846;8109;9117;4059;4858;2075;2312;3000;3000;1.0;1.0681;1.1243;1.1968;1.1142;1.0;26589;29133;55722;1.0957
VEN;2050;2000;849462;1099366;1001292;1373846;756359;1083886;556000;794422;587063;926465;0.9756;1.2942;1.3721;1.433;1.4288;1.5781;3752226;5279985;9032211;1.4072
VGB;2000;2000;2000;2075;2229;2462;2000;2043;2000;2000;3000;3000;1.0;1.0375;1.1045;1.0215;1.0;1.0;13229;13580;26809;1.0265
VIR;2000;2000;2908;3367;3471;4233;2279;3171;2000;2183;3000;3000;1.0;1.1578;1.2195;1.3914;1.0915;1.0;15658;17954;33612;1.1466
VNM;2804;3442;2556291;3757633;1574374;1850091;367804;434100;117437;130792;67388;61288;1.2275;1.47;1.1751;1.1802;1.1137;0.9095;4686098;6237346;10923444;1.331
VUT;2000;2000;2592;4384;2000;2267;2000;2000;2000;2000;3000;3000;1.0;1.6914;1.1335;1.0;1.0;1.0;13592;15651;29243;1.1515
WLF;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0
WSM;2000;2000;9254;11225;4087;6350;2000;2662;2000;2000;3000;3000;1.0;1.213;1.5537;1.331;1.0;1.0;22341;27237;49578;1.2191
XKX;2000;2000;81409;68850;124499;101054;77750;62082;42121;35113;27321;24367;1.0;0.8457;0.8117;0.7985;0.8336;0.8919;355100;293466;648566;0.8264
