iso3;age_13_17_men;age_13_17_women;age_18_24_men;age_18_24_women;age_25_34_men;age_25_34_women;age_35_44_men;age_35_44_women;age_45_54_men;age_45_54_women;age_55_100_men;age_55_100_women;age_13_17_ratio;age_18_24_ratio;age_25_34_ratio;age_35_44_ratio;age_45_54_ratio;age_55_100_ratio;total_men;total_women;total_all;total_ratio;total_18_44_men;total_18_44_women;total_18_44_ratio
SLV;232100;217344;442660;420901;562028;559894;334500;423935;266406;375864;388689.0;584258.0;0.9364;0.9508;0.9962;1.2674;1.4109;1.5032;2226383.0;2582196.0;4808579.0;1.1598;1339188;1404730;1.0489
SMR;725;654;1287;1187;1680;1654;1965;2114;2837;2960;6115.0;6674.0;0.9021;0.9223;0.9845;1.0758;1.0434;1.0914;14609.0;15243.0;29852.0;1.0434;4932;4955;1.0047
SOM;835609;813751;1214690;1192940;1163128;1160802;782535;797162;481276;506947;499706.0;585633.0;0.9738;0.9821;0.998;1.0187;1.0533;1.172;4976944.0;5057235.0;10034179.0;1.0161;3160353;3150904;0.997
SPM;161;157;190;153;257;261;363;361;476;490;993.0;1084.0;0.9752;0.8053;1.0156;0.9945;1.0294;1.0916;2440.0;2506.0;4946.0;1.027;810;775;0.9568
SRB;134623;134718;245929;247780;401561;403170;465218;476435;458011;482652;1062303.0;1366939.0;1.0007;1.0075;1.004;1.0241;1.0538;1.2868;2767645.0;3111694.0;5879339.0;1.1243;1112708;1127385;1.0132
SSD;590638;580265;795555;783453;613787;637200;552249;617575;447091;508530;365473.0;466596.0;0.9824;0.9848;1.0381;1.1183;1.1374;1.2767;3364793.0;3593619.0;6958412.0;1.068;1961591;2038228;1.0391
STP;11049;11136;15042;15639;14760;15075;12984;13058;9092;8597;9348.0;10401.0;1.0079;1.0397;1.0213;1.0057;0.9456;1.1126;72275.0;73906.0;146181.0;1.0226;42786;43772;1.023
SUR;22175;21535;39083;38252;47156;45651;43091;40440;36286;35025;47766.0;57215.0;0.9711;0.9787;0.9681;0.9385;0.9652;1.1978;235557.0;238118.0;473675.0;1.0109;129330;124343;0.9614
SVK;114623;108427;195036;185420;365880;350493;452789;430264;411402;400076;732393.0;947249.0;0.9459;0.9507;0.9579;0.9503;0.9725;1.2934;2272123.0;2421929.0;4694052.0;1.0659;1013705;966177;0.9531
SVN;42816;41184;72180;66887;130293;112580;163301;144239;159275;145937;343704.0;399740.0;0.9619;0.9267;0.8641;0.8833;0.9163;1.163;911569.0;910567.0;1822136.0;0.9989;365774;323706;0.885
