iso3;age_13_17_men;age_13_17_women;age_18_24_men;age_18_24_women;age_25_34_men;age_25_34_women;age_35_44_men;age_35_44_women;age_45_54_men;age_45_54_women;age_55_100_men;age_55_100_women;age_13_17_ratio;age_18_24_ratio;age_25_34_ratio;age_35_44_ratio;age_45_54_ratio;age_55_100_ratio;total_men;total_women;total_all;total_ratio;total_18_44_men;total_18_44_women;total_18_44_ratio
TON;4740;4728;6413;7063;4974;7079;4680;6352;4579;5247;6402.0;7600.0;0.9975;1.1014;1.4232;1.3573;1.1459;1.1871;31788.0;38069.0;69857.0;1.1976;16067;20494;1.2755
TTO;38582;37082;67710;64656;112798;109047;132133;130608;97821;98204;163890.0;194140.0;0.9611;0.9549;0.9667;0.9885;1.0039;1.1846;612934.0;633737.0;1246671.0;1.0339;312641;304311;0.9734
TUN;364901;340772;577792;551209;901381;918090;893506;965111;736601;773140;1097082.0;1235432.0;0.9339;0.954;1.0185;1.0801;1.0496;1.1261;4571263.0;4783754.0;9355017.0;1.0465;2372679;2434410;1.026
TUR;2580736;2480368;4824093;4625276;6832980;6569772;6677283;6560207;5464876;5435208;8037177.0;9175336.0;0.9611;0.9588;0.9615;0.9825;0.9946;1.1416;34417145.0;34846167.0;69263312.0;1.0125;18334356;17755255;0.9684
TUV;379;338;603;568;787;705;527;458;531;458;649.0;884.0;0.8918;0.942;0.8958;0.8691;0.8625;1.3621;3476.0;3411.0;6887.0;0.9813;1917;1731;0.903
TWN;421848;385587;897522;827597;1622543;1504849;1850524;1859394;1784295;1835967;3648658.0;4108049.0;0.914;0.9221;0.9275;1.0048;1.029;1.1259;10225390.0;10521443.0;20746833.0;1.029;4370589;4191840;0.9591
TZA;3014888;2987575;4430546;4411759;4666498;4691621;3141193;3328015;2054694;2136439;1814490.0;2408698.0;0.9909;0.9958;1.0054;1.0595;1.0398;1.3275;19122309.0;19964107.0;39086416.0;1.044;12238237;12431395;1.0158
UGA;2334747;2337040;3488999;3519191;3583598;3646808;2017502;2084653;1227804;1309586;1074353.0;1393228.0;1.001;1.0087;1.0176;1.0333;1.0666;1.2968;13727003.0;14290506.0;28017509.0;1.0411;9090099;9250652;1.0177
UKR;836722;791516;1224560;1165308;2514265;2398878;3162226;3130255;2481952;2787980;4850601.0;7593491.0;0.946;0.9516;0.9541;0.9899;1.1233;1.5655;15070326.0;17867428.0;32937754.0;1.1856;6901051;6694441;0.9701
URY;96201;91839;174198;167062;252581;244370;219333;218279;210243;215035;386492.0;519692.0;0.9547;0.959;0.9675;0.9952;1.0228;1.3446;1339048.0;1456277.0;2795325.0;1.0875;646112;629711;0.9746
USA;9350283;8800293;16146165;15123737;24492011;22866239;23743205;22382303;21200149;20376604;48327159.0;53428524.0;0.9412;0.9367;0.9336;0.9427;0.9612;1.1056;143258972.0;142977700.0;286236672.0;0.998;64381381;60372279;0.9377
UZB;1142490;1081880;1800870;1715095;3083770;2940262;2548626;2456831;1778458;1774077;2141165.0;2593662.0;0.9469;0.9524;0.9535;0.964;0.9975;1.2113;12495379.0;12561807.0;25057186.0;1.0053;7433266;7112188;0.9568
VAT;5;4;14;7;20;20;30;28;30;30;126.0;158.0;0.8;0.5;1.0;0.9333;1.0;1.254;225.0;247.0;472.0;1.0978;64;55;0.8594
VCT;3082;2898;5388;4924;7357;6898;6851;6825;6791;6205;11962.0;11913.0;0.9403;0.9139;0.9376;0.9962;0.9137;0.9959;41431.0;39663.0;81094.0;0.9573;19596;18647;0.9516
VEN;1137891;1079289;1661564;1544959;1827317;1785935;1777239;1871931;1604636;1720486;2405964.0;2912386.0;0.9485;0.9298;0.9774;1.0533;1.0722;1.2105;10414611.0;10914986.0;21329597.0;1.048;5266120;5202825;0.988
VGB;1078;1036;1592;1713;2720;3296;3454;4197;2900;3328;3703.0;4198.0;0.961;1.076;1.2118;1.2151;1.1476;1.1337;15447.0;17768.0;33215.0;1.1503;7766;9206;1.1854
VIR;2066;2057;3254;3184;4221;4596;4754;5098;5509;5800;14556.0;17808.0;0.9956;0.9785;1.0888;1.0724;1.0528;1.2234;34360.0;38543.0;72903.0;1.1217;12229;12878;1.0531
VNM;2964000;2898026;4538596;4486032;8056975;8007852;7862886;7898835;6131642;6372132;7970867.0;10587488.0;0.9777;0.9884;0.9939;1.0046;1.0392;1.3283;37524966.0;40250365.0;77775331.0;1.0726;20458457;20392719;0.9968
VUT;13015;12338;18089;18241;23300;25484;17264;18039;13480;11391;15097.0;15080.0;0.948;1.0084;1.0937;1.0449;0.845;0.9989;100245.0;100573.0;200818.0;1.0033;58653;61764;1.053
WLF;425;400;550;560;500;646;601;779;831;940;1380.0;1536.0;0.9412;1.0182;1.292;1.2962;1.1312;1.113;4287.0;4861.0;9148.0;1.1339;1651;1985;1.2023
WSM;9265;8775;12208;11505;12692;14048;10398;11182;10171;9472;13363.0;14020.0;0.9471;0.9424;1.1068;1.0754;0.9313;1.0492;68097.0;69002.0;137099.0;1.0133;35298;36735;1.0407
XKX;58165;56999;106349;104197;135063;130516;117191;119241;99338;115687;148045.0;179391.0;0.98;0.9798;0.9663;1.0175;1.1646;1.2117;664151.0;706031.0;1370182.0;1.0631;358603;353954;0.987
YEM;1714671;1639279;2586457;2490270;3111722;3045144;2170795;2114937;1230666;1221752;1076023.0;1249671.0;0.956;0.9628;0.9786;0.9743;0.9928;1.1614;11890334.0;11761053.0;23651387.0;0.9891;7868974;7650351;0.9722
ZAF;2151222;2131195;3618553;3544804;5620988;5721970;4820613;4853464;2993117;3268926;3612464.0;5091821.0;0.9907;0.9796;1.018;1.0068;1.0921;1.4095;22816957.0;24612180.0;47429137.0;1.0787;14060154;14120238;1.0043
ZMB;959946;966988;1377240;1398576;1512010;1531871;1096960;1093913;648434;678297;456506.0;590002.0;1.0073;1.0155;1.0131;0.9972;1.0461;1.2924;6051096.0;6259647.0;12310743.0;1.0345;3986210;4024360;1.0096
ZWE;756964;755345;1088610;1136099;915469;1089789;903580;1121027;399230;600843;465335.0;648332.0;0.9979;1.0436;1.1904;1.2407;1.505;1.3933;4529188.0;5351435.0;9880623.0;1.1815;2907659;3346915;1.1511
