iso3;Country;age_13_17_men;age_13_17_women;age_18_24_men;age_18_24_women;age_25_34_men;age_25_34_women;age_35_44_men;age_35_44_women;age_45_54_men;age_45_54_women;age_55_100_men;age_55_100_women;age_13_17_ratio;age_18_24_ratio;age_25_34_ratio;age_35_44_ratio;age_45_54_ratio;age_55_100_ratio;total_men;total_women;total_all;total_ratio
BLR;BY;2000;2000;17517;18955;49578;68776;103886;140053;73385;109451;61217;119503;1.0;1.0821;1.3872;1.3481;1.4915;1.9521;307583;458738;766321;1.4914
BLZ;BZ;2000;2000;32342;31286;39031;39553;24928;26669;15053;16269;14659;16131;1.0;0.9673;1.0134;1.0698;1.0808;1.1004;128013;131908;259921;1.0304
CAN;CA;2000;2000;1289593;1186839;3000000;2800000;2553333;2700000;1898362;2098252;3290519;4214318;1.0;0.9203;0.9333;1.0574;1.1053;1.2807;12033807;13001409;25035216;1.0804
COD;CD;2000;2000;1851279;1267047;1733343;975017;760212;398823;339773;152348;485301;271380;1.0;0.6844;0.5625;0.5246;0.4484;0.5592;5171908;3066615;8238523;0.5929
CAF;CF;2000;2000;38283;22679;48294;27291;28801;14292;13383;5120;9281;4723;1.0;0.5924;0.5651;0.4962;0.3826;0.5089;140042;76105;216147;0.5434
COG;CG;2000;2000;187636;160344;229149;180391;144955;99361;74766;39357;75712;42373;1.0;0.8545;0.7872;0.6855;0.5264;0.5597;714218;523826;1238044;0.7334
CHE;CH;2000;2000;113727;99463;403495;398251;421729;444742;331614;351448;427645;447122;1.0;0.8746;0.987;1.0546;1.0598;1.0455;1700210;1743026;3443236;1.0252
CIV;CI;2000;2000;1419652;983207;1764421;1165086;1112989;615171;516787;207087;353950;177702;1.0;0.6926;0.6603;0.5527;0.4007;0.5021;5169799;3150253;8320052;0.6094
COK;CK;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0
CHL;CL;2000;2000;834358;821916;1911293;1861733;1503600;1534663;1053737;1191417;1375062;1725163;1.0;0.9851;0.9741;1.0207;1.1307;1.2546;6680050;7136892;13816942;1.0684
