iso3;Country;age_13_17_men;age_13_17_women;age_18_24_men;age_18_24_women;age_25_34_men;age_25_34_women;age_35_44_men;age_35_44_women;age_45_54_men;age_45_54_women;age_55_100_men;age_55_100_women;age_13_17_ratio;age_18_24_ratio;age_25_34_ratio;age_35_44_ratio;age_45_54_ratio;age_55_100_ratio;total_men;total_women;total_all;total_ratio
MRT;MR;2000;2000;334716;246019;312298;167015;159109;63141;60105;16868;48629;18456;1.0;0.735;0.5348;0.3968;0.2806;0.3795;916857;513499;1430356;0.5601
MSR;MS;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0
MLT;MT;2000;2000;23162;19483;68567;47350;53307;42920;32433;30813;46217;50504;1.0;0.8412;0.6906;0.8051;0.9501;1.0928;225686;193070;418756;0.8555
MUS;MU;2000;2000;76822;68632;139288;117444;102750;91782;73317;68530;87893;88659;1.0;0.8934;0.8432;0.8933;0.9347;1.0087;482070;437047;919117;0.9066
MDV;MV;2000;2000;39597;24367;107755;50482;70095;41517;27210;17961;16953;11960;1.0;0.6154;0.4685;0.5923;0.6601;0.7055;263610;148287;411897;0.5625
MWI;MW;2000;2000;547184;345601;425020;268278;177104;100583;74942;33000;79483;51952;1.0;0.6316;0.6312;0.5679;0.4403;0.6536;1305733;801414;2107147;0.6138
MEX;MX;4768;4710;10931034;11546667;14803448;15046667;9853333;10473333;6566667;7372414;6200000;7100000;0.9878;1.0563;1.0164;1.0629;1.1227;1.1452;48359250;51543791;99903041;1.0659
MYS;MY;2093;2032;2353104;1722433;4800000;3500000;3100000;2700000;1662738;1574237;1758799;1645728;0.9709;0.732;0.7292;0.871;0.9468;0.9357;13676734;11144430;24821164;0.8148
MOZ;MZ;2000;2000;994426;707579;768952;586333;354981;254370;127585;87967;121570;74794;1.0;0.7115;0.7625;0.7166;0.6895;0.6152;2369514;1713043;4082557;0.723
;;2000;2000;63393;70363;138560;149959;91122;87846;45820;43272;47697;53717;1.0;1.1099;1.0823;0.964;0.9444;1.1262;388592;407157;795749;1.0478
NCL;NC;2000;2000;12483;13376;20476;21027;17493;19657;13576;16020;17117;19756;1.0;1.0715;1.0269;1.1237;1.18;1.1542;83145;91836;174981;1.1045
NER;NE;2000;2000;166294;52426;242882;55116;115143;21839;51334;6957;36083;10499;1.0;0.3153;0.2269;0.1897;0.1355;0.291;613736;148837;762573;0.2425
NFK;NF;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0
NGA;NG;4371;3670;7166667;5800714;8415517;6776190;4863333;3100000;2203385;1155216;2423754;1708542;0.8396;0.8094;0.8052;0.6374;0.5243;0.7049;25077027;18544332;43621359;0.7395
NIC;NI;2000;2000;664289;617811;647728;648337;400496;404639;207731;218481;197491;219171;1.0;0.93;1.0009;1.0103;1.0517;1.1098;2119735;2110439;4230174;0.9956
NLD;NL;2000;2000;340463;441013;932737;991386;764893;869361;685928;810375;1301925;1556071;1.0;1.2953;1.0629;1.1366;1.1814;1.1952;4027946;4670206;8698152;1.1595
NOR;NO;2000;2000;193263;199465;350824;352770;314486;334152;289173;311046;528113;604537;1.0;1.0321;1.0055;1.0625;1.0756;1.1447;1677859;1803970;3481829;1.0752
NPL;NP;3115;2730;2762138;2252592;2968966;2271598;1625470;1236052;579820;444686;653758;531752;0.8764;0.8155;0.7651;0.7604;0.7669;0.8134;8593267;6739410;15332677;0.7843
NRU;NR;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0
NIU;NU;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0
NZL;NZ;2000;2000;240104;242229;429927;411835;349973;363369;254307;288550;399570;532643;1.0;1.0089;0.9579;1.0383;1.1347;1.333;1675881;1840626;3516507;1.0983
OMN;OM;2000;2000;201792;89486;631169;191716;416968;123416;145616;41547;53833;18790;1.0;0.4435;0.3037;0.296;0.2853;0.349;1451378;466955;1918333;0.3217
PAN;PA;2000;2000;193148;162949;337547;305460;243086;236507;158366;161065;154400;172873;1.0;0.8436;0.9049;0.9729;1.017;1.1196;1088547;1040854;2129401;0.9562
PER;PE;2670;2752;3118292;2899352;4157143;3768966;2900000;2666667;1835417;1716348;1935470;1795954;1.0307;0.9298;0.9066;0.9195;0.9351;0.9279;13948992;12850039;26799031;0.9212
PYF;PF;2000;2000;17306;18510;22113;24404;20320;23544;14834;17303;17980;20872;1.0;1.0696;1.1036;1.1587;1.1664;1.1608;94553;106633;201186;1.1278
PNG;PG;2000;2000;319663;230537;319139;188500;153066;83908;75637;33665;58116;24604;1.0;0.7212;0.5907;0.5482;0.4451;0.4234;927621;563214;1490835;0.6072
PHL;PH;10327;11600;15081481;17003448;15046666;15028148;8550000;8651724;4700000;5273333;4200000;5900000;1.1233;1.1274;0.9988;1.0119;1.122;1.4048;47588474;51868253;99456727;1.0899
PAK;PK;8358;2713;14672414;3849297;16869732;4256667;7281481;1496780;2556733;516033;1699263;482993;0.3246;0.2623;0.2523;0.2056;0.2018;0.2842;43087981;10604483;53692464;0.2461
POL;PL;2000;2000;1711742;1768087;2400000;2433334;2300000;2578571;1559497;1944993;1536947;2355509;1.0;1.0329;1.0139;1.1211;1.2472;1.5326;9510186;11082494;20592680;1.1653
SPM;PM;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0
PCN;PN;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0
PRI;PR;2000;2000;92941;97745;213807;225283;186889;203690;171605;197175;292156;410333;1.0;1.0517;1.0537;1.0899;1.149;1.4045;959398;1136226;2095624;1.1843
PSE;PS;2000;2000;364764;334479;474149;422430;253189;215581;143724;116279;121640;97251;1.0;0.917;0.8909;0.8515;0.809;0.7995;1359466;1188020;2547486;0.8739
PRT;PT;2000;2000;259503;264436;753981;690580;664246;695083;670830;742840;905362;1094420;1.0;1.019;0.9159;1.0464;1.1073;1.2088;3255922;3489359;6745281;1.0717
PLW;PW;2000;2000;2000;2000;2470;2000;2200;2000;2000;2000;3000;3000;1.0;1.0;0.8097;0.9091;1.0;1.0;13670;13000;26670;0.951
PRY;PY;2000;2000;432476;414144;675589;620714;456746;427036;263237;248160;255513;260236;1.0;0.9576;0.9188;0.935;0.9427;1.0185;2085561;1972290;4057851;0.9457
QAT;QA;2000;2000;227907;78513;815162;290051;595230;220991;215047;73153;84723;30290;1.0;0.3445;0.3558;0.3713;0.3402;0.3575;1940069;694998;2635067;0.3582
REU;RE;2000;2000;42416;44030;74001;75357;60285;66368;46056;49423;53249;61619;1.0;1.0381;1.0183;1.1009;1.0731;1.1572;278007;298797;576804;1.0748
ROU;RO;2000;2000;692436;693110;1163759;1058151;1170191;1143964;1078915;1095391;1212880;1577178;1.0;1.001;0.9093;0.9776;1.0153;1.3004;5320181;5569794;10889975;1.0469
SRB;RS;2000;2000;152011;156529;416040;388960;392424;381974;336327;333704;391869;430027;1.0;1.0297;0.9349;0.9734;0.9922;1.0974;1690671;1693194;3383865;1.0015
RWA;RW;2000;2000;426885;319875;287640;158563;109804;45907;30451;10880;29784;16763;1.0;0.7493;0.5513;0.4181;0.3573;0.5628;886564;553988;1440552;0.6249
SAU;SA;2000;2000;2115885;784676;6063862;1843272;3703448;1037328;1293368;339359;589483;194187;1.0;0.3709;0.304;0.2801;0.2624;0.3294;13768046;4200822;17968868;0.3051
SLB;SB;2000;2000;40170;39313;30662;28662;17394;13106;8670;4976;5372;3166;1.0;0.9787;0.9348;0.7535;0.5739;0.5894;104268;91223;195491;0.8749
SYC;SC;2000;2000;5910;4800;13530;9110;11438;8000;6203;5952;4763;6167;1.0;0.8122;0.6733;0.6994;0.9595;1.2948;43844;36029;79873;0.8218
SWE;SE;2000;2000;294949;327106;694577;642427;573073;585130;496747;523133;927368;1093930;1.0;1.109;0.9249;1.021;1.0531;1.1796;2988714;3173726;6162440;1.0619
SGP;SG;2000;2000;145317;120564;591318;530918;515209;509150;321397;330605;402316;400495;1.0;0.8297;0.8979;0.9882;1.0286;0.9955;1977557;1893732;3871289;0.9576
SHN;SH;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0
SVN;SI;2000;2000;57130;55636;127662;111014;122780;119529;104764;106316;124992;143591;1.0;0.9738;0.8696;0.9735;1.0148;1.1488;539328;538086;1077414;0.9977
SJM;SJ;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0
SVK;SK;2000;2000;169156;177971;346863;330830;322704;332005;250571;291883;249863;368307;1.0;1.0521;0.9538;1.0288;1.1649;1.474;1341157;1502996;2844153;1.1207
SLE;SL;2000;2000;210144;196514;249030;220495;133710;86498;59879;34263;55315;37791;1.0;0.9351;0.8854;0.6469;0.5722;0.6832;710078;577561;1287639;0.8134
SMR;SM;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0
SEN;SN;2000;2000;685795;395700;864359;480414;522823;255563;229033;90055;192959;91098;1.0;0.577;0.5558;0.4888;0.3932;0.4721;2496969;1314830;3811799;0.5266
SOM;SO;2000;2000;515686;490028;672111;510459;231511;138630;62953;34876;85879;69699;1.0;0.9502;0.7595;0.5988;0.554;0.8116;1570140;1245692;2815832;0.7934
SUR;SR;2000;2000;38337;37459;55282;50232;41576;38284;29073;26680;31122;31956;1.0;0.9771;0.9087;0.9208;0.9177;1.0268;197390;186611;384001;0.9454
SSD;SS;2000;2000;251770;130437;252003;99989;111741;31294;37638;8567;24891;9091;1.0;0.5181;0.3968;0.2801;0.2276;0.3652;680043;281378;961421;0.4138
STP;ST;2000;2000;14747;11579;10010;10076;6823;7303;3873;3743;3872;3300;1.0;0.7852;1.0066;1.0704;0.9664;0.8523;41325;38001;79326;0.9196
SLV;SV;2000;2000;486643;490584;651749;702221;393441;435293;265071;296049;270407;314726;1.0;1.0081;1.0774;1.1064;1.1169;1.1639;2069311;2240873;4310184;1.0829
SXM;SX;2000;2000;2300;2200;3631;3772;3550;4000;3266;3500;4200;4600;1.0;0.9565;1.0388;1.1268;1.0716;1.0952;18947;20072;39019;1.0594
SWZ;SZ;2000;2000;82329;75078;92286;85385;49475;45420;20267;16591;20553;23017;1.0;0.9119;0.9252;0.918;0.8186;1.1199;266910;247491;514401;0.9272
TCA;TC;2000;2000;3100;2700;6831;5168;5841;4279;3700;2562;3000;3000;1.0;0.871;0.7566;0.7326;0.6924;1.0;24472;19709;44181;0.8054
TCD;TD;2000;2000;266214;105822;296733;86419;142004;33128;49796;8964;33864;12957;1.0;0.3975;0.2912;0.2333;0.18;0.3826;790611;249290;1039901;0.3153
TGO;TG;2000;2000;210365;100263;251899;122331;145066;61480;57805;20619;40800;18526;1.0;0.4766;0.4856;0.4238;0.3567;0.4541;707935;325219;1033154;0.4594
THA;TH;2110;3817;3905190;4045417;9400000;9300000;5870000;6000000;3800000;4300000;4000000;4600000;1.809;1.0359;0.9894;1.0221;1.1316;1.15;26977300;28249234;55226534;1.0471
TJK;TJ;2000;2000;79581;24060;149823;44076;122418;42245;55590;28548;43151;25207;1.0;0.3023;0.2942;0.3451;0.5135;0.5842;452563;166136;618699;0.3671
TKL;TK;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0
TLS;TL;2000;2000;153119;131588;123523;97643;55711;37663;17736;9399;14685;8292;1.0;0.8594;0.7905;0.676;0.5299;0.5647;366774;286585;653359;0.7814
TKM;TM;2000;2000;2000;2000;4656;2600;6550;3376;2700;2100;3000;3000;1.0;1.0;0.5584;0.5154;0.7778;1.0;20906;15076;35982;0.7211
TUN;TN;2000;2000;899933;942677;1268121;1139526;982843;810039;549843;407103;573625;443185;1.0;1.0475;0.8986;0.8242;0.7404;0.7726;4276365;3744530;8020895;0.8756
TON;TO;2000;2000;11154;12055;8286;10085;5931;7000;4145;4572;4200;4463;1.0;1.0808;1.2171;1.1802;1.103;1.0626;35716;40175;75891;1.1248
TUR;TR;2693;2000;2753926;1004932;6500000;3000000;5700000;3400000;4400000;2672414;4668966;2947134;0.7427;0.3649;0.4615;0.5965;0.6074;0.6312;24025585;13026480;37052065;0.5422
TTO;TT;2000;2000;49474;47463;105363;103954;106523;115374;70151;75838;76642;97136;1.0;0.9594;0.9866;1.0831;1.0811;1.2674;410153;441765;851918;1.0771
TUV;TV;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0
TWN;TW;2000;2000;998037;1053113;2400000;2366667;2200000;2300000;1723204;1760873;2116787;2243414;1.0;1.0552;0.9861;1.0455;1.0219;1.0598;9440028;9726067;19166095;1.0303
TZA;TZ;2000;2000;1205037;925971;1791441;1264923;772548;506167;326541;193393;245559;138525;1.0;0.7684;0.7061;0.6552;0.5922;0.5641;4343126;3030979;7374105;0.6979
UKR;UA;2000;2000;490141;865093;1190769;1626283;1626562;2045556;1246566;1756889;1477647;2738183;1.0;1.765;1.3657;1.2576;1.4094;1.8531;6033685;9034004;15067689;1.4973
UGA;UG;2000;2000;503614;286200;773622;467619;271237;138090;78200;33067;60247;42281;1.0;0.5683;0.6045;0.5091;0.4229;0.7018;1688920;969257;2658177;0.5739
UMI;UM;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0
USA;US;4043;4621;10358621;11253333;23541380;23848276;21126667;22446429;15870000;18200000;26020000;37203333;1.143;1.0864;1.013;1.0625;1.1468;1.4298;96920711;112955992;209876703;1.1654
URY;UY;2000;2000;128613;140806;290979;302186;224946;244532;184311;214854;249137;340957;1.0;1.0948;1.0385;1.0871;1.1657;1.3686;1079986;1245335;2325321;1.1531
UZB;UZ;2000;2000;266176;115407;549917;221361;539083;239161;236261;129970;135629;116451;1.0;0.4336;0.4025;0.4436;0.5501;0.8586;1729066;824350;2553416;0.4768
VAT;VA;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0
VCT;VC;2000;2000;4940;4863;9400;10100;7159;7960;4900;5655;5353;5937;1.0;0.9844;1.0745;1.1119;1.1541;1.1091;33752;36515;70267;1.0819
VEN;VE;2000;2000;1876996;1963993;2066008;2300000;1463013;1697806;1059788;1213895;1126743;1416467;1.0;1.0463;1.1133;1.1605;1.1454;1.2571;7594548;8594161;16188709;1.1316
VGB;VG;2000;2000;2000;2000;2943;3093;2900;3067;2500;2400;3000;3000;1.0;1.0;1.051;1.0576;0.96;1.0;15343;15560;30903;1.0141
VIR;VI;2000;2000;3100;3500;4780;5657;3941;5063;3240;4370;5030;7100;1.0;1.129;1.1835;1.2847;1.3488;1.4115;22091;27690;49781;1.2535
VNM;VN;7448;8050;10250000;11413333;11916667;12236667;9100000;8695517;5260000;5300000;4700000;4700000;1.0808;1.1135;1.0269;0.9556;1.0076;1.0;41234115;42353567;83587682;1.0271
VUT;VU;2000;2000;24582;25233;19736;21159;12350;11908;6800;5400;5190;3800;1.0;1.0265;1.0721;0.9642;0.7941;0.7322;70658;69500;140158;0.9836
WLF;WF;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0
WSM;WS;2000;2000;16671;17300;16400;18119;10827;11647;7430;7373;6800;8100;1.0;1.0377;1.1048;1.0757;0.9923;1.1912;60128;64539;124667;1.0734
XKX;XK;2000;2000;100430;76011;168462;118152;117072;79103;84451;51601;89764;47337;1.0;0.7569;0.7014;0.6757;0.611;0.5273;562179;374204;936383;0.6656
YEM;YE;2000;2000;1275089;193074;1354628;236475;641035;88572;226203;26573;124376;19367;1.0;0.1514;0.1746;0.1382;0.1175;0.1557;3623331;566061;4189392;0.1562
MYT;YT;2000;2000;9391;10596;13403;15230;8800;8966;5600;4566;4163;3000;1.0;1.1283;1.1363;1.0189;0.8154;0.7206;43357;44358;87715;1.0231
ZAF;ZA;3587;3553;4300000;4153333;4573333;4600000;3128571;3066667;1340639;1308568;1402154;1623733;0.9905;0.9659;1.0058;0.9802;0.9761;1.158;14748284;14755854;29504138;1.0005
ZMB;ZM;2000;2000;721946;660994;732726;628035;341571;260822;162441;103498;177180;159631;1.0;0.9156;0.8571;0.7636;0.6371;0.901;2137864;1814980;3952844;0.849
ZWE;ZW;2000;2000;335705;305541;414018;358643;265075;195423;135684;84222;115432;97909;1.0;0.9101;0.8662;0.7372;0.6207;0.8482;1267914;1043738;2311652;0.8232
