date,iso3,Ins_13_14_men,Ins_13_14_women,Ins_14_15_men,Ins_14_15_women,Ins_15_16_men,Ins_15_16_women,Ins_16_17_men,Ins_16_17_women,Ins_17_18_men,Ins_17_18_women,Ins_18_19_men,Ins_18_19_women,Ins_19_20_men,Ins_19_20_women,Ins_15_19_men,Ins_15_19_women,Ins_20_24_men,Ins_20_24_women,Ins_25_29_men,Ins_25_29_women,Ins_30_34_men,Ins_30_34_women,Ins_35_39_men,Ins_35_39_women,Ins_40_44_men,Ins_40_44_women,Ins_45_49_men,Ins_45_49_women,Ins_50_54_men,Ins_55_59_men,Ins_55_59_women,Ins_60_64_men,Ins_60_64_women,Ins_65_999_men,Ins_65_999_women,Ins_18_23_men,Ins_18_23_women,Ins_20_999_men,Ins_20_999_women,Ins_20_64_men,Ins_20_64_women,Ins_21_999_men,Ins_21_999_women,Ins_25_999_men,Ins_25_999_women,Ins_25_49_men,Ins_25_49_women,Ins_25_64_men,Ins_25_64_women,Ins_60_999_men,Ins_60_999_women,Ins_50_999_men,Ins_50_999_women,Ins_android_device_users_men,Ins_iOS_device_users_men,Ins_all_menobile_device_users_men,Ins_android_device_users_women,Ins_iOS_device_users_women,Ins_all_menobile_device_users_women,Ins_18_999_all,Ins_18_999_men,Ins_18_999_women,Ins_50_54_women,Ins_13_14_r,Ins_14_15_r,Ins_15_16_r,Ins_16_17_r,Ins_17_18_r,Ins_18_19_r,Ins_19_20_r,Ins_15_19_r,Ins_20_24_r,Ins_25_29_r,Ins_30_34_r,Ins_35_39_r,Ins_40_44_r,Ins_45_49_r,Ins_55_59_r,Ins_60_64_r,Ins_65_999_r,Ins_18_23_r,Ins_20_999_r,Ins_20_64_r,Ins_21_999_r,Ins_25_999_r,Ins_25_49_r,Ins_25_64_r,Ins_60_999_r,Ins_50_999_r,Ins_android_device_users_r,Ins_iOS_device_users_r,Ins_all_menobile_device_users_r,Ins_18_999_r,Ins_50_54_r
2025-01,AND,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,2933.333333333333,2991.6666666666665,3195.6521739130435,2954.5454545454545,3179.1666666666665,3083.333333333333,2525.0,2650.0,2341.6666666666665,2717.391304347826,2252.1739130434785,2729.1666666666665,1970.8333333333333,1417.391304347826,1762.5,1000.0,1254.1666666666667,1200.0,1513.0434782608695,2182.608695652174,2312.5,21891.304347826088,24052.17391304348,20743.478260869564,22395.652173913044,21516.666666666668,23679.166666666668,18879.166666666668,21037.5,13426.08695652174,14120.833333333334,17662.5,19495.83333333333,2095.6521739130435,2826.086956521739,5473.913043478261,6895.652173913043,5604.166666666667,2958.333333333333,8120.833333333333,6508.333333333333,3695.8333333333335,9137.5,49834.782608695656,22334.78260869565,24469.565217391304,2360.8695652173915,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0082308706133698,0.9278403303470149,0.9693407030456366,1.0523207502374168,1.1594698703279938,1.2129279563116993,1.244616977225673,1.2541666666666669,1.2597547380156076,1.0374101261057782,1.0977215157237297,1.0789255892979022,1.0996034054366668,1.1140536441926825,1.0479206103894287,1.10355841396382,1.3488521375211022,1.2591075418089543,1.1615424684068816,1.249404761904762,1.1251542255070313,1.0941165574109455,1.2010529039991282
2025-01,ARE,1383.3333333333333,1000.0,1391.6666666666667,1000.0,1000.0,1000.0,1000.0,1000.0,38508.333333333336,34341.666666666664,98508.33333333331,78970.83333333333,147795.83333333334,97041.66666666669,98172.72727272728,78539.13043478261,835739.1304347826,421259.0909090909,1247826.0869565215,558418.1818181818,1053043.4782608696,528408.695652174,769766.6666666666,408200.0,473759.0909090909,278654.54545454547,261134.78260869565,152852.38095238095,147213.04347826086,74330.43478260869,42639.13043478261,35752.17391304348,24460.869565217392,53171.42857142857,37113.63636363636,624016.6666666666,344008.3333333333,4883333.333333333,2530434.782608696,4817391.304347826,2508695.652173913,4791666.666666667,2504166.6666666665,4082608.695652174,2112500.0,3791666.6666666665,1933333.3333333333,4037500.0,2070833.3333333333,89537.5,62131.81818181818,310500.0,185808.69565217392,2270833.333333333,764566.6666666666,2741666.6666666665,807291.6666666666,478360.8695652174,1100000.0,8191304.347826087,4963636.363636363,2617391.304347826,81182.60869565218,0.9049586776859504,0.8830956625074272,1.0,1.0,0.880002550103505,0.7919672029960422,0.6489200061744309,0.7882365234193969,0.4987092911667247,0.4464264462809917,0.5008108208344865,0.530691037387952,0.5849555808984584,0.5840157134739274,0.5707783307043746,0.6809769838267882,0.6942892248310318,0.545374130101956,0.5156509743141894,0.5187292776642429,0.5206352594229181,0.5132821682768153,0.5081797542735043,0.5112734158231264,0.6948970396887684,0.5960497690127887,0.355617012516469,0.6256780030664103,0.4013447971781305,0.5234183987330897,0.5488382275751172
2025-01,AFG,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,54595.833333333336,19200.0,121608.33333333331,42604.16666666666,137562.5,48412.5,119955.0,42131.81818181818,359875.0,119168.42105263156,266220.0,65445.454545454544,155442.85714285713,26245.0,89560.0,11800.0,34885.0,5445.0,17217.391304347828,3230.4347826086955,11991.666666666666,6847.826086956522,1635.0,4260.0,1075.0,16409.52380952381,4110.0,377608.3333333333,128008.33333333331,950142.105263158,242526.31578947368,941505.0,239515.0,890937.5,217962.5,603045.8333333334,123133.33333333331,563108.695652174,112939.1304347826,585382.6086956522,118870.83333333331,20434.78260869565,5180.952380952381,38810.52631578947,9463.157894736842,669850.0,156804.16666666666,739512.5,111879.16666666669,35841.666666666664,139458.33333333334,1473684.2105263155,1086920.0,286325.0,2695.0,1.0,1.0,1.0,1.0,0.3471632069320283,0.3461353954519315,0.3477964671910413,0.3425940187915338,0.3248505593920018,0.2421493126191137,0.1685442283983181,0.132812695489511,0.1576203303413127,0.1857684995253665,0.2389784815281403,0.2532402003332236,0.2497598949215245,0.3352405116487322,0.2534658077663337,0.2526983704363474,0.2431269279790262,0.2031003304423285,0.1993583664683288,0.2016753326206212,0.2509862766901097,0.2427153043865973,0.1669490439212293,0.2285729702194981,0.1885956352664955,0.2623936710338235,0.2256475744011644
2025-01,ATG,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1243.4782608695652,1516.6666666666667,1333.3333333333333,1575.0,1233.3333333333333,1516.6666666666667,4058.3333333333335,4695.833333333333,3782.608695652174,4029.1666666666665,3008.333333333333,3513.043478260869,2173.913043478261,2687.5,1581.8181818181818,2056.521739130435,1143.4782608695652,1450.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,3995.8333333333335,4679.166666666667,17890.909090909092,21626.08695652174,17317.391304347828,21073.91304347826,17165.217391304348,20816.666666666668,13833.333333333334,16833.333333333332,11612.5,14004.347826086956,13358.333333333334,16320.833333333334,1000.0,1056.5217391304348,2230.4347826086955,2795.6521739130435,10382.608695652174,4065.217391304348,12291.666666666666,11258.333333333334,4941.666666666667,13812.5,43836.36363636364,18952.17391304348,23060.869565217392,1078.2608695652175,1.0,1.0,1.0,1.0,1.0,1.2289297658862877,1.1773643023643023,1.2235576923076923,1.1554447087150577,1.0637080053253158,1.16980416601735,1.2374678102715115,1.2985739750445633,1.2727272727272727,1.0,1.0,1.0,1.1679698619981518,1.215465347383349,1.217053672956507,1.21105645994377,1.2172041834650866,1.2082825446886254,1.2221195871383954,1.056521739130435,1.2533510912527923,1.0846436345569672,1.21492023353105,1.1237824244789876,1.2167040353625629,1.0782608695652174
2025-01,AIA,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,3282.608695652174,3878.2608695652175,3182.608695652174,3760.869565217392,3191.6666666666665,3725.0,2704.1666666666665,3150.0,2230.4347826086955,2556.521739130435,2591.6666666666665,3041.6666666666665,1000.0,1000.0,1000.0,1000.0,1616.6666666666667,1000.0,2175.0,1920.8333333333333,1241.6666666666667,2529.1666666666665,7856.521739130435,3431.818181818182,4056.521739130435,1000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1811833054061205,1.1816223748201309,1.1663228264790766,1.1649581128747797,1.13900467121811,1.1737556257483794,1.0,1.0,1.188878676470588,1.2416666666666667,1.1631493506493509,1.1796303369832783,1.0
2025-01,ALB,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,11791.666666666666,11554.166666666666,27313.043478260868,26575.0,31617.391304347828,31708.33333333333,26937.5,26595.83333333333,115045.83333333331,111954.16666666669,118921.73913043478,100983.33333333331,104012.5,84537.5,77825.0,61839.13043478261,51966.66666666666,44191.66666666666,37087.5,32862.5,29058.33333333333,22983.33333333333,22766.666666666668,18195.83333333333,18241.666666666668,25354.166666666668,21925.0,98154.16666666669,101250.0,606140.9090909091,520595.652173913,580373.9130434783,498873.9130434783,589695.8333333334,505295.8333333333,486439.1304347826,408237.5,390762.5,320317.39130434784,461416.6666666667,387391.6666666667,43386.95652173913,40204.34782608696,95430.43478260867,91130.43478260867,273343.4782608696,110250.0,333300.0,187945.8333333333,82313.04347826086,234133.3333333333,1295652.1739130437,633922.7272727273,547469.5652173914,27991.666666666668,1.0,1.0,1.0,1.0,0.9528658075020656,0.9752522617972664,0.973962875870671,0.9636670841614696,0.9571985005016778,0.8395709707867952,0.8095450735879935,0.793608294961791,0.8474972051830099,0.8822664057388194,0.9867123452943282,1.0002418567541096,0.8629475654843771,1.012463282099436,0.8503038491270126,0.8544254053181233,0.8520394264144838,0.8328788954935055,0.8106309765359023,0.8358978358050372,0.9243183401375906,0.9519459874037792,0.687594459653229,0.7467008577640112,0.702477328878656,0.8544231442741395,0.9591794376620644
2025-01,ARM,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,18583.33333333333,21150.0,39991.66666666666,44791.30434782609,44100.0,48195.833333333336,40062.5,45050.0,136237.5,132545.83333333334,109200.0,100326.08695652174,96808.33333333331,99737.5,72183.33333333333,89233.33333333333,50513.04347826087,75116.66666666667,32329.166666666668,55904.16666666666,19775.0,13216.666666666666,32120.83333333333,10937.5,30808.33333333333,16152.173913043478,41062.5,132691.66666666666,137395.83333333334,554516.6666666666,688413.0434782609,538658.3333333334,653875.0,532379.1666666666,666716.6666666666,417716.6666666667,558391.6666666666,357843.4782608696,419721.7391304348,401533.3333333333,520958.3333333333,27104.166666666668,71262.5,60425.0,144500.0,284091.6666666667,123269.56521739133,350812.5,362604.1666666667,168113.04347826086,449020.8333333333,1400000.0,593956.5217391305,728045.8333333334,40929.16666666666,1.0,1.0,1.0,1.0,1.127819997161921,1.114673846032714,1.0844000011988093,1.1149196231994958,0.9667115299264598,0.9195230668945223,1.0290737338267186,1.2370916533510197,1.4840583060936827,1.7296125753312463,2.431283043541024,2.819025404017834,2.546101925469753,1.0289633009309018,1.2444846166173915,1.2130595055003088,1.252139532753923,1.3363900076926418,1.1628956055970483,1.2971258881760066,2.631040911830133,2.3919279348980838,1.2765011409974094,1.3638705597210306,1.2799869138488418,1.2229331814154651,2.068937912646968
2025-01,ANT,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-01,AGO,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,24479.166666666668,21562.5,53512.5,45904.16666666666,58595.833333333336,46295.833333333336,53583.333333333336,45937.5,147858.33333333334,112766.66666666669,111075.0,97004.34782608696,64641.66666666666,57058.333333333336,48279.16666666666,41058.333333333336,29473.91304347826,25062.5,17787.5,14979.166666666666,9373.91304347826,6150.0,4787.5,4179.166666666667,3620.8333333333335,17833.333333333332,12658.333333333334,158037.5,127654.16666666669,445720.8333333333,377683.3333333333,430466.6666666667,366683.3333333333,417429.1666666667,355150.0,305270.8333333333,263887.5,270200.0,236066.66666666663,288525.0,252183.3333333333,22016.666666666668,16426.08695652174,37300.0,29170.83333333333,325508.3333333333,93454.16666666669,349491.6666666667,256645.8333333333,94434.78260869563,280108.3333333333,966445.8333333334,495045.8333333333,426162.5,7550.0,1.0,1.0,1.0,1.0,0.8792310491633328,0.8558965401428185,0.7886668183002458,0.8553881783419793,0.7615999712010989,0.8744188697944297,0.8824250839711977,0.8499133344998896,0.8486413790889771,0.8411887814019323,0.7776288399794894,0.8654221645347716,0.7096959325046348,0.8062947082266007,0.8466214420154605,0.8510113499386617,0.8501502729371057,0.864028730222783,0.8733520325286063,0.8735532278399547,0.7443759721674613,0.7815835669935288,0.7884489716375408,1.010417392290945,0.8014992672002109,0.8599826169325757,0.8035667715434411
2025-01,ATA,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
