,name,ages_ranges,geo_location,genders,interests,behavior,scholarities,languages,family_statuses,all_fields,targeting,response,lower_end,upper_end,user_count_stage,timestamp
10,BY,AGE_35_44,630336,GENDER_MALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_PANGLE', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['630336'], 'gender': 'GENDER_MALE', 'age_groups': ['AGE_35_44']}",,"{'code': 0, 'message': 'OK', 'request_id': '20250802174755C36456514F788E1B3089', 'data': {'user_count': {'lower_end': 529000, 'upper_end': 648000}, 'user_count_stage': 2}}",529000,648000,2,2025-08-02 11:51:04.081872
11,BY,AGE_45_54,630336,GENDER_MALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_PANGLE', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['630336'], 'gender': 'GENDER_MALE', 'age_groups': ['AGE_45_54']}",,"{'code': 0, 'message': 'OK', 'request_id': '202508021747551A46B8D6E339B5130205', 'data': {'user_count': {'lower_end': 308000, 'upper_end': 378000}, 'user_count_stage': 2}}",308000,378000,2,2025-08-02 11:51:04.081872
12,TR,AGE_25_34,298795,GENDER_FEMALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_PANGLE', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['298795'], 'gender': 'GENDER_FEMALE', 'age_groups': ['AGE_25_34']}",,"{'code': 0, 'message': 'OK', 'request_id': '2025080217475674899E1C322D4E0E1AAD', 'data': {'user_count': {'lower_end': 12527000, 'upper_end': 15312000}, 'user_count_stage': 2}}",12527000,15312000,2,2025-08-02 11:51:04.081872
13,TR,AGE_13_17,298795,GENDER_FEMALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_PANGLE', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['298795'], 'gender': 'GENDER_FEMALE', 'age_groups': ['AGE_13_17']}",,"{'code': 0, 'message': 'OK', 'request_id': '202508021747564F0D618A9F4698140C9C', 'data': {'user_count': {'lower_end': 0, 'upper_end': 3000}, 'user_count_stage': 1}}",0,3000,1,2025-08-02 11:51:04.081872
14,TR,AGE_35_44,298795,GENDER_FEMALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_PANGLE', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['298795'], 'gender': 'GENDER_FEMALE', 'age_groups': ['AGE_35_44']}",,"{'code': 0, 'message': 'OK', 'request_id': '202508021747573CB3D355B0B64F1236E7', 'data': {'user_count': {'lower_end': 6685000, 'upper_end': 8171000}, 'user_count_stage': 2}}",6685000,8171000,2,2025-08-02 11:51:04.081872
15,TR,AGE_45_54,298795,GENDER_FEMALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_PANGLE', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['298795'], 'gender': 'GENDER_FEMALE', 'age_groups': ['AGE_45_54']}",,"{'code': 0, 'message': 'OK', 'request_id': '20250802174757BE6DE20933D8350C9086', 'data': {'user_count': {'lower_end': 3462000, 'upper_end': 4233000}, 'user_count_stage': 2}}",3462000,4233000,2,2025-08-02 11:51:04.081872
16,TR,AGE_13_17,298795,GENDER_MALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_PANGLE', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['298795'], 'gender': 'GENDER_MALE', 'age_groups': ['AGE_13_17']}",,"{'code': 0, 'message': 'OK', 'request_id': '202508021747572F9289F183F6D319713E', 'data': {'user_count': {'lower_end': 0, 'upper_end': 3000}, 'user_count_stage': 1}}",0,3000,1,2025-08-02 11:51:04.081872
17,TR,AGE_55_100,298795,GENDER_FEMALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_PANGLE', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['298795'], 'gender': 'GENDER_FEMALE', 'age_groups': ['AGE_55_100']}",,"{'code': 0, 'message': 'OK', 'request_id': '2025080217475725B08A8287AA8E156E1B', 'data': {'user_count': {'lower_end': 2319000, 'upper_end': 2836000}, 'user_count_stage': 2}}",2319000,2836000,2,2025-08-02 11:51:04.081872
18,TR,AGE_18_24,298795,GENDER_FEMALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_PANGLE', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['298795'], 'gender': 'GENDER_FEMALE', 'age_groups': ['AGE_18_24']}",,"{'code': 0, 'message': 'OK', 'request_id': '20250802174756D6589872B53CA319F342', 'data': {'user_count': {'lower_end': 12575000, 'upper_end': 15371000}, 'user_count_stage': 2}}",12575000,15371000,2,2025-08-02 11:51:04.081872
19,TR,AGE_18_24,298795,GENDER_MALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_PANGLE', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['298795'], 'gender': 'GENDER_MALE', 'age_groups': ['AGE_18_24']}",,"{'code': 0, 'message': 'OK', 'request_id': '20250802174758EEB5EAEF5F5D8A1E5F20', 'data': {'user_count': {'lower_end': 36025000, 'upper_end': 44032000}, 'user_count_stage': 3}}",36025000,44032000,3,2025-08-02 11:51:04.081872
