,country_code,region_id,gender,age
103,BO,3923057,GENDER_MALE,AGE_18_24
104,BO,3923057,GENDER_MALE,AGE_25_34
105,BO,3923057,GENDER_MALE,AGE_35_44
106,BO,3923057,GENDER_MALE,AGE_45_54
107,BO,3923057,GENDER_MALE,AGE_55_100
108,CR,3624060,GENDER_FEMALE,AGE_13_17
109,CR,3624060,GENDER_FEMALE,AGE_18_24
110,CR,3624060,GENDER_FEMALE,AGE_25_34
111,CR,3624060,GENDER_FEMALE,AGE_35_44
112,CR,3624060,GENDER_FEMALE,AGE_45_54
113,CR,3624060,GENDER_FEMALE,AGE_55_100
114,CR,3624060,GENDER_MALE,AGE_13_17
115,CR,3624060,GENDER_MALE,AGE_18_24
116,CR,3624060,GENDER_MALE,AGE_25_34
117,CR,3624060,GENDER_MALE,AGE_35_44
118,CR,3624060,GENDER_MALE,AGE_45_54
119,CR,3624060,GENDER_MALE,AGE_55_100
120,KZ,1522867,GENDER_FEMALE,AGE_13_17
121,KZ,1522867,GENDER_FEMALE,AGE_18_24
122,KZ,1522867,GENDER_FEMALE,AGE_25_34
123,KZ,1522867,GENDER_FEMALE,AGE_35_44
124,KZ,1522867,GENDER_FEMALE,AGE_45_54
125,KZ,1522867,GENDER_FEMALE,AGE_55_100
126,KZ,1522867,GENDER_MALE,AGE_13_17
127,KZ,1522867,GENDER_MALE,AGE_18_24
128,KZ,1522867,GENDER_MALE,AGE_25_34
129,KZ,1522867,GENDER_MALE,AGE_35_44
130,KZ,1522867,GENDER_MALE,AGE_45_54
131,KZ,1522867,GENDER_MALE,AGE_55_100
132,TR,298795,GENDER_FEMALE,AGE_13_17
133,TR,298795,GENDER_FEMALE,AGE_18_24
134,TR,298795,GENDER_FEMALE,AGE_25_34
135,TR,298795,GENDER_FEMALE,AGE_35_44
136,TR,298795,GENDER_FEMALE,AGE_45_54
137,TR,298795,GENDER_FEMALE,AGE_55_100
138,TR,298795,GENDER_MALE,AGE_13_17
139,TR,298795,GENDER_MALE,AGE_18_24
140,TR,298795,GENDER_MALE,AGE_25_34
141,TR,298795,GENDER_MALE,AGE_35_44
142,TR,298795,GENDER_MALE,AGE_45_54
143,TR,298795,GENDER_MALE,AGE_55_100
144,BR,3469034,GENDER_FEMALE,AGE_13_17
