country_code,country_name,male_2534,female_2534,male_3544,female_3544,male_4554,female_4554,male_55plus,female_55plus,male_1317,female_1317,male_1824,female_1824
CMR,Cameroon,2167236.0,2184936.0,1600039.0,1623698.0,1010863.0,1041472.0,564749.0,608021.0,241860.5,232438.5,687990.5,470070.0
COD,"Congo, Dem. Rep.",7485641.0,7606216.0,4920085.0,5043024.0,3146102.0,3304220.0,2122045.0,2320375.0,252503.0,243539.5,678046.0,458776.0
COG,"Congo, Rep.",436634.0,435017.0,353849.0,354350.0,261640.0,265490.0,154915.0,165607.0,253438.0,249813.0,705818.0,450075.0
COL,Colombia,4581800.0,4572201.0,3942116.0,3995975.0,3148316.0,3305573.0,2648032.0,2890440.0,1807179.0,1711633.0,2487017.5,2379433.0
COM,Comoros,61156.0,63677.0,52046.0,51824.0,38104.0,36031.0,23226.0,22799.0,1828642.0,1729688.5,2484142.0,2374993.0
CPV,Cabo Verde,46762.0,42533.0,43006.0,39806.0,27865.0,25260.0,20714.0,21811.0,1849581.5,1747937.5,2486187.0,2375187.0
CRI,Costa Rica,408969.0,397302.0,402239.0,400163.0,311666.0,331294.0,271371.0,298188.0,1870987.0,1767469.5,2489325.5,2375781.5
CSS,Caribbean small states,256812.0,257094.0,210937.0,219245.0,180359.0,191199.0,152510.0,166848.0,1886790.5,1782401.5,2492470.0,2375502.5
CUB,Cuba,706384.0,667641.0,738481.0,707216.0,774323.0,791664.0,873158.0,948966.0,90153.5,85804.5,116525.5,115632.5
CUW,Curacao,13545.0,11291.0,9810.0,9333.0,8377.0,9968.0,8804.0,11536.0,92986.0,88339.0,117000.5,117182.0
CYM,Cayman Islands,5617.0,5550.0,7190.0,6977.0,6726.0,6417.0,5023.0,4944.0,98231.5,92549.0,123871.5,124001.0
CYP,Cyprus,104053.0,96692.0,134969.0,119106.0,94402.0,97709.0,75872.0,80279.0,101892.0,95131.0,127286.0,127111.5
CZE,Czechia,601844.0,565834.0,748684.0,699395.0,886819.0,841210.0,649612.0,648746.0,103324.5,95542.0,125313.5,124350.0
DEU,Germany,4984372.0,4580196.0,5511583.0,5285695.0,5060644.0,5041698.0,6503530.0,6562654.0,2669.5,2517.0,2754.0,2588.5
DJI,Djibouti,96653.0,97122.0,76700.0,78524.0,60738.0,64166.0,37555.0,41340.0,2537.5,2426.5,2793.0,2602.0
DMA,Dominica,5167.0,5093.0,4963.0,4876.0,4183.0,3999.0,4343.0,4264.0,2448.5,2363.5,2845.0,2628.5
DNK,Denmark,413938.0,398620.0,359179.0,349786.0,378753.0,380507.0,394472.0,395944.0,2408.0,2334.5,2920.5,2687.5
DOM,Dominican Republic,918855.0,898684.0,774906.0,774927.0,622262.0,641165.0,470565.0,514069.0,2371.5,2304.5,2989.0,2764.0
DZA,Algeria,3276483.0,3091191.0,3751934.0,3549669.0,2902978.0,2760633.0,1966482.0,1885826.0,3230.0,3146.0,4892.0,4790.0
EAP,East Asia & Pacific (excluding high income),153632015.0,140034441.0,169687559.0,160493021.0,149507175.0,147245476.0,137732515.0,142688670.0,3297.5,3211.0,4788.5,4676.0
EAR,Early-demographic dividend,296666118.0,282718734.0,258237192.0,248282748.0,194029347.0,190991792.0,136160359.0,139956758.0,3331.5,3242.5,4704.5,4590.5
EAS,East Asia & Pacific,168617742.0,154099979.0,185540786.0,176045103.0,167684179.0,165504726.0,154667483.0,159844485.0,3324.0,3234.0,4652.5,4537.5
