country_code,bucket,pen_total,pen_male,pen_female,gap_abs,gap_pct
CRI,3544,0.821284094506245,0.8913,0.7509,0.1403,8.5444
CRI,4554,0.5637986810999129,0.608,0.5222,0.0858,7.5939
CRI,55plus,0.5995866977784566,0.6025,0.5969,0.0056,0.4633
CZE,1519,0.0017045909748726244,0.0017,0.0017,-0.0001,-2.2216
CZE,2024,1.4735780958775548,1.1318,1.8308,-0.699,-23.5947
CZE,2534,0.6196057474749032,0.5143,0.7317,-0.2174,-17.4498
CZE,3544,0.1978483218111719,0.1683,0.2295,-0.0612,-15.3826
CZE,4554,0.120079003303764,0.1009,0.1403,-0.0394,-16.3152
CZE,55plus,0.12207726990552682,0.1024,0.1418,-0.0394,-16.1533
DEU,1519,0.00026410715144062526,0.0003,0.0003,-0.0,-2.8639
DEU,2024,1.5012536676314838,1.3977,1.6119,-0.2143,-7.1194
DEU,2534,0.8173395808362699,0.7275,0.9151,-0.1877,-11.4246
DEU,3544,0.39672035859408267,0.3593,0.4357,-0.0764,-9.6058
DEU,4554,0.2931003523737367,0.2638,0.3225,-0.0587,-10.0135
DEU,55plus,0.21199762685111428,0.1811,0.2427,-0.0616,-14.5393
DNK,1519,0.0028484023311324677,0.0028,0.0029,-0.0001,-2.5066
DNK,2024,1.5871257760031985,1.3077,1.877,-0.5693,-17.8766
DNK,2534,0.6344162509014741,0.5411,0.7313,-0.1901,-14.9424
DNK,3544,0.267996304472012,0.2367,0.3002,-0.0635,-11.8347
DNK,4554,0.17253641703764191,0.1479,0.1971,-0.0493,-14.2776
DNK,55plus,0.12082245298678164,0.1052,0.1364,-0.0312,-12.9059
DOM,1519,0.0010184647662114129,0.001,0.001,-0.0,-2.0634
DOM,2024,2.300234702971275,2.3931,2.2039,0.1892,4.1163
DOM,2534,1.8260956161050739,2.1554,1.4894,0.666,18.2726
DOM,3544,0.7207228133611815,0.8427,0.5988,0.2439,16.9216
DOM,4554,0.4301791872423179,0.4918,0.3704,0.1213,14.0731
DOM,55plus,0.5123731254455971,0.561,0.4678,0.0932,9.0577
DZA,1519,0.0002599593683507268,0.0003,0.0003,-0.0,-2.217
DZA,2024,2.160626722703797,2.3393,1.9749,0.3644,8.4461
DZA,2534,1.6932399491556887,2.0949,1.2675,0.8275,24.6091
DZA,3544,0.46277509199007394,0.5986,0.3192,0.2794,30.4464
DZA,4554,0.24189514428162529,0.3,0.1808,0.1193,24.8093
DZA,55plus,0.3173422270493429,0.3529,0.2802,0.0727,11.4767
EGY,1519,0.0002718719635300073,0.0003,0.0003,-0.0,-2.3008
EGY,2024,4.832826317508172,7.1073,2.4674,4.6399,48.4595
EGY,2534,2.739865742725068,3.3184,2.1352,1.1832,21.6958
EGY,3544,1.529419298124548,1.7284,1.3255,0.4029,13.1929
EGY,4554,0.6862785484019605,0.6779,0.6949,-0.017,-1.241
EGY,55plus,1.4872251299594816,2.3171,0.6785,1.6386,54.7018
ESP,1519,0.00038413403512060657,0.0004,0.0004,-0.0,-2.8473
ESP,2024,1.503239457616218,1.4096,1.6022,-0.1927,-6.3975
ESP,2534,0.9586238327499103,0.9051,1.0139,-0.1088,-5.6688
ESP,3544,0.6251244927763215,0.4914,0.7601,-0.2687,-21.4679
ESP,4554,0.4958240568145676,0.3721,0.6225,-0.2504,-25.1778
ESP,55plus,0.5159663580192793,0.3608,0.6663,-0.3055,-29.7416
FIN,1519,0.0031165366551458695,0.003,0.0032,-0.0001,-2.2131
FIN,2024,1.7183604110089412,1.3657,2.0896,-0.7239,-20.9492
FIN,2534,0.8010667332890797,0.6865,0.9234,-0.2369,-14.7136
FIN,3544,0.3354643305569666,0.2848,0.3896,-0.1048,-15.5412
FIN,4554,0.27317224629687403,0.2222,0.3264,-0.1043,-19.0071
FIN,55plus,0.21453420137890805,0.1834,0.2453,-0.0619,-14.4493
FRA,1519,0.00023407028803051154,0.0002,0.0002,-0.0,-2.415
FRA,2024,1.345887625338927,1.2451,1.4519,-0.2069,-7.6704
FRA,2534,0.8700776704725921,0.83,0.9106,-0.0806,-4.6318
FRA,3544,0.5238478657831662,0.4713,0.5742,-0.1028,-9.8374
FRA,4554,0.3579968396006654,0.3113,0.4037,-0.0923,-12.9147
FRA,55plus,0.3085856356910308,0.2612,0.3527,-0.0914,-14.8924
GBR,1519,0.00023854756972506916,0.0002,0.0002,-0.0,-2.4458
GBR,2024,1.5113189679239096,1.3948,1.634,-0.2392,-7.8986
GBR,2534,0.9147858975210947,0.8353,0.9979,-0.1626,-8.87
GBR,3544,0.5884036714895858,0.453,0.7215,-0.2685,-22.864
GBR,4554,0.4111471190135252,0.3207,0.4996,-0.1789,-21.8036
GBR,55plus,0.3702288743604437,0.2954,0.4391,-0.1437,-19.5621
GRC,1519,0.001821178484597383,0.0018,0.0019,-0.0001,-2.8889
GRC,2024,1.7628932424650376,1.4598,2.0972,-0.6374,-17.9189
GRC,2534,1.2813309396883694,1.0718,1.5114,-0.4396,-17.0164
GRC,3544,0.6542407382925551,0.5833,0.7252,-0.1419,-10.8448
GRC,4554,0.4641266262824257,0.4111,0.5154,-0.1043,-11.2569
GRC,55plus,0.48386517870505624,0.4172,0.5433,-0.1261,-13.1307
GTM,1519,0.0005277340051739041,0.0005,0.0005,-0.0,-1.1487
GTM,2024,1.9588935538155092,2.0024,1.9147,0.0877,2.239
GTM,2534,1.449094308476671,1.6177,1.2794,0.3382,11.675
GTM,3544,0.6173218647726886,0.6943,0.5417,0.1526,12.3473
GTM,4554,0.45459097612366445,0.5124,0.402,0.1104,12.0791
GTM,55plus,0.6726654173571425,0.739,0.6184,0.1206,8.8832
HUN,1519,0.0020108707673683933,0.002,0.0021,-0.0001,-2.5452
HUN,2024,1.5036248098093619,1.2736,1.7474,-0.4738,-15.6837
HUN,2534,0.9265514744065121,0.8017,1.0598,-0.2581,-13.868
HUN,3544,0.4617579717161259,0.4118,0.5142,-0.1024,-11.0567
HUN,4554,0.34309711772672735,0.3022,0.3845,-0.0823,-11.9843
HUN,55plus,0.33378605464883404,0.2888,0.375,-0.0861,-12.9741
IRL,1519,0.0026621729187797662,0.0026,0.0027,-0.0001,-2.3233
IRL,2024,2.051272012371953,1.5877,2.5303,-0.9427,-22.8913
IRL,2534,1.1339539754414896,0.9099,1.363,-0.4531,-19.9357
IRL,3544,0.5593585135562963,0.4609,0.6516,-0.1907,-17.1433
IRL,4554,0.4489268179636578,0.364,0.5312,-0.1672,-18.6777
IRL,55plus,0.4084008450328941,0.3345,0.4803,-0.1458,-17.898
IRQ,1519,0.00020313316658808798,0.0002,0.0002,-0.0,-2.3835
IRQ,2024,2.7618712822742535,3.089,2.4202,0.6688,12.1399
IRQ,2534,2.296832247042042,2.811,1.7677,1.0433,22.7861
IRQ,3544,0.8727145705721093,1.1494,0.5959,0.5535,31.7164
IRQ,4554,0.5248262507033656,0.6887,0.3663,0.3224,30.5601
IRQ,55plus,0.8781942361881784,1.1271,0.6625,0.4646,25.9587
ITA,1519,0.0003474371989890967,0.0003,0.0004,-0.0,-2.8974
ITA,2024,1.5087089596618695,1.4406,1.5812,-0.1405,-4.6503
ITA,2534,0.8579938433737304,0.7972,0.9237,-0.1265,-7.3497
ITA,3544,0.5194183388311296,0.4518,0.5881,-0.1362,-13.1006
ITA,4554,0.42337007367642693,0.3629,0.4834,-0.1205,-14.2409
ITA,55plus,0.45457455732335755,0.3822,0.5238,-0.1416,-15.6316
JPN,1519,0.0005305990268460115,0.0005,0.0005,-0.0,-2.7226
JPN,2024,4.965916482521552,4.8939,5.0416,-0.1478,-1.4873
JPN,2534,6.181202726344126,6.4758,5.8747,0.6012,4.8676
JPN,3544,3.7813337512825176,4.9464,2.5829,2.3635,31.3907
JPN,4554,1.160404170130211,0.9887,1.3348,-0.346,-14.8919
JPN,55plus,0.9687966650880193,0.9108,1.0278,-0.117,-6.035
KAZ,1519,0.0005944087535010676,0.0006,0.0006,-0.0,-2.3208
KAZ,2024,3.788622883504005,3.607,3.9776,-0.3706,-4.8861
KAZ,2534,2.2902484639565883,2.6628,1.9073,0.7555,16.531
KAZ,3544,0.8154625465286456,0.9571,0.6738,0.2833,17.3687
KAZ,4554,0.6224979455620462,0.7107,0.5416,0.1691,13.505
KAZ,55plus,0.7323820564583982,0.7476,0.7197,0.028,1.9055
KEN,1519,0.0001505604839857094,0.0002,0.0002,-0.0,-0.1884
KEN,2024,0.9496861573132109,1.1297,0.7737,0.356,18.7036
KEN,2534,0.8489200142208047,1.1238,0.5869,0.5368,31.3811
KEN,3544,0.3529989426408728,0.4579,0.2463,0.2116,30.0432
KEN,4554,0.2228219416729569,0.2803,0.1646,0.1157,26.0095
KEN,55plus,0.26289527557953546,0.2915,0.2359,0.0555,10.5292
KOR,1519,0.0008683815755481115,0.0008,0.0009,-0.0001,-3.0765
KOR,2024,4.36075586434982,4.2416,4.4905,-0.2489,-2.85
KOR,2534,3.6788681318215772,4.239,3.0444,1.1946,16.4013
KOR,3544,3.255489208425906,4.6489,1.7402,2.9087,45.5258
KOR,4554,0.7699308046935872,0.7218,0.8196,-0.0978,-6.3466
KOR,55plus,0.8679151272176641,0.8246,0.9108,-0.0862,-4.9695
KWT,1519,0.010410521567130513,0.0102,0.0107,-0.0005,-2.2785
KWT,2024,7.208987023048615,9.66,4.3805,5.2795,37.6015
KWT,2534,3.762065470353563,3.9925,3.3224,0.67,9.1596
KWT,3544,1.355050643306871,1.2642,1.5296,-0.2654,-9.501
KWT,4554,0.6153038469133661,0.5351,0.7668,-0.2318,-17.803
KWT,55plus,1.0297441131442735,0.9368,1.1985,-0.2618,-12.2598
LBN,1519,0.0018767078041017325,0.0018,0.0019,-0.0001,-3.2932
LBN,2024,2.4890144707727786,2.6025,2.3628,0.2397,4.827
LBN,2534,2.379999166463545,3.0029,1.8014,1.2015,25.009
LBN,3544,0.9058370631808899,1.1934,0.654,0.5394,29.1954
LBN,4554,0.5323990588558573,0.6935,0.3943,0.2991,27.4969
LBN,55plus,0.5955755318000217,0.691,0.5117,0.1793,14.9066
LKA,1519,0.000577480901262893,0.0006,0.0006,-0.0,-1.1158
LKA,2024,1.3544917376306278,1.6327,1.0695,0.5632,20.8402
LKA,2534,0.9280334169098606,1.2115,0.645,0.5665,30.5144
LKA,3544,0.2497552961206775,0.3454,0.1611,0.1843,36.3869
LKA,4554,0.10611304672499167,0.1358,0.0786,0.0571,26.6391
LKA,55plus,0.07661972403353319,0.0944,0.0611,0.0333,21.4187
MAR,1519,0.0009231823078880697,0.0009,0.0009,-0.0,-2.4579
MAR,2024,6.989296527219776,10.8214,2.9667,7.8548,56.9678
MAR,2534,2.8438823314051658,3.5406,2.1144,1.4262,25.2204
MAR,3544,1.6363241642775854,1.9006,1.3668,0.5338,16.3375
MAR,4554,0.6728718435891693,0.6194,0.726,-0.1066,-7.9232
MAR,55plus,1.2346903299791345,1.6849,0.8012,0.8837,35.5438
MEX,1519,8.971428422759186e-05,0.0001,0.0001,-0.0,-1.5308
MEX,2024,2.2570224707714037,2.2067,2.3082,-0.1015,-2.2479
MEX,2534,2.0497669027333,2.4468,1.6631,0.7838,19.0699
MEX,3544,0.7079953214236345,0.8112,0.6153,0.1959,13.7305
MEX,4554,0.4739972197512063,0.5446,0.4145,0.1301,13.5642
MEX,55plus,0.5000275739566231,0.5353,0.4703,0.065,6.4642
