country_code,bucket,pop_male,pop_female
CAN,4554,2494459.0,2545411.0
CAN,55plus,2595347.0,2657093.0
CEB,2024,2479067.0,2363736.0
CEB,2534,5792155.0,5491398.0
CEB,3544,7439037.0,7077859.0
CEB,4554,7596380.0,7442613.0
CEB,55plus,5967048.0,6376577.0
CHE,2024,235041.0,221470.0
CHE,2534,566308.0,541350.0
CHE,3544,645772.0,632669.0
CHE,4554,614208.0,609043.0
CHE,55plus,648075.0,644538.0
CHI,2024,4643.0,4488.0
CHI,2534,10324.0,9855.0
CHI,3544,11467.0,11273.0
CHI,4554,11666.0,11922.0
CHI,55plus,12761.0,13161.0
CHL,2024,657857.0,638301.0
CHL,2534,1599490.0,1564641.0
CHL,3544,1537659.0,1509754.0
CHL,4554,1316562.0,1312981.0
CHL,55plus,1135268.0,1180044.0
CHN,2024,42180291.0,36004354.0
CHN,2534,95737610.0,84188048.0
CHN,3544,115015122.0,107188260.0
CHN,4554,104255455.0,101497634.0
CHN,55plus,103251276.0,105438044.0
CIV,2024,1504123.0,1388637.0
CIV,2534,2285865.0,2265354.0
CIV,3544,1916443.0,1950929.0
CIV,4554,1307610.0,1134380.0
CIV,55plus,683013.0,620277.0
CMR,2024,1359638.0,1359719.0
CMR,2534,2167236.0,2184936.0
CMR,3544,1600039.0,1623698.0
CMR,4554,1010863.0,1041472.0
CMR,55plus,564749.0,608021.0
COD,2024,4845048.0,4890373.0
COD,2534,7485641.0,7606216.0
COD,3544,4920085.0,5043024.0
COD,4554,3146102.0,3304220.0
COD,55plus,2122045.0,2320375.0
COG,2024,282137.0,280068.0
COG,2534,436634.0,435017.0
COG,3544,353849.0,354350.0
COG,4554,261640.0,265490.0
COG,55plus,154915.0,165607.0
COL,2024,2175030.0,2121962.0
COL,2534,4581800.0,4572201.0
COL,3544,3942116.0,3995975.0
COL,4554,3148316.0,3305573.0
COL,55plus,2648032.0,2890440.0
COM,2024,40657.0,38961.0
COM,2534,61156.0,63677.0
COM,3544,52046.0,51824.0
COM,4554,38104.0,36031.0
COM,55plus,23226.0,22799.0
CPV,2024,22889.0,20326.0
CPV,2534,46762.0,42533.0
CPV,3544,43006.0,39806.0
CPV,4554,27865.0,25260.0
CPV,55plus,20714.0,21811.0
CRI,2024,188626.0,181283.0
CRI,2534,408969.0,397302.0
CRI,3544,402239.0,400163.0
CRI,4554,311666.0,331294.0
CRI,55plus,271371.0,298188.0
CSS,2024,128089.0,124977.0
CSS,2534,256812.0,257094.0
CSS,3544,210937.0,219245.0
CSS,4554,180359.0,191199.0
CSS,55plus,152510.0,166848.0
CUB,2024,326080.0,311856.0
CUB,2534,706384.0,667641.0
CUB,3544,738481.0,707216.0
CUB,4554,774323.0,791664.0
CUB,55plus,873158.0,948966.0
CUW,2024,5118.0,4619.0
CUW,2534,13545.0,11291.0
CUW,3544,9810.0,9333.0
CUW,4554,8377.0,9968.0
CUW,55plus,8804.0,11536.0
CYM,2024,1974.0,1994.0
CYM,2534,5617.0,5550.0
CYM,3544,7190.0,6977.0
CYM,4554,6726.0,6417.0
CYM,55plus,5023.0,4944.0
