country_code,bucket,tiktok_male,tiktok_female,pop_male,pop_female,pen_male,pen_female,gap_abs,gap_pct,tt_fm,pop_fm,relative_gap
LKA,2024,1366500.0,874000.0,836957.0,817169.0,1.6327,1.0695,0.5632,20.8402,0.6396,0.9764,0.6551
LKA,2534,1885000.0,1005000.0,1555947.0,1558165.0,1.2115,0.645,0.5665,30.5144,0.5332,1.0014,0.5325
LKA,3544,501500.0,252500.0,1451780.0,1567175.0,0.3454,0.1611,0.1843,36.3869,0.5035,1.0795,0.4664
LKA,4554,181500.0,113500.0,1336886.0,1443168.0,0.1358,0.0786,0.0571,26.6391,0.6253,1.0795,0.5792
LKA,55plus,104000.0,77000.0,1101829.0,1260487.0,0.0944,0.0611,0.0333,21.4187,0.7404,1.144,0.6472
MAR,1519,1500.0,1500.0,1664751.0,1584878.0,0.0009,0.0009,-0.0,-2.4579,1.0,0.952,1.0504
MAR,2024,16346000.0,4269000.0,1510520.0,1438990.0,10.8214,2.9667,7.8548,56.9678,0.2612,0.9526,0.2742
MAR,2534,10427000.0,5947500.0,2944953.0,2812845.0,3.5406,2.1144,1.4262,25.2204,0.5704,0.9551,0.5972
MAR,3544,5330500.0,3759500.0,2804584.0,2750550.0,1.9006,1.3668,0.5338,16.3375,0.7053,0.9807,0.7192
MAR,4554,1396000.0,1644000.0,2253637.0,2264311.0,0.6194,0.726,-0.1066,-7.9232,1.1777,1.0047,1.1722
MAR,55plus,2867000.0,1416000.0,1701598.0,1767288.0,1.6849,0.8012,0.8837,35.5438,0.4939,1.0386,0.4755
MEX,1519,500.0,500.0,5658563.0,5487934.0,0.0001,0.0001,-0.0,-1.5308,1.0,0.9698,1.0311
MEX,2024,12354000.0,12700500.0,5598363.0,5502324.0,2.2067,2.3082,-0.1015,-2.2479,1.028,0.9828,1.046
MEX,2534,25376000.0,17710500.0,10370957.0,10649238.0,2.4468,1.6631,0.7838,19.0699,0.6979,1.0268,0.6797
MEX,3544,7072000.0,5973000.0,8718110.0,9707153.0,0.8112,0.6153,0.1959,13.7305,0.8446,1.1134,0.7586
MEX,4554,3848000.0,3477500.0,7065494.0,8389238.0,0.5446,0.4145,0.1301,13.5642,0.9037,1.1874,0.7611
MEX,55plus,2883000.0,3001500.0,5385968.0,6382383.0,0.5353,0.4703,0.065,6.4642,1.0411,1.185,0.8786
NGA,1519,500.0,500.0,13685202.0,13173225.0,0.0,0.0,-0.0,-1.9062,1.0,0.9626,1.0389
NGA,2024,7410500.0,5137000.0,11610583.0,11187791.0,0.6383,0.4592,0.1791,16.3195,0.6932,0.9636,0.7194
NGA,2534,13447000.0,6321500.0,16998814.0,16420743.0,0.7911,0.385,0.4061,34.5303,0.4701,0.966,0.4866
NGA,3544,4668000.0,2079000.0,12236486.0,11920962.0,0.3815,0.1744,0.2071,37.2532,0.4454,0.9742,0.4572
NGA,4554,1975000.0,965000.0,8457920.0,8354606.0,0.2335,0.1155,0.118,33.8106,0.4886,0.9878,0.4946
NGA,55plus,1485000.0,887500.0,4902912.0,5041940.0,0.3029,0.176,0.1269,26.4891,0.5976,1.0284,0.5811
NLD,1519,500.0,500.0,509509.0,488177.0,0.001,0.001,-0.0,-2.1381,1.0,0.9581,1.0437
NLD,2024,775000.0,1108000.0,589941.0,570673.0,1.3137,1.9416,-0.6279,-19.2881,1.4297,0.9673,1.478
NLD,2534,845000.0,1187500.0,1248008.0,1217771.0,0.6771,0.9751,-0.2981,-18.0402,1.4053,0.9758,1.4402
NLD,3544,393000.0,558500.0,1145215.0,1127310.0,0.3432,0.4954,-0.1523,-18.1566,1.4211,0.9844,1.4436
NLD,4554,301500.0,469500.0,1096492.0,1106190.0,0.275,0.4244,-0.1495,-21.3701,1.5572,1.0088,1.5436
NLD,55plus,261500.0,365000.0,1256118.0,1261756.0,0.2082,0.2893,-0.0811,-16.3025,1.3958,1.0045,1.3895
NOR,1519,500.0,500.0,175508.0,166539.0,0.0028,0.003,-0.0002,-2.6222,1.0,0.9489,1.0539
NOR,2024,270500.0,362500.0,177597.0,169914.0,1.5231,2.1334,-0.6103,-16.6912,1.3401,0.9567,1.4008
NOR,2534,252500.0,316000.0,391992.0,373099.0,0.6441,0.847,-0.2028,-13.6016,1.2515,0.9518,1.3149
NOR,3544,123500.0,155000.0,387815.0,372154.0,0.3185,0.4165,-0.098,-13.3402,1.2551,0.9596,1.3079
NOR,4554,86500.0,120500.0,372116.0,356609.0,0.2325,0.3379,-0.1055,-18.4885,1.3931,0.9583,1.4537
NOR,55plus,63000.0,80500.0,356753.0,344628.0,0.1766,0.2336,-0.057,-13.8946,1.2778,0.966,1.3228
OMN,1519,500.0,500.0,161282.0,154902.0,0.0031,0.0032,-0.0001,-2.0178,1.0,0.9604,1.0412
OMN,2024,321500.0,239500.0,282025.0,151686.0,1.14,1.5789,-0.4389,-16.1444,0.7449,0.5378,1.3851
OMN,2534,848500.0,403000.0,871609.0,379817.0,0.9735,1.061,-0.0876,-4.3032,0.475,0.4358,1.0899
OMN,3544,252500.0,117000.0,847017.0,368042.0,0.2981,0.3179,-0.0198,-3.2132,0.4634,0.4345,1.0665
OMN,4554,72500.0,38500.0,377168.0,191625.0,0.1922,0.2009,-0.0087,-2.2107,0.531,0.5081,1.0451
OMN,55plus,46000.0,36500.0,138068.0,87478.0,0.3332,0.4172,-0.0841,-11.2043,0.7935,0.6336,1.2524
PAK,1519,500.0,500.0,14000905.0,13328582.0,0.0,0.0,-0.0,-2.4601,1.0,0.952,1.0504
PAK,2024,19035000.0,9012500.0,12065308.0,11538231.0,1.5777,0.7811,0.7966,33.7705,0.4735,0.9563,0.4951
PAK,2534,23483000.0,10328500.0,19794340.0,18903549.0,1.1863,0.5464,0.64,36.9343,0.4398,0.955,0.4605
PAK,3544,5797000.0,2273000.0,14642574.0,14248505.0,0.3959,0.1595,0.2364,42.5574,0.3921,0.9731,0.4029
PAK,4554,1775000.0,764000.0,9730731.0,9690455.0,0.1824,0.0788,0.1036,39.6442,0.4304,0.9959,0.4322
PAK,55plus,1932000.0,915000.0,6695295.0,6946714.0,0.2886,0.1317,0.1568,37.3191,0.4736,1.0376,0.4564
PAN,1519,500.0,500.0,188454.0,180632.0,0.0027,0.0028,-0.0001,-2.1193,1.0,0.9585,1.0433
PAN,2024,383500.0,391500.0,183117.0,176351.0,2.0943,2.22,-0.1257,-2.9139,1.0209,0.9631,1.06
PAN,2534,720500.0,534000.0,347437.0,339770.0,2.0738,1.5717,0.5021,13.7737,0.7412,0.9779,0.758
PAN,3544,267000.0,215000.0,315651.0,312434.0,0.8459,0.6881,0.1577,10.2819,0.8052,0.9898,0.8135
PAN,4554,150500.0,137500.0,267375.0,269646.0,0.5629,0.5099,0.053,4.9358,0.9136,1.0085,0.9059
PAN,55plus,127500.0,146500.0,209046.0,218697.0,0.6099,0.6699,-0.06,-4.6854,1.149,1.0462,1.0983
POL,1519,500.0,500.0,988181.0,939694.0,0.0005,0.0005,-0.0,-2.515,1.0,0.9509,1.0516
POL,2024,1420500.0,1722500.0,845397.0,807288.0,1.6803,2.1337,-0.4534,-11.8882,1.2126,0.9549,1.2699
POL,2534,1802000.0,2375000.0,2176934.0,2085764.0,0.8278,1.1387,-0.3109,-15.8104,1.318,0.9581,1.3756
POL,3544,980500.0,1268000.0,2975259.0,2886246.0,0.3296,0.4393,-0.1098,-14.2772,1.2932,0.9701,1.3331
POL,4554,635000.0,869500.0,2682194.0,2667469.0,0.2367,0.326,-0.0892,-15.855,1.3693,0.9945,1.3769
POL,55plus,463000.0,734000.0,2036308.0,2178700.0,0.2274,0.3369,-0.1095,-19.4102,1.5853,1.0699,1.4817
PRI,1519,500.0,500.0,92106.0,86929.0,0.0054,0.0058,-0.0003,-2.8916,1.0,0.9438,1.0595
PRI,2024,29500.0,37500.0,104269.0,99859.0,0.2829,0.3755,-0.0926,-14.0644,1.2712,0.9577,1.3273
PRI,2534,72500.0,50500.0,197653.0,204409.0,0.3668,0.2471,0.1198,19.5079,0.6966,1.0342,0.6736
PRI,3544,52500.0,42500.0,177211.0,198007.0,0.2963,0.2146,0.0816,15.9755,0.8095,1.1174,0.7244
PRI,4554,33000.0,29500.0,196873.0,221218.0,0.1676,0.1334,0.0343,11.3858,0.8939,1.1237,0.7955
PRI,55plus,50500.0,30500.0,204418.0,240955.0,0.247,0.1266,0.1205,32.242,0.604,1.1787,0.5124
PRT,1519,500.0,500.0,266185.0,257000.0,0.0019,0.0019,-0.0001,-1.7556,1.0,0.9655,1.0357
PRT,2024,380500.0,560500.0,291190.0,278358.0,1.3067,2.0136,-0.7069,-21.2898,1.4731,0.9559,1.5411
PRT,2534,546000.0,777000.0,573058.0,557579.0,0.9528,1.3935,-0.4407,-18.7845,1.4231,0.973,1.4626
PRT,3544,292500.0,418000.0,619293.0,645261.0,0.4723,0.6478,-0.1755,-15.6669,1.4291,1.0419,1.3716
PRT,4554,232000.0,367500.0,761873.0,830650.0,0.3045,0.4424,-0.1379,-18.4637,1.5841,1.0903,1.4529
PRT,55plus,172000.0,304000.0,697716.0,795902.0,0.2465,0.382,-0.1354,-21.5502,1.7674,1.1407,1.5494
PRY,1519,500.0,500.0,302116.0,289686.0,0.0017,0.0017,-0.0001,-2.1004,1.0,0.9589,1.0429
PRY,2024,625000.0,604000.0,291883.0,281492.0,2.1413,2.1457,-0.0044,-0.1036,0.9664,0.9644,1.0021
PRY,2534,1061000.0,775000.0,595709.0,580440.0,1.7811,1.3352,0.4459,14.3081,0.7304,0.9744,0.7496
PRY,3544,400500.0,293000.0,504914.0,496887.0,0.7932,0.5897,0.2035,14.7181,0.7316,0.9841,0.7434
PRY,4554,188000.0,153000.0,339861.0,340377.0,0.5532,0.4495,0.1037,10.339,0.8138,1.0015,0.8126
PRY,55plus,146500.0,157000.0,254983.0,273861.0,0.5745,0.5733,0.0013,0.1102,1.0717,1.074,0.9979
QAT,1519,1500.0,1500.0,62951.0,51444.0,0.0238,0.0292,-0.0053,-10.059,1.0,0.8172,1.2237
QAT,2024,791500.0,318500.0,108097.0,50399.0,7.3221,6.3196,1.0026,7.3492,0.4024,0.4662,0.8631
QAT,2534,1902500.0,619500.0,575137.0,173708.0,3.3079,3.5663,-0.2584,-3.7593,0.3256,0.302,1.0781
QAT,3544,834000.0,340500.0,605715.0,182892.0,1.3769,1.8618,-0.4849,-14.9714,0.4083,0.3019,1.3524
QAT,4554,178000.0,104500.0,288663.0,86784.0,0.6166,1.2041,-0.5875,-32.2666,0.5871,0.3006,1.9531
QAT,55plus,128500.0,83000.0,98368.0,36247.0,1.3063,2.2898,-0.9835,-27.3493,0.6459,0.3685,1.7528
ROU,1519,500.0,500.0,556653.0,533841.0,0.0009,0.0009,-0.0,-2.0919,1.0,0.959,1.0428
ROU,2024,764000.0,872500.0,513019.0,492570.0,1.4892,1.7713,-0.2821,-8.6519,1.142,0.9601,1.1895
ROU,2534,1087500.0,1103000.0,1046933.0,998628.0,1.0387,1.1045,-0.0658,-3.0685,1.0143,0.9539,1.0633
ROU,3544,829500.0,910500.0,1328695.0,1246591.0,0.6243,0.7304,-0.1061,-7.8317,1.0976,0.9382,1.1699
ROU,4554,677000.0,804000.0,1487382.0,1448788.0,0.4552,0.5549,-0.0998,-9.8786,1.1876,0.9741,1.2192
ROU,55plus,625500.0,911500.0,1190989.0,1282126.0,0.5252,0.7109,-0.1857,-15.0256,1.4572,1.0765,1.3536
SAU,1519,1500.0,1500.0,1275970.0,1201691.0,0.0012,0.0012,-0.0001,-2.9979,1.0,0.9418,1.0618
SAU,2024,15699000.0,6676500.0,1539841.0,1148715.0,10.1952,5.8121,4.3831,27.3815,0.4253,0.746,0.5701
SAU,2534,25113000.0,12798500.0,4814589.0,2617454.0,5.216,4.8897,0.3263,3.2293,0.5096,0.5437,0.9373
SAU,3544,15840500.0,7420500.0,4672624.0,2237675.0,3.3901,3.3162,0.0739,1.102,0.4685,0.4789,0.9783
SAU,4554,2411000.0,2811500.0,2549360.0,1257870.0,0.9457,2.2351,-1.2894,-40.5363,1.1661,0.4934,2.3634
SAU,55plus,3093000.0,1844000.0,1246086.0,705958.0,2.4822,2.6121,-0.1299,-2.5496,0.5962,0.5665,1.0524
SWE,1519,500.0,500.0,326118.0,307305.0,0.0015,0.0016,-0.0001,-2.9701,1.0,0.9423,1.0612
SWE,2024,489500.0,688500.0,315027.0,293110.0,1.5538,2.3489,-0.7951,-20.373,1.4065,0.9304,1.5117
SWE,2534,533000.0,666000.0,713835.0,660188.0,0.7467,1.0088,-0.2621,-14.9323,1.2495,0.9248,1.3511
SWE,3544,226000.0,283000.0,726065.0,688016.0,0.3113,0.4113,-0.1001,-13.8474,1.2522,0.9476,1.3214
SWE,4554,148500.0,199500.0,665306.0,643691.0,0.2232,0.3099,-0.0867,-16.2671,1.3434,0.9675,1.3885
SWE,55plus,129500.0,168000.0,651369.0,638940.0,0.1988,0.2629,-0.0641,-13.8871,1.2973,0.9809,1.3226
TUR,1519,1500.0,1500.0,3148027.0,3025740.0,0.0005,0.0005,-0.0,-1.9808,1.0,0.9612,1.0404
TUR,2024,36251500.0,12797500.0,3147425.0,3011567.0,11.5178,4.2494,7.2684,46.0979,0.353,0.9568,0.3689
TUR,2534,24521500.0,12354000.0,6739944.0,6457108.0,3.6382,1.9132,1.725,31.0727,0.5038,0.958,0.5259
TUR,3544,12003000.0,6810500.0,6446088.0,6310556.0,1.8621,1.0792,0.7828,26.6155,0.5674,0.979,0.5796
TUR,4554,3973000.0,3807000.0,5760318.0,5763473.0,0.6897,0.6605,0.0292,2.161,0.9582,1.0005,0.9577
TUR,55plus,3929500.0,2392500.0,4357324.0,4484460.0,0.9018,0.5335,0.3683,25.6601,0.6089,1.0292,0.5916
UKR,1519,1000.0,1000.0,1128894.0,1075080.0,0.0009,0.0009,-0.0,-2.4417,1.0,0.9523,1.0501
UKR,2024,50305500.0,4541000.0,1003431.0,974012.0,50.1335,4.6622,45.4713,82.9835,0.0903,0.9707,0.093
UKR,2534,11770500.0,8443000.0,2425448.0,2370639.0,4.8529,3.5615,1.2914,15.3479,0.7173,0.9774,0.7339
UKR,3544,10971500.0,3270500.0,3302494.0,3248276.0,3.3222,1.0068,2.3153,53.4842,0.2981,0.9836,0.3031
UKR,4554,1808500.0,2767000.0,2535508.0,2832335.0,0.7133,0.9769,-0.2637,-15.5995,1.53,1.1171,1.3696
UKR,55plus,1856000.0,1805000.0,2448926.0,2901953.0,0.7579,0.622,0.1359,9.8479,0.9725,1.185,0.8207
URY,1519,500.0,500.0,119164.0,113909.0,0.0042,0.0044,-0.0002,-2.2547,1.0,0.9559,1.0461
URY,2024,259500.0,290500.0,122252.0,117352.0,2.1227,2.4755,-0.3528,-7.6726,1.1195,0.9599,1.1663
URY,2534,543500.0,394000.0,253103.0,245124.0,2.1473,1.6073,0.54,14.3819,0.7249,0.9685,0.7485
URY,3544,173500.0,149500.0,224784.0,221079.0,0.7719,0.6762,0.0956,6.6034,0.8617,0.9835,0.8762
URY,4554,125000.0,106500.0,213867.0,219312.0,0.5845,0.4856,0.0989,9.2391,0.852,1.0255,0.8308
URY,55plus,114000.0,121000.0,181681.0,196211.0,0.6275,0.6167,0.0108,0.8673,1.0614,1.08,0.9828
USA,1519,500.0,500.0,11454686.0,10792499.0,0.0,0.0,-0.0,-2.9765,1.0,0.9422,1.0613
USA,2024,12682500.0,14525000.0,11587245.0,10886816.0,1.0945,1.3342,-0.2397,-9.8678,1.1453,0.9396,1.2189
USA,2534,18914000.0,16256500.0,23494305.0,21927231.0,0.805,0.7414,0.0637,4.1167,0.8595,0.9333,0.9209
USA,3544,19250500.0,15100500.0,23766429.0,22350890.0,0.81,0.6756,0.1344,9.0453,0.7844,0.9404,0.8341
USA,4554,12608500.0,9729000.0,20871095.0,20021867.0,0.6041,0.4859,0.1182,10.8432,0.7716,0.9593,0.8043
USA,55plus,16837500.0,9759500.0,20612996.0,20564704.0,0.8168,0.4746,0.3423,26.503,0.5796,0.9977,0.5809
ZAF,1519,1500.0,1500.0,2731294.0,2706494.0,0.0005,0.0006,-0.0,-0.4561,1.0,0.9909,1.0092
ZAF,2024,15407000.0,9242500.0,2597837.0,2532950.0,5.9307,3.6489,2.2818,23.8193,0.5999,0.975,0.6153
ZAF,2534,24212000.0,17910500.0,5560225.0,5638288.0,4.3545,3.1766,1.1779,15.6407,0.7397,1.014,0.7295
ZAF,3544,12319500.0,11845000.0,5107335.0,5180467.0,2.4121,2.2865,0.1256,2.6741,0.9615,1.0143,0.9479
ZAF,4554,2551500.0,4652500.0,3290462.0,3493533.0,0.7754,1.3317,-0.5563,-26.4015,1.8234,1.0617,1.7174
ZAF,55plus,2874000.0,3111000.0,2119566.0,2675794.0,1.3559,1.1626,0.1933,7.6746,1.0825,1.2624,0.8575
