country_code,bucket,tiktok_male,tiktok_female,pop_male,pop_female,pen_male,pen_female,gap_abs,gap_pct,tt_fm,pop_fm,relative_gap
BOL,2024,1363000.0,1328500.0,570400.0,557241.0,2.3896,2.3841,0.0055,0.1149,0.9747,0.9769,0.9977
BOL,2534,2096500.0,1585000.0,1059440.0,1045102.0,1.9789,1.5166,0.4623,13.225,0.756,0.9865,0.7663
BOL,3544,745000.0,607500.0,845312.0,834288.0,0.8813,0.7282,0.1532,9.5164,0.8154,0.987,0.8261
BOL,4554,358000.0,324000.0,610544.0,613046.0,0.5864,0.5285,0.0579,5.1893,0.905,1.0041,0.9013
BOL,55plus,299000.0,326000.0,406697.0,424884.0,0.7352,0.7673,-0.0321,-2.135,1.0903,1.0447,1.0436
BRA,1519,500.0,500.0,7482359.0,7211480.0,0.0001,0.0001,-0.0,-1.8435,1.0,0.9638,1.0376
BRA,2024,13624000.0,14844000.0,7838493.0,7627791.0,1.7381,1.946,-0.208,-5.6445,1.0895,0.9731,1.1196
BRA,2534,28797500.0,17682500.0,16239229.0,16098852.0,1.7733,1.0984,0.675,23.5038,0.614,0.9914,0.6193
BRA,3544,11521000.0,8653000.0,16433230.0,16709271.0,0.7011,0.5179,0.1832,15.0314,0.7511,1.0168,0.7387
BRA,4554,7628500.0,5901000.0,13925202.0,14620117.0,0.5478,0.4036,0.1442,15.1557,0.7735,1.0499,0.7367
BRA,55plus,7346000.0,6379500.0,10943391.0,11994270.0,0.6713,0.5319,0.1394,11.5857,0.8684,1.096,0.7923
CAN,1519,500.0,500.0,1139007.0,1103430.0,0.0004,0.0005,-0.0,-1.5865,1.0,0.9688,1.0322
CAN,2024,1955000.0,2215000.0,1256363.0,1215737.0,1.5561,1.8219,-0.2659,-7.8703,1.133,0.9677,1.1708
CAN,2534,3932000.0,2930500.0,2981873.0,2795921.0,1.3186,1.0481,0.2705,11.4291,0.7453,0.9376,0.7949
CAN,3544,1264000.0,1105000.0,2850448.0,2810293.0,0.4434,0.3932,0.0502,6.0052,0.8742,0.9859,0.8867
CAN,4554,767000.0,673500.0,2494459.0,2545411.0,0.3075,0.2646,0.0429,7.4969,0.8781,1.0204,0.8605
CAN,55plus,631500.0,604000.0,2595347.0,2657093.0,0.2433,0.2273,0.016,3.4005,0.9565,1.0238,0.9343
CHE,1519,500.0,500.0,228799.0,216694.0,0.0022,0.0023,-0.0001,-2.7172,1.0,0.9471,1.0559
CHE,2024,299000.0,368000.0,235041.0,221470.0,1.2721,1.6616,-0.3895,-13.2768,1.2308,0.9423,1.3062
CHE,2534,362500.0,443000.0,566308.0,541350.0,0.6401,0.8183,-0.1782,-12.2195,1.2221,0.9559,1.2785
CHE,3544,198500.0,224000.0,645772.0,632669.0,0.3074,0.3541,-0.0467,-7.0561,1.1285,0.9797,1.1519
CHE,4554,145500.0,170500.0,614208.0,609043.0,0.2369,0.2799,-0.0431,-8.3308,1.1718,0.9916,1.1817
CHE,55plus,117000.0,143500.0,648075.0,644538.0,0.1805,0.2226,-0.0421,-10.4435,1.2265,0.9945,1.2333
CRI,1519,500.0,500.0,184469.0,176844.0,0.0027,0.0028,-0.0001,-2.1104,1.0,0.9587,1.0431
CRI,2024,433000.0,460500.0,188626.0,181283.0,2.2955,2.5402,-0.2447,-5.0598,1.0635,0.9611,1.1065
CRI,2534,941500.0,720500.0,408969.0,397302.0,2.3021,1.8135,0.4886,11.873,0.7653,0.9715,0.7878
CRI,3544,358500.0,300500.0,402239.0,400163.0,0.8913,0.7509,0.1403,8.5444,0.8382,0.9948,0.8426
CRI,4554,189500.0,173000.0,311666.0,331294.0,0.608,0.5222,0.0858,7.5939,0.9129,1.063,0.8588
CRI,55plus,163500.0,178000.0,271371.0,298188.0,0.6025,0.5969,0.0056,0.4633,1.0887,1.0988,0.9908
CZE,1519,500.0,500.0,299842.0,286809.0,0.0017,0.0017,-0.0001,-2.2216,1.0,0.9565,1.0455
CZE,2024,307500.0,476000.0,271699.0,260000.0,1.1318,1.8308,-0.699,-23.5947,1.548,0.9569,1.6177
CZE,2534,309500.0,414000.0,601844.0,565834.0,0.5143,0.7317,-0.2174,-17.4498,1.3376,0.9402,1.4227
CZE,3544,126000.0,160500.0,748684.0,699395.0,0.1683,0.2295,-0.0612,-15.3826,1.2738,0.9342,1.3635
CZE,4554,89500.0,118000.0,886819.0,841210.0,0.1009,0.1403,-0.0394,-16.3152,1.3184,0.9486,1.3898
CZE,55plus,66500.0,92000.0,649612.0,648746.0,0.1024,0.1418,-0.0394,-16.1533,1.3835,0.9987,1.3853
DEU,1519,500.0,500.0,1947389.0,1838953.0,0.0003,0.0003,-0.0,-2.8639,1.0,0.9443,1.059
DEU,2024,2913500.0,3144000.0,2084525.0,1950436.0,1.3977,1.6119,-0.2143,-7.1194,1.0791,0.9357,1.1533
DEU,2534,3626000.0,4191500.0,4984372.0,4580196.0,0.7275,0.9151,-0.1877,-11.4246,1.156,0.9189,1.258
DEU,3544,1980500.0,2303000.0,5511583.0,5285695.0,0.3593,0.4357,-0.0764,-9.6058,1.1628,0.959,1.2125
DEU,4554,1335000.0,1626000.0,5060644.0,5041698.0,0.2638,0.3225,-0.0587,-10.0135,1.218,0.9963,1.2225
DEU,55plus,1177500.0,1592500.0,6503530.0,6562654.0,0.1811,0.2427,-0.0616,-14.5393,1.3524,1.0091,1.3402
DNK,1519,500.0,500.0,179937.0,171137.0,0.0028,0.0029,-0.0001,-2.5066,1.0,0.9511,1.0514
DNK,2024,246500.0,341000.0,188497.0,181669.0,1.3077,1.877,-0.5693,-17.8766,1.3834,0.9638,1.4354
DNK,2534,224000.0,291500.0,413938.0,398620.0,0.5411,0.7313,-0.1901,-14.9424,1.3013,0.963,1.3513
DNK,3544,85000.0,105000.0,359179.0,349786.0,0.2367,0.3002,-0.0635,-11.8347,1.2353,0.9738,1.2685
DNK,4554,56000.0,75000.0,378753.0,380507.0,0.1479,0.1971,-0.0493,-14.2776,1.3393,1.0046,1.3332
DNK,55plus,41500.0,54000.0,394472.0,395944.0,0.1052,0.1364,-0.0312,-12.9059,1.3012,1.0037,1.2964
DOM,1519,500.0,500.0,501065.0,480805.0,0.001,0.001,-0.0,-2.0634,1.0,0.9596,1.0421
DOM,2024,1171500.0,1040500.0,489525.0,472116.0,2.3931,2.2039,0.1892,4.1163,0.8882,0.9644,0.921
DOM,2534,1980500.0,1338500.0,918855.0,898684.0,2.1554,1.4894,0.666,18.2726,0.6758,0.978,0.691
DOM,3544,653000.0,464000.0,774906.0,774927.0,0.8427,0.5988,0.2439,16.9216,0.7106,1.0,0.7106
DOM,4554,306000.0,237500.0,622262.0,641165.0,0.4918,0.3704,0.1213,14.0731,0.7761,1.0304,0.7532
DOM,55plus,264000.0,240500.0,470565.0,514069.0,0.561,0.4678,0.0932,9.0577,0.911,1.0925,0.8339
DZA,1519,500.0,500.0,1966018.0,1880737.0,0.0003,0.0003,-0.0,-2.217,1.0,0.9566,1.0454
DZA,2024,3553000.0,2885000.0,1518850.0,1460841.0,2.3393,1.9749,0.3644,8.4461,0.812,0.9618,0.8443
DZA,2534,6864000.0,3918000.0,3276483.0,3091191.0,2.0949,1.2675,0.8275,24.6091,0.5708,0.9434,0.605
DZA,3544,2246000.0,1133000.0,3751934.0,3549669.0,0.5986,0.3192,0.2794,30.4464,0.5045,0.9461,0.5332
DZA,4554,871000.0,499000.0,2902978.0,2760633.0,0.3,0.1808,0.1193,24.8093,0.5729,0.951,0.6024
DZA,55plus,694000.0,528500.0,1966482.0,1885826.0,0.3529,0.2802,0.0727,11.4767,0.7615,0.959,0.7941
EGY,1519,1500.0,1500.0,5644245.0,5390361.0,0.0003,0.0003,-0.0,-2.3008,1.0,0.955,1.0471
EGY,2024,35838500.0,11964000.0,5042469.0,4848741.0,7.1073,2.4674,4.6399,48.4595,0.3338,0.9616,0.3471
