bucket,rank_gap,country_code,gap_pct,pen_total
1014,1,NLD,-0.4446293919835297,0.08181195603176254
1014,2,AUT,-0.4655773249677278,0.17191622407789867
1014,3,KEN,-0.6649760834731478,0.011144768638269112
1014,4,MAR,-0.780116678015784,0.022638157979560893
1014,5,QAT,-0.8115977586710817,0.6032361847085541
1014,6,PAN,-1.0792712755107603,0.19698968655312113
1014,7,DNK,-1.1318253180253095,0.24411474677913075
1014,8,KAZ,-1.2566094958954523,0.03949365520232109
1014,9,BHR,-1.3136713809359517,0.7509128744748518
1014,10,DOM,-1.3220363220089182,0.0747503192766905
1014,11,OMN,-1.3418168640439998,0.17932171265298755
1014,12,GTM,-1.3634641577734423,0.03910411954281698
1014,13,DZA,-1.4192436909999566,0.016288195018878338
1014,14,LBN,-1.5540121061617247,0.13514587805071945
1014,15,MEX,-1.7363316934292785,0.006878967075744842
1014,16,SAU,-1.7373445598889494,0.02863284842179086
1014,17,TUR,-1.757209681719068,0.011696199570582388
1014,18,LKA,-1.8030062702477927,0.04488028184817001
1014,19,GBR,-1.827667422201443,0.01790322569321173
1014,20,PRI,-1.9243039806878373,0.5113704728672843
1014,21,BRA,-2.0009068044957634,0.005352955088428733
1014,22,ARG,-2.1672701478713674,0.020506139779498684
1014,23,PAK,-2.182243522726104,0.0025711086854388766
1014,24,CAN,-2.21316927479742,0.0358660677188622
1014,25,ITA,-2.2280384242140485,0.02950442971408472
1014,26,PRY,-2.2384857965132507,0.12056757577750428
1014,27,BEL,-2.2905869076487444,0.11343915094478607
1014,28,FIN,-2.300259660028765,0.24775492211807934
1014,29,EGY,-2.311695416978323,0.005978890788416139
1014,30,NGA,-2.337818475514492,0.0025266968643824026
1014,31,FRA,-2.3418759365085364,0.01909913118796348
1014,32,IRL,-2.36204815783442,0.21264785239477382
1014,33,IRQ,-2.4818841551949324,0.013330339489122529
1014,34,NOR,-2.5380110039637955,0.23975812453099263
1014,35,KOR,-2.55221399505665,0.03394311926686389
1014,36,DEU,-2.753674529138007,0.02034103730308489
1014,37,UKR,-2.7846621086824923,0.03447139679890551
1014,38,HUN,-2.79029679388911,0.1688696479835429
1014,39,CHE,-2.833445762880558,0.1703031174317405
1014,40,USA,-2.8350903854763496,0.003751556713330348
1014,41,ROU,-2.8661691525643485,0.07560790236005373
1014,42,SWE,-2.9483551440010243,0.1218001749493422
1014,43,BOL,-2.975423585185431,0.06242904856487117
1014,44,PRT,-3.048646598530829,0.1659644814315033
1014,45,POL,-3.270321463102365,0.04014805974661064
1014,46,JPN,-3.443920930535384,0.014554354234717785
1014,47,ESP,-3.613687279287887,0.03254833001538919
1014,48,URY,-3.671856286749386,0.3260193466743882
1014,49,BGD,-4.268515638678697,0.004823514193190513
1014,50,CZE,-4.51933505021372,0.13677932693701267
1014,51,KWT,-5.003228260173125,0.22809730110374601
1014,52,AZE,-5.15042616579385,0.0916869687811825
1014,53,CRI,-5.505580307691368,0.21124564040037427
1014,54,ARE,-99.99060489138849,1399.4780728418261
1014,55,ZAF,-99.99092213272338,154.00625674709968
1014,56,GRC,-99.9910260578243,1627.8577110989681
1014,57,BLR,-99.99116697467404,1393.1539657105131
2024,1,BGD,29.81178346716116,29.833652407752577
2024,2,GTM,25.86738430083958,256.7170113847105
2024,3,KEN,25.31074605668362,84.01610910373891
2024,4,BEL,25.19470613944244,682.517889954035
2024,5,BOL,24.072987933554884,429.3675912812677
2024,6,ZAF,23.967189950810663,94.23983104346371
2024,7,BRA,23.943360437810423,31.291485401406053
2024,8,CHE,23.81720258844539,1040.4908096409506
2024,9,MAR,23.7362853289496,163.0560669399324
2024,10,PRY,23.450836829551243,844.5136254632657
2024,11,NGA,23.402174394967403,21.240834982354443
2024,12,MEX,23.272553194617227,43.53703514025754
2024,13,URY,23.23064809106214,2020.9303684412614
2024,14,UKR,23.179608165423705,246.00076968084542
2024,15,CAN,23.097191011734463,196.29363698879496
2024,16,IRL,23.04003157493606,1360.3904548035002
2024,17,DOM,23.01690224197536,505.2821167150735
2024,18,NLD,23.01634056706122,419.13375161767823
2024,19,ITA,22.9700159623282,159.11854902130605
2024,20,PRT,22.902684046322168,851.0696201198143
2024,21,EGY,22.733432003733316,49.18028229104427
2024,22,KAZ,22.710470851954085,385.31989823076145
2024,23,CRI,22.708294674869908,1315.0599201425216
2024,24,ROU,22.66231779453154,483.74882780141786
2024,25,IRQ,22.646985984407465,112.40459957260609
2024,26,PAN,22.641893290250607,1350.3469015322644
2024,27,DZA,22.58058627937965,162.90497907333344
2024,28,POL,22.54545424978753,294.00974777407674
2024,29,PRI,22.54187170092803,2383.0758151747923
2024,30,AUT,22.523379798305623,1037.0012849375812
2024,31,TUR,22.508421773348072,78.97639743646363
2024,32,NOR,22.49395110597561,1399.818998535298
2024,33,DNK,22.473608402940165,1307.8213558241437
2024,34,PAK,22.472884771887188,20.609303545540353
2024,35,FIN,22.376277731020053,1542.4333380977337
2024,36,ARG,22.277406805113685,140.22917080140735
2024,37,CZE,22.131127099693177,899.5474883345653
2024,38,BLR,21.962317288257907,1129.679687699571
2024,39,FRA,21.926956728628515,112.79842921715937
2024,40,HUN,21.923202553452825,966.7810296647673
2024,41,ESP,21.85830410549949,189.57871050776868
2024,42,USA,21.63168343819756,21.64506450347358
2024,43,GBR,21.36579432921442,119.57073465429013
2024,44,SWE,21.27779625967855,799.2014957156035
2024,45,LKA,21.194841792063485,284.99975213496435
2024,46,KOR,20.539204520334756,180.19882705594895
2024,47,AZE,20.012790085850067,741.963061426508
